Colorectal,Lung,Kidney,Skin_M,Skin_NM,Breast,Prostate,NH_lymph,Head_Neck,Brain_CNS,Pancreas,Bladder,Leukaemia,Uterus,Oesophagus,Ovary,Stomach,Liver,Myeloma,Thyroid
1530,1622,1890,1720,1730,1740,185,2000,1401,1910,1570,1880,2040,1820,1505,1830,1510,1550,2030,193
1531,1623,,1721,1731,1741,,2001,1409,1911,1572,1882,2041,1828,1509,1832,1512,,,
1532,1624,,1722,1732,1742,,2008,1410,1912,1574,1884,2049,179,,,1514,,,
1533,1625,,1723,1733,1743,,2020,1412,1914,1579,1886,2050,,,,1515,,,
1534,1628,,1724,1734,1744,,2021,1413,1916,,1888,2051,,,,1519,,,
1535,1629,,1725,1735,1745,,2022,1419,1917,,1889,2059,,,,,,,
1536,,,1726,1736,1746,,2024,1420,1918,,,2061,,,,,,,
1537,,,1727,1737,1748,,2028,1421,1919,,,207,,,,,,,
1538,,,1728,1738,1749,,,1428,1920,,,2081,,,,,,,
1539,,,1729,1739,175,,,1429,1921,,,2089,,,,,,,
1540,,,,,,,,1431,1922,,,,,,,,,,
1541,,,,,,,,1449,1943,,,,,,,,,,
1548,,,,,,,,1450,1944,,,,,,,,,,
,,,,,,,,1451,,,,,,,,,,,
,,,,,,,,1452,,,,,,,,,,,
,,,,,,,,1453,,,,,,,,,,,
,,,,,,,,1455,,,,,,,,,,,
,,,,,,,,1459,,,,,,,,,,,
,,,,,,,,1460,,,,,,,,,,,
,,,,,,,,1461,,,,,,,,,,,
,,,,,,,,1470,,,,,,,,,,,
,,,,,,,,1479,,,,,,,,,,,
,,,,,,,,1600,,,,,,,,,,,
,,,,,,,,1601,,,,,,,,,,,
,,,,,,,,1602,,,,,,,,,,,
,,,,,,,,1610,,,,,,,,,,,
,,,,,,,,1611,,,,,,,,,,,
,,,,,,,,1613,,,,,,,,,,,
,,,,,,,,1619,,,,,,,,,,,
