"Code","Desc","Type","Comorb"
"E2500","Nondependent alcohol abuse, unspecified","read_v2","ALC"
"E01y0","Alcohol withdrawal syndrome","read_v2","ALC"
"E23..","Alcohol dependence syndrome","read_v2","ALC"
"E0110","Korsakov's alcoholic psychosis","read_v2","ALC"
"Eu10.","[X]Mental and behavioural disorders due to use of alcohol","read_v2","ALC"
"E230.","Acute alcoholic intoxication in alcoholism","read_v2","ALC"
"E23z.","Alcohol dependence syndrome NOS","read_v2","ALC"
"E250.","Nondependent alcohol abuse","read_v2","ALC"
"E0111","Korsakov's alcoholic psychosis with peripheral neuritis","read_v2","ALC"
"Eu105","[X]Mental & behav dis due to use alcohol: psychotic disorder","read_v2","ALC"
"66e..","Alcohol disorder monitoring","read_v2","ALC"
"E2502","Nondependent alcohol abuse, episodic","read_v2","ALC"
"E010.","Alcohol withdrawal delirium","read_v2","ALC"
"E01..","Alcoholic psychoses","read_v2","ALC"
"63C7.","Maternal alcohol abuse","read_v2","ALC"
"E0112","Wernicke-Korsakov syndrome","read_v2","ALC"
"136S.","Hazardous alcohol use","read_v2","ALC"
"Eu103","[X]Mental and behav dis due to use alcohol: withdrawal state","read_v2","ALC"
"E011.","Alcohol amnestic syndrome","read_v2","ALC"
"E2302","Episodic acute alcoholic intoxication in alcoholism","read_v2","ALC"
"Eu101","[X]Mental and behav dis due to use of alcohol: harmful use","read_v2","ALC"
"E2501","Nondependent alcohol abuse, continuous","read_v2","ALC"
"E2311","Continuous chronic alcoholism","read_v2","ALC"
"E2313","Chronic alcoholism in remission","read_v2","ALC"
"E013.","Alcohol withdrawal hallucinosis","read_v2","ALC"
"E2312","Episodic chronic alcoholism","read_v2","ALC"
"E250z","Nondependent alcohol abuse NOS","read_v2","ALC"
"E015.","Alcoholic paranoia","read_v2","ALC"
"136T.","Harmful alcohol use","read_v2","ALC"
"E231.","Chronic alcoholism","read_v2","ALC"
"E2503","Nondependent alcohol abuse in remission","read_v2","ALC"
"Eu108","[X]Alcohol withdrawal-induced seizure","read_v2","ALC"
