"Code","Desc","Type","med_type"
"040101","Zopiclone 7.5mg tablets","bnf_6_char","ANX"
"040102","Lorazepam 500micrograms/5ml oral solution","bnf_6_char","ANX"
"040301","Trazodone 150mg tablets (Zentiva)","bnf_6_char","ANX"
"04.01.01.00.00","Zopiclone 7.5mg tablets","bnf_chap_id","ANX"
"04.01.02.01.00","Lorazepam 500micrograms/5ml oral solution","bnf_chap_id","ANX"
"04.01.02.00.00","Buspar 5mg tablets (IXL Pharma Ltd)","bnf_chap_id","ANX"
"04.03.01.00.00","Trazodone 150mg tablets (Zentiva)","bnf_chap_id","ANX"
"321175006","Zopiclone 7.5mg tablets","dmd","ANX"
"8659611000001107","Lorazepam 500micrograms/5ml oral solution","dmd","ANX"
"185285001000027103","Temazepam gelthix 15mg Capsule (Pharmacia Ltd)","dmd","ANX"
"129285001000027101","Nitrazepam 10mg Tablet","dmd","ANX"
"2005001000027107","Atensine 10mg Tablet (Rorer Pharmaceuticals Ltd)","dmd","ANX"
"321152004","Temazepam 10mg tablets","dmd","ANX"
"365311000001106","Buspar 5mg tablets (IXL Pharma Ltd)","dmd","ANX"
"2065001000027108","Ativan 2.5mg Tablet (Wyeth Pharmaceuticals)","dmd","ANX"
"16630211000001109","Buspirone 5mg tablets (Mylan)","dmd","ANX"
"35915311000001101","Temazepam 10mg/5ml oral solution sugar free","dmd","ANX"
"917211000001100","Lorazepam 1mg tablets (Genus Pharmaceuticals Ltd)","dmd","ANX"
"300111000001100","Zopiclone 3.75mg tablets (Actavis UK Ltd)","dmd","ANX"
"120311000001104","Trazodone 150mg tablets (Zentiva)","dmd","ANX"
"85355001000027107","Mogadon 5mg Capsule (Roche Products Ltd)","dmd","ANX"
"435711000001108","Sonata 10mg capsules (Meda Pharmaceuticals Ltd)","dmd","ANX"
"667211000001102","Trazodone 50mg capsules (Teva UK Ltd)","dmd","ANX"
"916611000001100","Zopiclone 3.75mg tablets (Mylan)","dmd","ANX"
"199211000001107","Nitrazepam 5mg tablets (Teva UK Ltd)","dmd","ANX"
"87065001000027103","Surem 5mg Capsule (Galen Ltd)","dmd","ANX"
"3200311000001103","Zolpidem 10mg tablets (A A H Pharmaceuticals Ltd)","dmd","ANX"
"810511000001108","Zimovane 7.5mg tablets (Sanofi)","dmd","ANX"
