"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","921","103463","366.241216666828","365","0.655139728698679","0.646748807913769","0.663530649483589"
"PI_mort_20","1","921","103463","366.241216666828","365","0.654836397104739","0.646449869312345","0.663222924897133"
"PI_hosp_37","1","921","103463","366.241216666828","365","0.654796631554788","0.646440697522317","0.663152565587259"
"PI_hosp_20","1","921","103463","366.241216666828","365","0.654614193980665","0.646264082931236","0.662964305030094"
"num_mm_37","1","921","103463","366.241216666828","365","0.558087409792485","0.54935323704651","0.56682158253846"
"num_mm_20","1","921","103463","366.241216666828","365","0.557950652781842","0.549293207057757","0.566608098505926"
"PI_cons_NB_37","1","921","103463","366.241216666828","365","0.648103124222633","0.639908467007014","0.656297781438252"
"PI_cons_NB_20","1","921","103463","366.241216666828","365","0.649959869110978","0.641734089914669","0.658185648307287"
"PI_gen_37","1","921","103463","366.241216666828","365","0.557260451889531","0.548434559175001","0.566086344604061"
"PI_mort_37","2","1865","103463","725.598368498884","730","0.655815352692294","0.649934893007929","0.661695812376659"
"PI_mort_20","2","1865","103463","725.598368498884","730","0.655589373045641","0.649711447728736","0.661467298362547"
"PI_hosp_37","2","1865","103463","725.598368498884","730","0.655588050945458","0.649719483132187","0.661456618758728"
"PI_hosp_20","2","1865","103463","725.598368498884","730","0.655402784130404","0.649537216877794","0.661268351383013"
"num_mm_37","2","1865","103463","725.598368498884","730","0.552797028865463","0.546641001715503","0.558953056015424"
"num_mm_20","2","1865","103463","725.598368498884","730","0.553052796345562","0.546985956865479","0.559119635825645"
"PI_cons_NB_37","2","1865","103463","725.598368498884","730","0.649046979921576","0.643281452026672","0.65481250781648"
"PI_cons_NB_20","2","1865","103463","725.598368498884","730","0.650624447028326","0.644846389080754","0.656402504975897"
"PI_gen_37","2","1865","103463","725.598368498884","730","0.553180670922541","0.546941353304083","0.559419988540999"
"PI_mort_37","3","2855","103463","1081.3757381866","1096","0.650217271343278","0.645420487925172","0.655014054761383"
"PI_mort_20","3","2855","103463","1081.3757381866","1096","0.650089464367353","0.645294711705271","0.654884217029435"
"PI_hosp_37","3","2855","103463","1081.3757381866","1096","0.649415802490109","0.644632133960911","0.654199471019307"
"PI_hosp_20","3","2855","103463","1081.3757381866","1096","0.649171991633526","0.644389530782867","0.653954452484185"
"num_mm_37","3","2855","103463","1081.3757381866","1096","0.549570833782375","0.54459614179085","0.5545455257739"
"num_mm_20","3","2855","103463","1081.3757381866","1096","0.549527823406383","0.544637800650789","0.554417846161978"
"PI_cons_NB_37","3","2855","103463","1081.3757381866","1096","0.642930349802446","0.638234001975971","0.647626697628921"
"PI_cons_NB_20","3","2855","103463","1081.3757381866","1096","0.64431114861372","0.639602173228162","0.649020123999277"
"PI_gen_37","3","2855","103463","1081.3757381866","1096","0.548828342580616","0.543799590821372","0.55385709433986"
"PI_mort_37","4","3879","103463","1431.35857262983","1461","0.647637360349864","0.643500965874442","0.651773754825285"
"PI_mort_20","4","3879","103463","1431.35857262983","1461","0.647484929727879","0.643350296466616","0.651619562989142"
"PI_hosp_37","4","3879","103463","1431.35857262983","1461","0.646869495497253","0.642739794195791","0.650999196798716"
"PI_hosp_20","4","3879","103463","1431.35857262983","1461","0.646548555105962","0.642420474277083","0.650676635934841"
"num_mm_37","4","3879","103463","1431.35857262983","1461","0.550827194959477","0.546551899126376","0.555102490792578"
"num_mm_20","4","3879","103463","1431.35857262983","1461","0.549795575851307","0.545593004296514","0.5539981474061"
"PI_cons_NB_37","4","3879","103463","1431.35857262983","1461","0.639490856605663","0.635434630186201","0.643547083025124"
"PI_cons_NB_20","4","3879","103463","1431.35857262983","1461","0.640791390768755","0.636725055393936","0.644857726143575"
"PI_gen_37","4","3879","103463","1431.35857262983","1461","0.54991804304524","0.545600783547076","0.554235302543404"
"PI_mort_37","5","4958","103463","1780.02136995834","1826","0.644917353712701","0.641263366247929","0.648571341177474"
"PI_mort_20","5","4958","103463","1780.02136995834","1826","0.64476584767464","0.641113592279189","0.648418103070091"
"PI_hosp_37","5","4958","103463","1780.02136995834","1826","0.644045565857701","0.640395854607106","0.647695277108296"
"PI_hosp_20","5","4958","103463","1780.02136995834","1826","0.643720915643379","0.640072605698089","0.647369225588669"
"num_mm_37","5","4958","103463","1780.02136995834","1826","0.54975581332491","0.545982057882384","0.553529568767435"
"num_mm_20","5","4958","103463","1780.02136995834","1826","0.547436139591848","0.54372219232846","0.551150086855237"
"PI_cons_NB_37","5","4958","103463","1780.02136995834","1826","0.636835420435066","0.633248376705193","0.64042246416494"
"PI_cons_NB_20","5","4958","103463","1780.02136995834","1826","0.638102575414306","0.634507875098541","0.641697275730072"
"PI_gen_37","5","4958","103463","1780.02136995834","1826","0.54846482724092","0.544647323397396","0.552282331084444"
"PI_mort_37","6","6072","103463","2122.50558170554","2191","0.644735251833004","0.641454601044522","0.648015902621486"
"PI_mort_20","6","6072","103463","2122.50558170554","2191","0.644606540596315","0.641327496328841","0.647885584863788"
"PI_hosp_37","6","6072","103463","2122.50558170554","2191","0.64392099959622","0.640645494076216","0.647196505116224"
"PI_hosp_20","6","6072","103463","2122.50558170554","2191","0.643632381557856","0.640357947457358","0.646906815658353"
"num_mm_37","6","6072","103463","2122.50558170554","2191","0.549000829028087","0.545586323680171","0.552415334376003"
"num_mm_20","6","6072","103463","2122.50558170554","2191","0.546914730058965","0.543557275871136","0.550272184246794"
"PI_cons_NB_37","6","6072","103463","2122.50558170554","2191","0.636673503563639","0.633449651750089","0.639897355377188"
"PI_cons_NB_20","6","6072","103463","2122.50558170554","2191","0.637953218127471","0.63472337211543","0.641183064139512"
"PI_gen_37","6","6072","103463","2122.50558170554","2191","0.547171631467546","0.543720173062817","0.550623089872275"
"PI_mort_37","7","6994","103463","2394.06066903144","2556","0.643641782826547","0.640570939206645","0.646712626446448"
"PI_mort_20","7","6994","103463","2394.06066903144","2556","0.643508181541342","0.640438843600586","0.646577519482098"
"PI_hosp_37","7","6994","103463","2394.06066903144","2556","0.642664519834353","0.6395980407099","0.645730998958806"
"PI_hosp_20","7","6994","103463","2394.06066903144","2556","0.642399758524995","0.639334374926085","0.645465142123905"
"num_mm_37","7","6994","103463","2394.06066903144","2556","0.547256897694075","0.544066142407096","0.550447652981053"
"num_mm_20","7","6994","103463","2394.06066903144","2556","0.545562208558459","0.542426602561274","0.548697814555645"
"PI_cons_NB_37","7","6994","103463","2394.06066903144","2556","0.635117849839213","0.632097167132518","0.638138532545908"
"PI_cons_NB_20","7","6994","103463","2394.06066903144","2556","0.6365047105243","0.633479201923452","0.639530219125147"
"PI_gen_37","7","6994","103463","2394.06066903144","2556","0.54563721957842","0.54241242736488","0.54886201179196"
"PI_mort_37","8","7396","103463","2500.25901046751","2570","0.642961879252153","0.639941313368314","0.645982445135991"
"PI_mort_20","8","7396","103463","2500.25901046751","2570","0.642827859499657","0.639808752882357","0.645846966116957"
"PI_hosp_37","8","7396","103463","2500.25901046751","2570","0.642029125886931","0.639012806318404","0.645045445455459"
