"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","1071","111898","366.069965504299","365","0.655864504270196","0.648193237585724","0.663535770954668"
"PI_mort_20","1","1071","111898","366.069965504299","365","0.655670631085544","0.648004190162656","0.663337072008431"
"PI_hosp_37","1","1071","111898","366.069965504299","365","0.656331513408274","0.648679211290906","0.663983815525642"
"PI_hosp_20","1","1071","111898","366.069965504299","365","0.656157551319655","0.648509708625563","0.663805394013747"
"num_mm_37","1","1071","111898","366.069965504299","365","0.563034244208385","0.554902190850904","0.571166297565866"
"num_mm_20","1","1071","111898","366.069965504299","365","0.561475773199063","0.553443084611994","0.569508461786131"
"PI_cons_NB_37","1","1071","111898","366.069965504299","365","0.650828276014189","0.643300729025878","0.6583558230025"
"PI_cons_NB_20","1","1071","111898","366.069965504299","365","0.652136491217508","0.644581260414239","0.659691722020778"
"PI_gen_37","1","1071","111898","366.069965504299","365","0.563940450692439","0.555708580650508","0.572172320734371"
"PI_mort_37","2","2139","111898","724.833294607589","730","0.655741851862925","0.650281994904202","0.661201708821648"
"PI_mort_20","2","2139","111898","724.833294607589","730","0.655539993889038","0.650083539280357","0.660996448497718"
"PI_hosp_37","2","2139","111898","724.833294607589","730","0.655727374283699","0.650277055435828","0.66117769313157"
"PI_hosp_20","2","2139","111898","724.833294607589","730","0.655550880065275","0.650103233479929","0.66099852665062"
"num_mm_37","2","2139","111898","724.833294607589","730","0.555575032461635","0.549821929431018","0.561328135492253"
"num_mm_20","2","2139","111898","724.833294607589","730","0.555097308261205","0.549430607498245","0.560764009024166"
"PI_cons_NB_37","2","2139","111898","724.833294607589","730","0.649770153588842","0.644406013853681","0.655134293324002"
"PI_cons_NB_20","2","2139","111898","724.833294607589","730","0.651164839025628","0.645787793884505","0.656541884166752"
"PI_gen_37","2","2139","111898","724.833294607589","730","0.556773665321837","0.55093251336363","0.562614817280043"
"PI_mort_37","3","3270","111898","1079.59346905217","1096","0.647730838283742","0.643259953599084","0.652201722968401"
"PI_mort_20","3","3270","111898","1079.59346905217","1096","0.647612091970775","0.643143810070608","0.652080373870943"
"PI_hosp_37","3","3270","111898","1079.59346905217","1096","0.647348840717468","0.642891132082242","0.651806549352693"
"PI_hosp_20","3","3270","111898","1079.59346905217","1096","0.647115920390385","0.642659572531982","0.651572268248788"
"num_mm_37","3","3270","111898","1079.59346905217","1096","0.553526912854102","0.548874959919104","0.558178865789101"
"num_mm_20","3","3270","111898","1079.59346905217","1096","0.552850683894685","0.548276055930944","0.557425311858426"
"PI_cons_NB_37","3","3270","111898","1079.59346905217","1096","0.64198334046143","0.637599891253827","0.646366789669033"
"PI_cons_NB_20","3","3270","111898","1079.59346905217","1096","0.643116177896029","0.638720745746748","0.64751161004531"
"PI_gen_37","3","3270","111898","1079.59346905217","1096","0.553187033542106","0.548481625277812","0.557892441806401"
"PI_mort_37","4","4396","111898","1428.23993279594","1461","0.645647377829681","0.641766252610071","0.649528503049291"
"PI_mort_20","4","4396","111898","1428.23993279594","1461","0.645519171130495","0.641639892986295","0.649398449274695"
"PI_hosp_37","4","4396","111898","1428.23993279594","1461","0.645205130198594","0.641330763064428","0.649079497332759"
"PI_hosp_20","4","4396","111898","1428.23993279594","1461","0.644910047060891","0.64103729143081","0.648782802690971"
"num_mm_37","4","4396","111898","1428.23993279594","1461","0.553700038202686","0.549679821949651","0.557720254455721"
"num_mm_20","4","4396","111898","1428.23993279594","1461","0.552171203662964","0.548217938686713","0.556124468639215"
"PI_cons_NB_37","4","4396","111898","1428.23993279594","1461","0.638795485937519","0.634984532604934","0.642606439270104"
"PI_cons_NB_20","4","4396","111898","1428.23993279594","1461","0.639911201795998","0.636091147554128","0.643731256037869"
"PI_gen_37","4","4396","111898","1428.23993279594","1461","0.553160034926862","0.549098601358121","0.557221468495603"
"PI_mort_37","5","5589","111898","1775.26084469785","1826","0.642958101766037","0.639520326764164","0.646395876767909"
"PI_mort_20","5","5589","111898","1775.26084469785","1826","0.642830090561004","0.639393969182876","0.646266211939132"
"PI_hosp_37","5","5589","111898","1775.26084469785","1826","0.642509548546442","0.639074876210504","0.645944220882379"
"PI_hosp_20","5","5589","111898","1775.26084469785","1826","0.642238778233369","0.638805484867651","0.645672071599087"
"num_mm_37","5","5589","111898","1775.26084469785","1826","0.552554395367599","0.548993599407318","0.55611519132788"
"num_mm_20","5","5589","111898","1775.26084469785","1826","0.550272263637099","0.546766133357478","0.55377839391672"
"PI_cons_NB_37","5","5589","111898","1775.26084469785","1826","0.636211385067779","0.632829559021676","0.639593211113882"
"PI_cons_NB_20","5","5589","111898","1775.26084469785","1826","0.637370471068203","0.633982017453984","0.640758924682422"
"PI_gen_37","5","5589","111898","1775.26084469785","1826","0.551681510448068","0.548078525872948","0.555284495023188"
"PI_mort_37","6","6824","111898","2115.89981947845","2191","0.643500894127697","0.640406486774645","0.646595301480749"
"PI_mort_20","6","6824","111898","2115.89981947845","2191","0.643396522198852","0.640303652366437","0.646489392031267"
"PI_hosp_37","6","6824","111898","2115.89981947845","2191","0.643158215792254","0.6400669046273","0.646249526957208"
"PI_hosp_20","6","6824","111898","2115.89981947845","2191","0.642913977858037","0.639823670498859","0.646004285217216"
"num_mm_37","6","6824","111898","2115.89981947845","2191","0.552404205652361","0.549176515794596","0.555631895510127"
"num_mm_20","6","6824","111898","2115.89981947845","2191","0.550238958310893","0.547062708216891","0.553415208404894"
"PI_cons_NB_37","6","6824","111898","2115.89981947845","2191","0.636615640985027","0.633568100015539","0.639663181954515"
"PI_cons_NB_20","6","6824","111898","2115.89981947845","2191","0.637795876422647","0.634743175594199","0.640848577251096"
"PI_gen_37","6","6824","111898","2115.89981947845","2191","0.551285660682969","0.548020009469089","0.55455131189685"
"PI_mort_37","7","7849","111898","2385.64326440151","2556","0.642091166507333","0.639191571182201","0.644990761832465"
"PI_mort_20","7","7849","111898","2385.64326440151","2556","0.641979169179336","0.639080992674247","0.644877345684424"
"PI_hosp_37","7","7849","111898","2385.64326440151","2556","0.641537648748259","0.638640644475602","0.644434653020915"
"PI_hosp_20","7","7849","111898","2385.64326440151","2556","0.641306636660952","0.638410645510043","0.64420262781186"
"num_mm_37","7","7849","111898","2385.64326440151","2556","0.550277093604747","0.547259244733543","0.553294942475951"
"num_mm_20","7","7849","111898","2385.64326440151","2556","0.5485022168296","0.545534336721511","0.551470096937689"
"PI_cons_NB_37","7","7849","111898","2385.64326440151","2556","0.634736078099837","0.631878428761382","0.637593727438292"
"PI_cons_NB_20","7","7849","111898","2385.64326440151","2556","0.636025124707764","0.633163195072482","0.638887054343045"
"PI_gen_37","7","7849","111898","2385.64326440151","2556","0.549330702469407","0.546277240834547","0.552384164104267"
"PI_mort_37","8","8294","111898","2491.24573272087","2569","0.641451028204874","0.638598001058463","0.644304055351286"
"PI_mort_20","8","8294","111898","2491.24573272087","2569","0.641337265491111","0.638485613812431","0.644188917169792"
"PI_hosp_37","8","8294","111898","2491.24573272087","2569","0.640954077684103","0.638103599556264","0.643804555811942"
"PI_hosp_20","8","8294","111898","2491.24573272087","2569","0.640726056797198","0.637876585499637","0.643575528094759"
"num_mm_37","8","8294","111898","2491.24573272087","2569","0.55009729541862","0.547128467563439","0.553066123273802"
"num_mm_20","8","8294","111898","2491.24573272087","2569","0.548483629480818","0.545564217476326","0.55140304148531"
"PI_cons_NB_37","8","8294","111898","2491.24573272087","2569","0.634205970374361","0.631393860966637","0.637018079782085"
"PI_cons_NB_20","8","8294","111898","2491.24573272087","2569","0.635485130962128","0.632668949402279","0.638301312521976"
"PI_gen_37","8","8294","111898","2491.24573272087","2569","0.549186004486906","0.546182353638656","0.552189655335157"
"PI_mort_37","9","8315","111898","2497.92419882393","2569","0.641592319363438","0.638738018510004","0.644446620216872"
"PI_mort_20","9","8315","111898","2497.92419882393","2569","0.641479942818988","0.638627022263939","0.644332863374037"
"PI_hosp_37","9","8315","111898","2497.92419882393","2569","0.64108988074039","0.638238166146927","0.643941595333853"
"PI_hosp_20","9","8315","111898","2497.92419882393","2569","0.640860654428339","0.638009943357795","0.643711365498883"
"num_mm_37","9","8315","111898","2497.92419882393","2569","0.550103603364766","0.547133715178589","0.553073491550943"
"num_mm_20","9","8315","111898","2497.92419882393","2569","0.548470719562128","0.54555025786218","0.551391181262075"
"PI_cons_NB_37","9","8315","111898","2497.92419882393","2569","0.634341860006335","0.631528565618113","0.637155154394557"
"PI_cons_NB_20","9","8315","111898","2497.92419882393","2569","0.635621599381108","0.632804171861931","0.638439026900284"
"PI_gen_37","9","8315","111898","2497.92419882393","2569","0.549153193347344","0.546148596204832","0.552157790489856"
"PI_mort_37","10","8315","111898","2497.92800586248","2569","0.641592319363438","0.638738018510004","0.644446620216872"
"PI_mort_20","10","8315","111898","2497.92800586248","2569","0.641479942818988","0.638627022263939","0.644332863374037"
"PI_hosp_37","10","8315","111898","2497.92800586248","2569","0.64108988074039","0.638238166146927","0.643941595333853"
"PI_hosp_20","10","8315","111898","2497.92800586248","2569","0.640860654428339","0.638009943357795","0.643711365498883"
"num_mm_37","10","8315","111898","2497.92800586248","2569","0.550103603364766","0.547133715178589","0.553073491550943"
"num_mm_20","10","8315","111898","2497.92800586248","2569","0.548470719562128","0.54555025786218","0.551391181262075"
"PI_cons_NB_37","10","8315","111898","2497.92800586248","2569","0.634341860006335","0.631528565618113","0.637155154394557"
"PI_cons_NB_20","10","8315","111898","2497.92800586248","2569","0.635621599381108","0.632804171861931","0.638439026900284"
"PI_gen_37","10","8315","111898","2497.92800586248","2569","0.549153193347344","0.546148596204832","0.552157790489856"
