"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","234","36605","366.631170605109","365","0.600598984099535","0.583350471599939","0.617847496599131"
"PI_mort_20","1","234","36605","366.631170605109","365","0.601249167426747","0.583954089210593","0.6185442456429"
"PI_hosp_37","1","234","36605","366.631170605109","365","0.600103570062394","0.583171190538972","0.617035949585816"
"PI_hosp_20","1","234","36605","366.631170605109","365","0.60118789237852","0.584219450447765","0.618156334309276"
"num_mm_37","1","234","36605","366.631170605109","365","0.519817205869517","0.503117421287804","0.53651699045123"
"num_mm_20","1","234","36605","366.631170605109","365","0.512977363966171","0.496725073191901","0.529229654740441"
"PI_cons_NB_37","1","234","36605","366.631170605109","365","0.597290131495316","0.581083152389445","0.613497110601188"
"PI_cons_NB_20","1","234","36605","366.631170605109","365","0.597337405839407","0.580953544346217","0.613721267332596"
"PI_gen_37","1","234","36605","366.631170605109","365","0.52774166299075","0.51060789749436","0.544875428487139"
"PI_mort_37","2","500","36605","726.995929517825","730","0.577227110340878","0.565108128462988","0.589346092218768"
"PI_mort_20","2","500","36605","726.995929517825","730","0.577790540139788","0.565647297462717","0.58993378281686"
"PI_hosp_37","2","500","36605","726.995929517825","730","0.577446843006077","0.565446703507382","0.589446982504772"
"PI_hosp_20","2","500","36605","726.995929517825","730","0.577635102684269","0.565598945000631","0.589671260367906"
"num_mm_37","2","500","36605","726.995929517825","730","0.514940940100049","0.503455413785218","0.526426466414881"
"num_mm_20","2","500","36605","726.995929517825","730","0.515440322508076","0.504264004871877","0.526616640144275"
"PI_cons_NB_37","2","500","36605","726.995929517825","730","0.574613833608623","0.562965689858463","0.586261977358783"
"PI_cons_NB_20","2","500","36605","726.995929517825","730","0.575912762056674","0.564173704716199","0.587651819397148"
"PI_gen_37","2","500","36605","726.995929517825","730","0.5195670836943","0.507925367260172","0.531208800128427"
"PI_mort_37","3","773","36605","1084.54350498566","1096","0.566798994219471","0.556926684208194","0.576671304230747"
"PI_mort_20","3","773","36605","1084.54350498566","1096","0.567376302853744","0.557502336630914","0.577250269076575"
"PI_hosp_37","3","773","36605","1084.54350498566","1096","0.566785378702978","0.556979745236489","0.576591012169466"
"PI_hosp_20","3","773","36605","1084.54350498566","1096","0.566361275939572","0.556547390130161","0.576175161748982"
"num_mm_37","3","773","36605","1084.54350498566","1096","0.51062275082313","0.501398792879636","0.519846708766625"
"num_mm_20","3","773","36605","1084.54350498566","1096","0.509583194509336","0.500638443093198","0.518527945925474"
"PI_cons_NB_37","3","773","36605","1084.54350498566","1096","0.563534419184789","0.553976391822951","0.573092446546627"
"PI_cons_NB_20","3","773","36605","1084.54350498566","1096","0.564185369692762","0.554593266260595","0.573777473124929"
"PI_gen_37","3","773","36605","1084.54350498566","1096","0.511434493245326","0.502125745881226","0.520743240609426"
"PI_mort_37","4","1068","36605","1437.0874197514","1461","0.56360044570272","0.555081103708792","0.572119787696649"
"PI_mort_20","4","1068","36605","1437.0874197514","1461","0.564124275222341","0.555612882827647","0.572635667617034"
"PI_hosp_37","4","1068","36605","1437.0874197514","1461","0.562444562048151","0.554067298559751","0.57082182553655"
"PI_hosp_20","4","1068","36605","1437.0874197514","1461","0.562315855823524","0.553937891647468","0.57069381999958"
"num_mm_37","4","1068","36605","1437.0874197514","1461","0.510246660254995","0.502410962534519","0.518082357975471"
"num_mm_20","4","1068","36605","1437.0874197514","1461","0.508271004742651","0.50065986736155","0.515882142123752"
"PI_cons_NB_37","4","1068","36605","1437.0874197514","1461","0.559890554816086","0.551732315732517","0.568048793899656"
"PI_cons_NB_20","4","1068","36605","1437.0874197514","1461","0.56055058573629","0.552364188071887","0.568736983400692"
"PI_gen_37","4","1068","36605","1437.0874197514","1461","0.509616427864201","0.501678461772592","0.517554393955811"
"PI_mort_37","5","1385","36605","1788.82559759596","1826","0.562763989005117","0.55530254394359","0.570225434066645"
"PI_mort_20","5","1385","36605","1788.82559759596","1826","0.563157479029013","0.555704833366023","0.570610124692003"
"PI_hosp_37","5","1385","36605","1788.82559759596","1826","0.561258804929399","0.553917161821802","0.568600448036996"
"PI_hosp_20","5","1385","36605","1788.82559759596","1826","0.560905382132095","0.553564550180171","0.568246214084019"
"num_mm_37","5","1385","36605","1788.82559759596","1826","0.509804123514792","0.502936380861584","0.516671866167999"
"num_mm_20","5","1385","36605","1788.82559759596","1826","0.507670866496142","0.500991063200072","0.514350669792212"
"PI_cons_NB_37","5","1385","36605","1788.82559759596","1826","0.558297592768693","0.551123285717403","0.565471899819983"
"PI_cons_NB_20","5","1385","36605","1788.82559759596","1826","0.559147871368063","0.551944497186088","0.566351245550037"
"PI_gen_37","5","1385","36605","1788.82559759596","1826","0.50905254021879","0.502084088757181","0.516020991680398"
"PI_mort_37","6","1713","36605","2135.2800163912","2191","0.560119284318363","0.553404748060492","0.566833820576234"
"PI_mort_20","6","1713","36605","2135.2800163912","2191","0.560633147344489","0.553924342955214","0.567341951733763"
"PI_hosp_37","6","1713","36605","2135.2800163912","2191","0.560283128744292","0.553638666197819","0.566927591290765"
"PI_hosp_20","6","1713","36605","2135.2800163912","2191","0.559929764372034","0.553287230829504","0.566572297914565"
"num_mm_37","6","1713","36605","2135.2800163912","2191","0.513307619762977","0.507073183622638","0.519542055903315"
"num_mm_20","6","1713","36605","2135.2800163912","2191","0.511815298818283","0.505747311412783","0.517883286223783"
"PI_cons_NB_37","6","1713","36605","2135.2800163912","2191","0.558213498110639","0.551675651247297","0.564751344973982"
"PI_cons_NB_20","6","1713","36605","2135.2800163912","2191","0.558838845870023","0.552284696842997","0.56539299489705"
"PI_gen_37","6","1713","36605","2135.2800163912","2191","0.512372779887528","0.506052363364728","0.518693196410328"
"PI_mort_37","7","1995","36605","2412.95478759732","2556","0.55765208718724","0.551381027928356","0.563923146446124"
"PI_mort_20","7","1995","36605","2412.95478759732","2556","0.558105802900084","0.551840647801504","0.564370957998663"
"PI_hosp_37","7","1995","36605","2412.95478759732","2556","0.558169977385326","0.551961359783399","0.564378594987253"
"PI_hosp_20","7","1995","36605","2412.95478759732","2556","0.558061468645962","0.551852851209913","0.56427008608201"
"num_mm_37","7","1995","36605","2412.95478759732","2556","0.514016691977157","0.508227320609025","0.519806063345289"
"num_mm_20","7","1995","36605","2412.95478759732","2556","0.513487884940171","0.507845730185927","0.519130039694416"
"PI_cons_NB_37","7","1995","36605","2412.95478759732","2556","0.555538076853995","0.549420111791822","0.561656041916167"
"PI_cons_NB_20","7","1995","36605","2412.95478759732","2556","0.556534575477263","0.550401502200046","0.562667648754479"
"PI_gen_37","7","1995","36605","2412.95478759732","2556","0.513415301734396","0.507543741547693","0.519286861921098"
"PI_mort_37","8","2127","36605","2523.49255566179","2580","0.557228238430218","0.551085491947866","0.563370984912571"
"PI_mort_20","8","2127","36605","2523.49255566179","2580","0.557636598490347","0.551499451368115","0.563773745612579"
"PI_hosp_37","8","2127","36605","2523.49255566179","2580","0.557999253503046","0.551916453380325","0.564082053625766"
"PI_hosp_20","8","2127","36605","2523.49255566179","2580","0.557972766312958","0.551890144431227","0.564055388194688"
"num_mm_37","8","2127","36605","2523.49255566179","2580","0.513684384797146","0.508010381207522","0.519358388386771"
"num_mm_20","8","2127","36605","2523.49255566179","2580","0.513551221913433","0.5080212655738","0.519081178253067"
"PI_cons_NB_37","8","2127","36605","2523.49255566179","2580","0.555399189620432","0.54939972571145","0.561398653529413"
"PI_cons_NB_20","8","2127","36605","2523.49255566179","2580","0.556539818504099","0.550526479406527","0.562553157601672"
"PI_gen_37","8","2127","36605","2523.49255566179","2580","0.513370293161744","0.507614605087424","0.519125981236065"
"PI_mort_37","9","2130","36605","2530.53560988936","2580","0.557291288307529","0.551139227728017","0.563443348887041"
"PI_mort_20","9","2130","36605","2530.53560988936","2580","0.557703303938663","0.55155691698732","0.563849690890006"
"PI_hosp_37","9","2130","36605","2530.53560988936","2580","0.558036390890541","0.551945159840055","0.564127621941027"
"PI_hosp_20","9","2130","36605","2530.53560988936","2580","0.558000167481081","0.551909140612763","0.564091194349399"
"num_mm_37","9","2130","36605","2530.53560988936","2580","0.513833967034249","0.50815257603502","0.519515358033478"
"num_mm_20","9","2130","36605","2530.53560988936","2580","0.513627318816542","0.508090477244272","0.519164160388812"
"PI_cons_NB_37","9","2130","36605","2530.53560988936","2580","0.555382904082039","0.549378149825843","0.561387658338236"
"PI_cons_NB_20","9","2130","36605","2530.53560988936","2580","0.556514024092169","0.55049501949121","0.562533028693128"
"PI_gen_37","9","2130","36605","2530.53560988936","2580","0.513425411697553","0.507663662033251","0.519187161361854"
"PI_mort_37","10","2130","36605","2530.54093703046","2580","0.557291288307529","0.551139227728017","0.563443348887041"
"PI_mort_20","10","2130","36605","2530.54093703046","2580","0.557703303938663","0.55155691698732","0.563849690890006"
"PI_hosp_37","10","2130","36605","2530.54093703046","2580","0.558036390890541","0.551945159840055","0.564127621941027"
"PI_hosp_20","10","2130","36605","2530.54093703046","2580","0.558000167481081","0.551909140612763","0.564091194349399"
"num_mm_37","10","2130","36605","2530.54093703046","2580","0.513833967034249","0.50815257603502","0.519515358033478"
"num_mm_20","10","2130","36605","2530.54093703046","2580","0.513627318816542","0.508090477244272","0.519164160388812"
