"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","99","16227","366.291181364393","365","0.633549070531198","0.609728680099512","0.657369460962884"
"PI_mort_20","1","99","16227","366.291181364393","365","0.635540610934765","0.611663991161977","0.659417230707554"
"PI_hosp_37","1","99","16227","366.291181364393","365","0.646018293315145","0.621574031166033","0.670462555464256"
"PI_hosp_20","1","99","16227","366.291181364393","365","0.645615425646868","0.621102238780087","0.670128612513649"
"num_mm_37","1","99","16227","366.291181364393","365","0.564601548261048","0.538654498199305","0.590548598322791"
"num_mm_20","1","99","16227","366.291181364393","365","0.548088658369467","0.522709241873323","0.57346807486561"
"PI_cons_NB_37","1","99","16227","366.291181364393","365","0.648408641480254","0.623579018930382","0.673238264030127"
"PI_cons_NB_20","1","99","16227","366.291181364393","365","0.645218803988952","0.620529712035891","0.669907895942013"
"PI_gen_37","1","99","16227","366.291181364393","365","0.575883092174873","0.549046280032357","0.60271990431739"
"PI_mort_37","2","205","16227","726.757995932705","730","0.618882907748849","0.601640080060404","0.636125735437295"
"PI_mort_20","2","205","16227","726.757995932705","730","0.62061616276967","0.603350742786486","0.637881582752854"
"PI_hosp_37","2","205","16227","726.757995932705","730","0.62206195553695","0.604658792967716","0.639465118106184"
"PI_hosp_20","2","205","16227","726.757995932705","730","0.621799483416094","0.604311151959431","0.639287814872756"
"num_mm_37","2","205","16227","726.757995932705","730","0.544129999578954","0.526014488488131","0.562245510669777"
"num_mm_20","2","205","16227","726.757995932705","730","0.534822613979995","0.517302858036149","0.552342369923841"
"PI_cons_NB_37","2","205","16227","726.757995932705","730","0.621861731564779","0.604273317400974","0.639450145728584"
"PI_cons_NB_20","2","205","16227","726.757995932705","730","0.620179214086074","0.602573537540137","0.637784890632012"
"PI_gen_37","2","205","16227","726.757995932705","730","0.545285452441051","0.527239135241116","0.563331769640987"
"PI_mort_37","3","324","16227","1084.54162815061","1096","0.602964860632851","0.58870219652023","0.617227524745472"
"PI_mort_20","3","324","16227","1084.54162815061","1096","0.60456748800196","0.590299215509579","0.618835760494341"
"PI_hosp_37","3","324","16227","1084.54162815061","1096","0.604759294882473","0.59043816321131","0.619080426553636"
"PI_hosp_20","3","324","16227","1084.54162815061","1096","0.603427816195857","0.589121020707994","0.617734611683721"
"num_mm_37","3","324","16227","1084.54162815061","1096","0.529802764368521","0.515438873175249","0.544166655561793"
"num_mm_20","3","324","16227","1084.54162815061","1096","0.521108482004528","0.507258168589481","0.534958795419576"
"PI_cons_NB_37","3","324","16227","1084.54162815061","1096","0.603864099818149","0.589537997432519","0.61819020220378"
"PI_cons_NB_20","3","324","16227","1084.54162815061","1096","0.601835010263401","0.58750243628901","0.616167584237792"
"PI_gen_37","3","324","16227","1084.54162815061","1096","0.528862217376124","0.51464603690904","0.543078397843208"
"PI_mort_37","4","452","16227","1437.19855795896","1461","0.590535044796678","0.578023833277766","0.603046256315589"
"PI_mort_20","4","452","16227","1437.19855795896","1461","0.591790145355254","0.579276265686874","0.604304025023634"
"PI_hosp_37","4","452","16227","1437.19855795896","1461","0.591654944394183","0.579234381475973","0.604075507312393"
"PI_hosp_20","4","452","16227","1437.19855795896","1461","0.591183093733737","0.578760010016182","0.603606177451293"
"num_mm_37","4","452","16227","1437.19855795896","1461","0.523963451205356","0.511825064891338","0.536101837519374"
"num_mm_20","4","452","16227","1437.19855795896","1461","0.518063098128982","0.506311357176404","0.529814839081561"
"PI_cons_NB_37","4","452","16227","1437.19855795896","1461","0.591082369364586","0.578690062668352","0.60347467606082"
"PI_cons_NB_20","4","452","16227","1437.19855795896","1461","0.590193469869887","0.577784902943268","0.602602036796505"
"PI_gen_37","4","452","16227","1437.19855795896","1461","0.520658901086033","0.508541118073466","0.5327766840986"
"PI_mort_37","5","588","16227","1788.65206137918","1826","0.591094618293453","0.580089865285404","0.602099371301503"
"PI_mort_20","5","588","16227","1788.65206137918","1826","0.5917727409386","0.580776649723951","0.60276883215325"
"PI_hosp_37","5","588","16227","1788.65206137918","1826","0.589321120370764","0.57845390065006","0.600188340091467"
"PI_hosp_20","5","588","16227","1788.65206137918","1826","0.588434880711745","0.577570985805132","0.599298775618359"
"num_mm_37","5","588","16227","1788.65206137918","1826","0.517016862946422","0.506412185124792","0.527621540768052"
"num_mm_20","5","588","16227","1788.65206137918","1826","0.511310425236349","0.501035959765947","0.521584890706751"
"PI_cons_NB_37","5","588","16227","1788.65206137918","1826","0.587485648396545","0.57670631388822","0.598264982904869"
"PI_cons_NB_20","5","588","16227","1788.65206137918","1826","0.586685025139163","0.575860116244398","0.597509934033928"
"PI_gen_37","5","588","16227","1788.65206137918","1826","0.515109284484914","0.504503965692225","0.525714603277604"
"PI_mort_37","6","727","16227","2134.93443027054","2191","0.580301062055419","0.570294334260542","0.590307789850295"
"PI_mort_20","6","727","16227","2134.93443027054","2191","0.580876680343669","0.570873447830133","0.590879912857205"
"PI_hosp_37","6","727","16227","2134.93443027054","2191","0.581976816735816","0.572046855022579","0.591906778449053"
"PI_hosp_20","6","727","16227","2134.93443027054","2191","0.580909337372748","0.570979351817924","0.590839322927571"
"num_mm_37","6","727","16227","2134.93443027054","2191","0.522642918975077","0.51300088157973","0.532284956370423"
"num_mm_20","6","727","16227","2134.93443027054","2191","0.517171100770348","0.507808723787906","0.526533477752791"
"PI_cons_NB_37","6","727","16227","2134.93443027054","2191","0.581325463788674","0.571437500505768","0.59121342707158"
