"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","135","20378","366.901904014133","365","0.57751718094268","0.55374668319235","0.601287678693009"
"PI_mort_20","1","135","20378","366.901904014133","365","0.576919035685503","0.553074571434398","0.600763499936608"
"PI_hosp_37","1","135","20378","366.901904014133","365","0.566605909653251","0.543832633465669","0.589379185840833"
"PI_hosp_20","1","135","20378","366.901904014133","365","0.568935009575067","0.546109299722987","0.591760719427147"
"num_mm_37","1","135","20378","366.901904014133","365","0.486691769674491","0.465091762503463","0.50829177684552"
"num_mm_20","1","135","20378","366.901904014133","365","0.487232818418861","0.466266905820173","0.508198731017549"
"PI_cons_NB_37","1","135","20378","366.901904014133","365","0.556195372956976","0.534385267264763","0.578005478649188"
"PI_cons_NB_20","1","135","20378","366.901904014133","365","0.559573735312241","0.53733744325028","0.581810027374203"
"PI_gen_37","1","135","20378","366.901904014133","365","0.49127590822675","0.469379782914983","0.513172033538517"
"PI_mort_37","2","295","20378","727.185396015311","730","0.550196936887622","0.533906363304196","0.566487510471049"
"PI_mort_20","2","295","20378","727.185396015311","730","0.549635290258441","0.533296934317841","0.565973646199042"
"PI_hosp_37","2","295","20378","727.185396015311","730","0.546693898729864","0.530597996140005","0.562789801319722"
"PI_hosp_20","2","295","20378","727.185396015311","730","0.547427946892278","0.531307334572285","0.563548559212271"
"num_mm_37","2","295","20378","727.185396015311","730","0.493643112726453","0.478831074695457","0.508455150757449"
"num_mm_20","2","295","20378","727.185396015311","730","0.501634712008941","0.487148682433594","0.516120741584287"
"PI_cons_NB_37","2","295","20378","727.185396015311","730","0.537060459943141","0.521202029609356","0.552918890276926"
"PI_cons_NB_20","2","295","20378","727.185396015311","730","0.540774052697178","0.524802816866895","0.556745288527462"
"PI_gen_37","2","295","20378","727.185396015311","730","0.500500098610994","0.485293068473145","0.515707128748842"
"PI_mort_37","3","449","20378","1084.54499950927","1096","0.541866373415451","0.528628120474757","0.555104626356144"
"PI_mort_20","3","449","20378","1084.54499950927","1096","0.541462607039313","0.52821694762278","0.554708266455846"
"PI_hosp_37","3","449","20378","1084.54499950927","1096","0.539500934356452","0.526314539105063","0.552687329607841"
"PI_hosp_20","3","449","20378","1084.54499950927","1096","0.539875540135053","0.526665749972022","0.553085330298084"
"num_mm_37","3","449","20378","1084.54499950927","1096","0.496045502041463","0.484010137424442","0.508080866658484"
"num_mm_20","3","449","20378","1084.54499950927","1096","0.501024660237539","0.489310474810753","0.512738845664324"
"PI_cons_NB_37","3","449","20378","1084.54499950927","1096","0.53301538506486","0.519887858519361","0.54614291161036"
