"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","96","24269","369.063167003173","365","0.611185620067695","0.583767970597565","0.638603269537824"
"PI_mort_20","1","96","24269","369.063167003173","365","0.612515597773793","0.585229138804302","0.639802056743284"
"PI_hosp_37","1","96","24269","369.063167003173","365","0.613690941914127","0.586989232154988","0.640392651673266"
"PI_hosp_20","1","96","24269","369.063167003173","365","0.61245301311783","0.585631158916956","0.639274867318703"
"num_mm_37","1","96","24269","369.063167003173","365","0.51910294466183","0.494276463975205","0.543929425348455"
"num_mm_20","1","96","24269","369.063167003173","365","0.518519896543908","0.494370729719805","0.54266906336801"
"PI_cons_NB_37","1","96","24269","369.063167003173","365","0.62265560244506","0.595823411867542","0.649487793022578"
"PI_cons_NB_20","1","96","24269","369.063167003173","365","0.622570220629193","0.595477301115182","0.649663140143204"
"PI_gen_37","1","96","24269","369.063167003173","365","0.521521164152025","0.496397114491714","0.546645213812337"
"PI_mort_37","2","174","24269","731.173760764762","730","0.572545302844442","0.551346844655105","0.593743761033778"
"PI_mort_20","2","174","24269","731.173760764762","730","0.574021177746745","0.552831529664074","0.595210825829417"
"PI_hosp_37","2","174","24269","731.173760764762","730","0.571545574146723","0.550663378404349","0.592427769889098"
"PI_hosp_20","2","174","24269","731.173760764762","730","0.571524887644951","0.550581342303667","0.592468432986235"
"num_mm_37","2","174","24269","731.173760764762","730","0.495951746713521","0.478457604044802","0.51344588938224"
"num_mm_20","2","174","24269","731.173760764762","730","0.49894451285785","0.481976127386478","0.515912898329221"
"PI_cons_NB_37","2","174","24269","731.173760764762","730","0.584753192200666","0.564183950400427","0.605322434000905"
"PI_cons_NB_20","2","174","24269","731.173760764762","730","0.585347513018824","0.56464518066091","0.606049845376738"
"PI_gen_37","2","174","24269","731.173760764762","730","0.499884797584958","0.481965215531203","0.517804379638713"
"PI_mort_37","3","290","24269","1091.79813754172","1096","0.570011382196413","0.55395813843927","0.586064625953556"
"PI_mort_20","3","290","24269","1091.79813754172","1096","0.571111756571233","0.555093667692644","0.587129845449822"
"PI_hosp_37","3","290","24269","1091.79813754172","1096","0.575378112844712","0.559402942988927","0.591353282700497"
"PI_hosp_20","3","290","24269","1091.79813754172","1096","0.574451654997113","0.558529539677106","0.59037377031712"
"num_mm_37","3","290","24269","1091.79813754172","1096","0.515626518013703","0.501558882945818","0.529694153081588"
"num_mm_20","3","290","24269","1091.79813754172","1096","0.516021138977977","0.502410334462692","0.529631943493263"
"PI_cons_NB_37","3","290","24269","1091.79813754172","1096","0.598477103613758","0.582593635689653","0.614360571537863"
"PI_cons_NB_20","3","290","24269","1091.79813754172","1096","0.596460716398733","0.580582507290508","0.612338925506958"
"PI_gen_37","3","290","24269","1091.79813754172","1096","0.520345443580148","0.505921618657571","0.534769268502724"
"PI_mort_37","4","396","24269","1447.60274424163","1461","0.568281950127348","0.554629217093375","0.581934683161321"
"PI_mort_20","4","396","24269","1447.60274424163","1461","0.568841421674404","0.555227811477889","0.582455031870918"
"PI_hosp_37","4","396","24269","1447.60274424163","1461","0.57201167289504","0.55844093587451","0.58558240991557"
"PI_hosp_20","4","396","24269","1447.60274424163","1461","0.571026937837989","0.557517822337928","0.584536053338049"
"num_mm_37","4","396","24269","1447.60274424163","1461","0.509457753305983","0.497578597851513","0.521336908760452"
"num_mm_20","4","396","24269","1447.60274424163","1461","0.508840396335506","0.49739395428149","0.520286838389522"
"PI_cons_NB_37","4","396","24269","1447.60274424163","1461","0.594555051243833","0.58115304292409","0.607957059563575"
"PI_cons_NB_20","4","396","24269","1447.60274424163","1461","0.592378254663086","0.578976750372981","0.605779758953191"
"PI_gen_37","4","396","24269","1447.60274424163","1461","0.513131639226945","0.501001603963959","0.525261674489931"
"PI_mort_37","5","502","24269","1806.85710165231","1826","0.562921096911654","0.550713287285015","0.575128906538293"
"PI_mort_20","5","502","24269","1806.85710165231","1826","0.563764495471354","0.551593896624678","0.57593509431803"
"PI_hosp_37","5","502","24269","1806.85710165231","1826","0.567653467630146","0.555546722880811","0.57976021237948"
"PI_hosp_20","5","502","24269","1806.85710165231","1826","0.567081882526071","0.555002748410292","0.57916101664185"
"num_mm_37","5","502","24269","1806.85710165231","1826","0.511145348703886","0.500588631123363","0.52170206628441"
"num_mm_20","5","502","24269","1806.85710165231","1826","0.512070004656098","0.501849368835712","0.522290640476484"
"PI_cons_NB_37","5","502","24269","1806.85710165231","1826","0.592489149894798","0.58060616702327","0.604372132766325"
"PI_cons_NB_20","5","502","24269","1806.85710165231","1826","0.590378825619642","0.578479179641287","0.602278471597996"
"PI_gen_37","5","502","24269","1806.85710165231","1826","0.514902381456432","0.504122443938022","0.525682318974841"
"PI_mort_37","6","589","24269","2161.74226379332","2191","0.5636035279968","0.552250676876595","0.574956379117006"
"PI_mort_20","6","589","24269","2161.74226379332","2191","0.564233132047385","0.552912450133646","0.575553813961125"
"PI_hosp_37","6","589","24269","2161.74226379332","2191","0.567374978320104","0.556174236825391","0.578575719814817"
"PI_hosp_20","6","589","24269","2161.74226379332","2191","0.566401689371302","0.555246810265382","0.577556568477221"
"num_mm_37","6","589","24269","2161.74226379332","2191","0.514198735171448","0.504463436047859","0.523934034295037"
"num_mm_20","6","589","24269","2161.74226379332","2191","0.511593031662725","0.502234321210288","0.520951742115163"
"PI_cons_NB_37","6","589","24269","2161.74226379332","2191","0.592744395232382","0.581886517944312","0.603602272520452"
"PI_cons_NB_20","6","589","24269","2161.74226379332","2191","0.590009570378975","0.579134236032538","0.600884904725411"
"PI_gen_37","6","589","24269","2161.74226379332","2191","0.517040149890046","0.507142195323154","0.526938104456938"
"PI_mort_37","7","681","24269","2446.34562610738","2556","0.563071029990073","0.552580003853952","0.573562056126194"
"PI_mort_20","7","681","24269","2446.34562610738","2556","0.563537590262183","0.553074563406514","0.574000617117852"
"PI_hosp_37","7","681","24269","2446.34562610738","2556","0.56490977262337","0.554549289416639","0.575270255830101"
"PI_hosp_20","7","681","24269","2446.34562610738","2556","0.564105954666041","0.55378555915041","0.574426350181672"
"num_mm_37","7","681","24269","2446.34562610738","2556","0.50864267310435","0.499642100745292","0.517643245463408"
"num_mm_20","7","681","24269","2446.34562610738","2556","0.507672194979607","0.499023297041063","0.516321092918151"
"PI_cons_NB_37","7","681","24269","2446.34562610738","2556","0.58930918651884","0.579228744754762","0.599389628282917"
"PI_cons_NB_20","7","681","24269","2446.34562610738","2556","0.587174796119272","0.577078292526347","0.597271299712197"
"PI_gen_37","7","681","24269","2446.34562610738","2556","0.510947850014543","0.501813230598866","0.52008246943022"
"PI_mort_37","8","736","24269","2563.35448514566","2590","0.563155130624116","0.552896689289133","0.573413571959099"
"PI_mort_20","8","736","24269","2563.35448514566","2590","0.563584613132876","0.553353289954963","0.573815936310789"
"PI_hosp_37","8","736","24269","2563.35448514566","2590","0.564885451342734","0.554757332187187","0.575013570498281"
"PI_hosp_20","8","736","24269","2563.35448514566","2590","0.56405080877816","0.553959969995834","0.574141647560486"
"num_mm_37","8","736","24269","2563.35448514566","2590","0.507249865446355","0.49845713593824","0.51604259495447"
"num_mm_20","8","736","24269","2563.35448514566","2590","0.50677449151694","0.498324038991311","0.51522494404257"
"PI_cons_NB_37","8","736","24269","2563.35448514566","2590","0.588554196299267","0.578698474305984","0.598409918292549"
"PI_cons_NB_20","8","736","24269","2563.35448514566","2590","0.586544213263184","0.57667341643315","0.596415010093217"
"PI_gen_37","8","736","24269","2563.35448514566","2590","0.509533391943816","0.500611556486492","0.51845522740114"
"PI_mort_37","9","738","24269","2571.58585026165","2590","0.563104874488916","0.552848775744697","0.573360973233136"
"PI_mort_20","9","738","24269","2571.58585026165","2590","0.563533947113954","0.553304958778563","0.573762935449346"
"PI_hosp_37","9","738","24269","2571.58585026165","2590","0.56486218198295","0.554736385026949","0.574987978938952"
"PI_hosp_20","9","738","24269","2571.58585026165","2590","0.564032268414719","0.553943750713252","0.574120786116185"
"num_mm_37","9","738","24269","2571.58585026165","2590","0.507268296959121","0.498477640615634","0.516058953302607"
"num_mm_20","9","738","24269","2571.58585026165","2590","0.50679615801985","0.498347700029733","0.515244616009967"
"PI_cons_NB_37","9","738","24269","2571.58585026165","2590","0.58854770661783","0.57869427326771","0.598401139967951"
"PI_cons_NB_20","9","738","24269","2571.58585026165","2590","0.586537843330744","0.576669337810169","0.596406348851319"
"PI_gen_37","9","738","24269","2571.58585026165","2590","0.509548884640576","0.500629150631908","0.518468618649245"
"PI_mort_37","10","738","24269","2571.5873336355","2590","0.563104874488916","0.552848775744697","0.573360973233136"
"PI_mort_20","10","738","24269","2571.5873336355","2590","0.563533947113954","0.553304958778563","0.573762935449346"
"PI_hosp_37","10","738","24269","2571.5873336355","2590","0.56486218198295","0.554736385026949","0.574987978938952"
"PI_hosp_20","10","738","24269","2571.5873336355","2590","0.564032268414719","0.553943750713252","0.574120786116185"
"num_mm_37","10","738","24269","2571.5873336355","2590","0.507268296959121","0.498477640615634","0.516058953302607"
"num_mm_20","10","738","24269","2571.5873336355","2590","0.50679615801985","0.498347700029733","0.515244616009967"
"PI_cons_NB_37","10","738","24269","2571.5873336355","2590","0.58854770661783","0.57869427326771","0.598401139967951"
"PI_cons_NB_20","10","738","24269","2571.5873336355","2590","0.586537843330744","0.576669337810169","0.596406348851319"
"PI_gen_37","10","738","24269","2571.5873336355","2590","0.509548884640576","0.500629150631908","0.518468618649245"
