"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","29","11170","369.566427931961","365","0.548206964361909","0.496057872754444","0.600356055969375"
"PI_mort_20","1","29","11170","369.566427931961","365","0.55357463097292","0.502086433786705","0.605062828159136"
"PI_hosp_37","1","29","11170","369.566427931961","365","0.56531485569758","0.5135255164405","0.61710419495466"
"PI_hosp_20","1","29","11170","369.566427931961","365","0.570010017995288","0.518124864625971","0.621895171364605"
"num_mm_37","1","29","11170","369.566427931961","365","0.512656994972451","0.469025130038587","0.556288859906314"
"num_mm_20","1","29","11170","369.566427931961","365","0.526281777761287","0.482893736245561","0.569669819277014"
"PI_cons_NB_37","1","29","11170","369.566427931961","365","0.558118286551769","0.50712491934085","0.609111653762688"
"PI_cons_NB_20","1","29","11170","369.566427931961","365","0.563866265946855","0.512594272628568","0.615138259265142"
"PI_gen_37","1","29","11170","369.566427931961","365","0.512315331861554","0.468922186631004","0.555708477092103"
"PI_mort_37","2","49","11170","732.324440465533","730","0.561237764723559","0.522456915911414","0.600018613535703"
"PI_mort_20","2","49","11170","732.324440465533","730","0.564288567460303","0.525841641992672","0.602735492927934"
"PI_hosp_37","2","49","11170","732.324440465533","730","0.561780129654535","0.52385798454049","0.599702274768581"
"PI_hosp_20","2","49","11170","732.324440465533","730","0.56538520736297","0.527406996592532","0.603363418133409"
"num_mm_37","2","49","11170","732.324440465533","730","0.465665184935448","0.436101282161472","0.495229087709423"
"num_mm_20","2","49","11170","732.324440465533","730","0.47925912217503","0.449892055133279","0.508626189216781"
"PI_cons_NB_37","2","49","11170","732.324440465533","730","0.551723474507016","0.514048996969194","0.589397952044838"
"PI_cons_NB_20","2","49","11170","732.324440465533","730","0.558173219632145","0.520384813600527","0.595961625663762"
"PI_gen_37","2","49","11170","732.324440465533","730","0.465805356953082","0.436395543960113","0.49521516994605"
"PI_mort_37","3","76","11170","1094.18218442256","1096","0.560049682413633","0.528711661575952","0.591387703251314"
"PI_mort_20","3","76","11170","1094.18218442256","1096","0.561615424034311","0.530473613476587","0.592757234592036"
"PI_hosp_37","3","76","11170","1094.18218442256","1096","0.556503981812307","0.525543116372854","0.58746484725176"
"PI_hosp_20","3","76","11170","1094.18218442256","1096","0.558118837777097","0.527308349976203","0.58892932557799"
"num_mm_37","3","76","11170","1094.18218442256","1096","0.470129010955457","0.446397689284548","0.493860332626367"
"num_mm_20","3","76","11170","1094.18218442256","1096","0.477566579523224","0.4544537685559","0.500679390490548"
"PI_cons_NB_37","3","76","11170","1094.18218442256","1096","0.544654406621797","0.514040905548617","0.575267907694978"
"PI_cons_NB_20","3","76","11170","1094.18218442256","1096","0.549383585394459","0.51888694376689","0.579880227022028"
"PI_gen_37","3","76","11170","1094.18218442256","1096","0.471314856083137","0.447434910647771","0.495194801518503"
"PI_mort_37","4","109","11170","1451.64914950761","1461","0.564583198966742","0.538731365635091","0.590435032298392"
"PI_mort_20","4","109","11170","1451.64914950761","1461","0.567108050584681","0.541365008109201","0.59285109306016"
