"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","67","13099","368.634017863959","365","0.644356474103017","0.61243377746404","0.676279170741993"
"PI_mort_20","1","67","13099","368.634017863959","365","0.642899251109626","0.610985123650593","0.674813378568659"
"PI_hosp_37","1","67","13099","368.634017863959","365","0.630871877481306","0.600182997518731","0.661560757443881"
"PI_hosp_20","1","67","13099","368.634017863959","365","0.627892881828412","0.59695749275995","0.658828270896875"
"num_mm_37","1","67","13099","368.634017863959","365","0.510883187953776","0.480936615095825","0.540829760811726"
"num_mm_20","1","67","13099","368.634017863959","365","0.50702905877447","0.477973875250688","0.536084242298252"
"PI_cons_NB_37","1","67","13099","368.634017863959","365","0.613029892779006","0.58270901321948","0.643350772338532"
"PI_cons_NB_20","1","67","13099","368.634017863959","365","0.61475102679668","0.583843039846599","0.645659013746761"
"PI_gen_37","1","67","13099","368.634017863959","365","0.515240576034366","0.484600596249613","0.545880555819118"
"PI_mort_37","2","125","13099","730.192533781205","730","0.583351033397258","0.557971595461761","0.608730471332756"
"PI_mort_20","2","125","13099","730.192533781205","730","0.583160425194414","0.557730304978065","0.608590545410764"
"PI_hosp_37","2","125","13099","730.192533781205","730","0.57179913271733","0.546824942381508","0.596773323053152"
"PI_hosp_20","2","125","13099","730.192533781205","730","0.571159167978313","0.546102105613935","0.596216230342691"
"num_mm_37","2","125","13099","730.192533781205","730","0.495226814553259","0.474206428565101","0.516247200541417"
"num_mm_20","2","125","13099","730.192533781205","730","0.49723664146505","0.476809076099637","0.517664206830463"
"PI_cons_NB_37","2","125","13099","730.192533781205","730","0.556900385267981","0.532194197973239","0.581606572562724"
"PI_cons_NB_20","2","125","13099","730.192533781205","730","0.560404690987578","0.535479488490425","0.58532989348473"
"PI_gen_37","2","125","13099","730.192533781205","730","0.501922963592299","0.480040373364446","0.523805553820151"
"PI_mort_37","3","214","13099","1089.76517291396","1096","0.580180313783562","0.561410794073936","0.598949833493189"
"PI_mort_20","3","214","13099","1089.76517291396","1096","0.579969022629031","0.561228353586927","0.598709691671134"
"PI_hosp_37","3","214","13099","1089.76517291396","1096","0.578254756660621","0.559617197763017","0.596892315558224"
"PI_hosp_20","3","214","13099","1089.76517291396","1096","0.577253913295757","0.558667108512748","0.595840718078765"
"num_mm_37","3","214","13099","1089.76517291396","1096","0.518775756733691","0.501989520237281","0.5355619932301"
"num_mm_20","3","214","13099","1089.76517291396","1096","0.519788658452348","0.503480149375478","0.536097167529218"
"PI_cons_NB_37","3","214","13099","1089.76517291396","1096","0.573015311949613","0.554454594468358","0.591576029430868"
"PI_cons_NB_20","3","214","13099","1089.76517291396","1096","0.573746192169845","0.555163649931013","0.592328734408677"
"PI_gen_37","3","214","13099","1089.76517291396","1096","0.526316187314108","0.508897903421894","0.543734471206322"
"PI_mort_37","4","287","13099","1444.15222536071","1461","0.576038994798127","0.559892018642452","0.592185970953801"
"PI_mort_20","4","287","13099","1444.15222536071","1461","0.574761882582139","0.558665285243611","0.590858479920667"
"PI_hosp_37","4","287","13099","1444.15222536071","1461","0.568465572624702","0.552482899461767","0.584448245787637"
"PI_hosp_20","4","287","13099","1444.15222536071","1461","0.567244595730108","0.551342872407861","0.583146319052354"
"num_mm_37","4","287","13099","1444.15222536071","1461","0.503644218909984","0.489500009374344","0.517788428445624"
"num_mm_20","4","287","13099","1444.15222536071","1461","0.502416915012739","0.488792693494084","0.516041136531394"
"PI_cons_NB_37","4","287","13099","1444.15222536071","1461","0.560606896863664","0.544767555983272","0.576446237744057"
"PI_cons_NB_20","4","287","13099","1444.15222536071","1461","0.561933413547163","0.546052943486189","0.577813883608137"
"PI_gen_37","4","287","13099","1444.15222536071","1461","0.507821386830519","0.493307703608677","0.522335070052361"
"PI_mort_37","5","367","13099","1801.20032063516","1826","0.566661159842747","0.552250540782058","0.581071778903437"
"PI_mort_20","5","367","13099","1801.20032063516","1826","0.56594657549845","0.551584690922933","0.580308460073968"
"PI_hosp_37","5","367","13099","1801.20032063516","1826","0.560320847842441","0.54608589251737","0.574555803167513"
"PI_hosp_20","5","367","13099","1801.20032063516","1826","0.559485423218784","0.545293390912679","0.573677455524888"
"num_mm_37","5","367","13099","1801.20032063516","1826","0.505423130054773","0.492926903721062","0.517919356388484"
"num_mm_20","5","367","13099","1801.20032063516","1826","0.506194860020691","0.494090604518631","0.51829911552275"
"PI_cons_NB_37","5","367","13099","1801.20032063516","1826","0.554558963612922","0.540414316621084","0.56870361060476"
"PI_cons_NB_20","5","367","13099","1801.20032063516","1826","0.555802752327496","0.541616539697623","0.569988964957369"
"PI_gen_37","5","367","13099","1801.20032063516","1826","0.510455113645846","0.497591195924343","0.52331903136735"
"PI_mort_37","6","429","13099","2153.6415756928","2191","0.560923372368157","0.547463583683203","0.574383161053111"
"PI_mort_20","6","429","13099","2153.6415756928","2191","0.560420533092985","0.546989161869397","0.573851904316573"
"PI_hosp_37","6","429","13099","2153.6415756928","2191","0.552862904087984","0.539656319516562","0.566069488659405"
"PI_hosp_20","6","429","13099","2153.6415756928","2191","0.552289667314287","0.539132362466379","0.565446972162196"
"num_mm_37","6","429","13099","2153.6415756928","2191","0.503713309494222","0.492265679276273","0.51516093971217"
"num_mm_20","6","429","13099","2153.6415756928","2191","0.500889708411205","0.489886766338737","0.511892650483674"
"PI_cons_NB_37","6","429","13099","2153.6415756928","2191","0.547591789459112","0.534554915387543","0.560628663530681"
"PI_cons_NB_20","6","429","13099","2153.6415756928","2191","0.548402312009686","0.535348835544095","0.561455788475278"
"PI_gen_37","6","429","13099","2153.6415756928","2191","0.507673055534113","0.495934592557108","0.519411518511119"
"PI_mort_37","7","494","13099","2436.42064279716","2556","0.56308682931804","0.550612819090458","0.575560839545622"
"PI_mort_20","7","494","13099","2436.42064279716","2556","0.562391835900872","0.549944890829016","0.574838780972727"
"PI_hosp_37","7","494","13099","2436.42064279716","2556","0.552492092775731","0.54027311574287","0.564711069808593"
"PI_hosp_20","7","494","13099","2436.42064279716","2556","0.552051569899282","0.539876068590445","0.564227071208118"
"num_mm_37","7","494","13099","2436.42064279716","2556","0.495379189344316","0.484784450368727","0.505973928319906"
"num_mm_20","7","494","13099","2436.42064279716","2556","0.494334278763199","0.484170746373063","0.504497811153334"
"PI_cons_NB_37","7","494","13099","2436.42064279716","2556","0.545194903941002","0.533145182083219","0.557244625798784"
"PI_cons_NB_20","7","494","13099","2436.42064279716","2556","0.54687679769237","0.534805893125795","0.558947702258946"
"PI_gen_37","7","494","13099","2436.42064279716","2556","0.498285026691975","0.487459260120104","0.509110793263846"
"PI_mort_37","8","524","13099","2551.78456370715","2585","0.561542807989457","0.549289241002064","0.57379637497685"
"PI_mort_20","8","524","13099","2551.78456370715","2585","0.560827986773677","0.548600630952021","0.573055342595333"
"PI_hosp_37","8","524","13099","2551.78456370715","2585","0.551235193383682","0.539233095569151","0.563237291198212"
"PI_hosp_20","8","524","13099","2551.78456370715","2585","0.550680887331613","0.538719677669363","0.562642096993863"
"num_mm_37","8","524","13099","2551.78456370715","2585","0.494217902885958","0.483809648869191","0.504626156902726"
"num_mm_20","8","524","13099","2551.78456370715","2585","0.493649155204116","0.483664179109286","0.503634131298946"
"PI_cons_NB_37","8","524","13099","2551.78456370715","2585","0.544018718877499","0.532176544462207","0.555860893292791"
"PI_cons_NB_20","8","524","13099","2551.78456370715","2585","0.545628526559183","0.533767304604408","0.557489748513958"
"PI_gen_37","8","524","13099","2551.78456370715","2585","0.497039623728466","0.486407768381828","0.507671479075104"
"PI_mort_37","9","526","13099","2559.11733720131","2585","0.561482585728624","0.549232586841835","0.573732584615413"
"PI_mort_20","9","526","13099","2559.11733720131","2585","0.560767197674784","0.54854340071401","0.572990994635557"
"PI_hosp_37","9","526","13099","2559.11733720131","2585","0.551205312111311","0.539206749553105","0.563203874669518"
"PI_hosp_20","9","526","13099","2559.11733720131","2585","0.550656542889597","0.538698878588271","0.562614207190922"
"num_mm_37","9","526","13099","2559.11733720131","2585","0.494238317629456","0.483833258350623","0.504643376908288"
"num_mm_20","9","526","13099","2559.11733720131","2585","0.493674795698646","0.48369289582778","0.503656695569513"
"PI_cons_NB_37","9","526","13099","2559.11733720131","2585","0.543998810947425","0.532160195868281","0.555837426026569"
"PI_cons_NB_20","9","526","13099","2559.11733720131","2585","0.5456101696814","0.533752509263546","0.557467830099253"
"PI_gen_37","9","526","13099","2559.11733720131","2585","0.497055611717532","0.486427005216422","0.507684218218643"
"PI_mort_37","10","526","13099","2559.12008550271","2585","0.561482585728624","0.549232586841835","0.573732584615413"
"PI_mort_20","10","526","13099","2559.12008550271","2585","0.560767197674784","0.54854340071401","0.572990994635557"
"PI_hosp_37","10","526","13099","2559.12008550271","2585","0.551205312111311","0.539206749553105","0.563203874669518"
"PI_hosp_20","10","526","13099","2559.12008550271","2585","0.550656542889597","0.538698878588271","0.562614207190922"
"num_mm_37","10","526","13099","2559.12008550271","2585","0.494238317629456","0.483833258350623","0.504643376908288"
"num_mm_20","10","526","13099","2559.12008550271","2585","0.493674795698646","0.48369289582778","0.503656695569513"
"PI_cons_NB_37","10","526","13099","2559.12008550271","2585","0.543998810947425","0.532160195868281","0.555837426026569"
"PI_cons_NB_20","10","526","13099","2559.12008550271","2585","0.5456101696814","0.533752509263546","0.557467830099253"
"PI_gen_37","10","526","13099","2559.12008550271","2585","0.497055611717532","0.486427005216422","0.507684218218643"
