"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","549","51862","365.603929659481","365","0.695727886757863","0.685917601959868","0.705538171555859"
"PI_mort_20","1","549","51862","365.603929659481","365","0.695719903242621","0.685924248258834","0.705515558226409"
"PI_hosp_37","1","549","51862","365.603929659481","365","0.697916994897474","0.68814154766738","0.707692442127568"
"PI_hosp_20","1","549","51862","365.603929659481","365","0.6972777131482","0.687523383829341","0.707032042467058"
"num_mm_37","1","549","51862","365.603929659481","365","0.591621646941261","0.58033951135582","0.602903782526702"
"num_mm_20","1","549","51862","365.603929659481","365","0.583843459939639","0.572673581207957","0.595013338671321"
"PI_cons_NB_37","1","549","51862","365.603929659481","365","0.696995004862879","0.687269761033365","0.706720248692393"
"PI_cons_NB_20","1","549","51862","365.603929659481","365","0.696279243863609","0.686541469433273","0.706017018293944"
"PI_gen_37","1","549","51862","365.603929659481","365","0.591534676080526","0.580206837702142","0.602862514458911"
"PI_mort_37","2","1077","51862","723.542478114997","730","0.698356270342204","0.691401523185998","0.70531101749841"
"PI_mort_20","2","1077","51862","723.542478114997","730","0.698336723557205","0.691391395406372","0.705282051708039"
"PI_hosp_37","2","1077","51862","723.542478114997","730","0.698855406604483","0.691914210146669","0.705796603062296"
"PI_hosp_20","2","1077","51862","723.542478114997","730","0.698434910583382","0.691503870192721","0.705365950974042"
"num_mm_37","2","1077","51862","723.542478114997","730","0.579035635393031","0.570942070526577","0.587129200259485"
"num_mm_20","2","1077","51862","723.542478114997","730","0.572564190572617","0.564571397160062","0.580556983985173"
"PI_cons_NB_37","2","1077","51862","723.542478114997","730","0.696940039163166","0.690028358269901","0.703851720056432"
"PI_cons_NB_20","2","1077","51862","723.542478114997","730","0.696803764451617","0.689883450592569","0.703724078310665"
"PI_gen_37","2","1077","51862","723.542478114997","730","0.577287154179132","0.569168418570487","0.585405889787776"
"PI_mort_37","3","1626","51862","1077.00158111912","1096","0.691357212720144","0.68564364275926","0.697070782681028"
"PI_mort_20","3","1626","51862","1077.00158111912","1096","0.69145940355132","0.685751531924218","0.697167275178422"
"PI_hosp_37","3","1626","51862","1077.00158111912","1096","0.690615176109168","0.684906895687461","0.696323456530875"
"PI_hosp_20","3","1626","51862","1077.00158111912","1096","0.690069523617235","0.684366162105646","0.695772885128824"
