"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","724","50425","364.280971740208","365","0.556721769827548","0.546255901987078","0.567187637668018"
"PI_mort_20","1","724","50425","364.280971740208","365","0.555914337636906","0.545433348756917","0.566395326516894"
"PI_hosp_37","1","724","50425","364.280971740208","365","0.559797249190988","0.549325238586132","0.570269259795843"
"PI_hosp_20","1","724","50425","364.280971740208","365","0.559103188997647","0.548636657258771","0.569569720736523"
"num_mm_37","1","724","50425","364.280971740208","365","0.538937063899052","0.52890608414729","0.548968043650815"
"num_mm_20","1","724","50425","364.280971740208","365","0.541090855835616","0.53119403652696","0.550987675144272"
"PI_cons_NB_37","1","724","50425","364.280971740208","365","0.546628832943002","0.53629703353099","0.556960632355014"
"PI_cons_NB_20","1","724","50425","364.280971740208","365","0.548406585904219","0.538054272440817","0.55875889936762"
"PI_gen_37","1","724","50425","364.280971740208","365","0.539712409675364","0.529547530097337","0.54987728925339"
"PI_mort_37","2","1431","50425","720.385780862667","730","0.563661481535235","0.556221364271028","0.571101598799441"
"PI_mort_20","2","1431","50425","720.385780862667","730","0.562831696114991","0.555382634524479","0.570280757705503"
"PI_hosp_37","2","1431","50425","720.385780862667","730","0.565813338086586","0.55840551751837","0.573221158654801"
"PI_hosp_20","2","1431","50425","720.385780862667","730","0.565208017027165","0.557805131536501","0.572610902517828"
"num_mm_37","2","1431","50425","720.385780862667","730","0.532221915358759","0.525089243634112","0.539354587083406"
"num_mm_20","2","1431","50425","720.385780862667","730","0.533840919162535","0.52680266476281","0.540879173562261"
"PI_cons_NB_37","2","1431","50425","720.385780862667","730","0.551109865652514","0.543811567074445","0.558408164230584"
"PI_cons_NB_20","2","1431","50425","720.385780862667","730","0.553111600213896","0.545792959886859","0.560430240540933"
"PI_gen_37","2","1431","50425","720.385780862667","730","0.535865508789407","0.528600960643016","0.543130056935799"
"PI_mort_37","3","2159","50425","1070.50472979673","1096","0.557755751795596","0.551693845627651","0.563817657963541"
"PI_mort_20","3","2159","50425","1070.50472979673","1096","0.557214190509832","0.551149159680191","0.563279221339472"
"PI_hosp_37","3","2159","50425","1070.50472979673","1096","0.558958850818321","0.552919829161298","0.564997872475344"
"PI_hosp_20","3","2159","50425","1070.50472979673","1096","0.558459780996114","0.552427426850626","0.564492135141603"
"num_mm_37","3","2159","50425","1070.50472979673","1096","0.530493724243495","0.524677724041502","0.536309724445487"
