"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","411","24148","363.373405665065","365","0.575482545445338","0.562010438565659","0.588954652325017"
"PI_mort_20","1","411","24148","363.373405665065","365","0.575028953896164","0.561547115567387","0.588510792224941"
"PI_hosp_37","1","411","24148","363.373405665065","365","0.579964208926881","0.566418506300722","0.59350991155304"
"PI_hosp_20","1","411","24148","363.373405665065","365","0.578129555427403","0.564597547707325","0.59166156314748"
"num_mm_37","1","411","24148","363.373405665065","365","0.545935995644382","0.532555920119706","0.559316071169059"
"num_mm_20","1","411","24148","363.373405665065","365","0.541767285417538","0.528591737664544","0.554942833170532"
"PI_cons_NB_37","1","411","24148","363.373405665065","365","0.577590492810617","0.564136606231894","0.591044379389341"
"PI_cons_NB_20","1","411","24148","363.373405665065","365","0.575727721821318","0.562238768385627","0.589216675257008"
"PI_gen_37","1","411","24148","363.373405665065","365","0.545556333263743","0.532185227801517","0.558927438725969"
"PI_mort_37","2","804","24148","717.520125890343","730","0.579677950887429","0.569968917535817","0.589386984239041"
"PI_mort_20","2","804","24148","717.520125890343","730","0.579255390695251","0.569554968335538","0.588955813054965"
"PI_hosp_37","2","804","24148","717.520125890343","730","0.582660530987283","0.5730174394434","0.592303622531166"
"PI_hosp_20","2","804","24148","717.520125890343","730","0.581430035497577","0.571798068148396","0.591062002846759"
"num_mm_37","2","804","24148","717.520125890343","730","0.536286709834631","0.526722072049669","0.545851347619593"
"num_mm_20","2","804","24148","717.520125890343","730","0.533568968435796","0.5241280681039","0.543009868767693"
"PI_cons_NB_37","2","804","24148","717.520125890343","730","0.579801559788341","0.570275591244316","0.589327528332367"
"PI_cons_NB_20","2","804","24148","717.520125890343","730","0.578814474305551","0.569247520220401","0.588381428390702"
"PI_gen_37","2","804","24148","717.520125890343","730","0.538359725903893","0.528741011444643","0.547978440363143"
"PI_mort_37","3","1198","24148","1064.42504555243","1096","0.571957181636551","0.56400695676085","0.579907406512253"
"PI_mort_20","3","1198","24148","1064.42504555243","1096","0.57195598797761","0.564015759848123","0.579896216107096"
"PI_hosp_37","3","1198","24148","1064.42504555243","1096","0.572572468281453","0.564644183341812","0.580500753221094"
"PI_hosp_20","3","1198","24148","1064.42504555243","1096","0.571434733152021","0.563518086016019","0.579351380288023"
"num_mm_37","3","1198","24148","1064.42504555243","1096","0.532866757589034","0.525001181140226","0.540732334037842"
"num_mm_20","3","1198","24148","1064.42504555243","1096","0.529765471316411","0.522027846031345","0.537503096601477"
"PI_cons_NB_37","3","1198","24148","1064.42504555243","1096","0.569562149509666","0.561686973400971","0.577437325618362"
"PI_cons_NB_20","3","1198","24148","1064.42504555243","1096","0.569011961816596","0.561118935621978","0.576904988011214"
"PI_gen_37","3","1198","24148","1064.42504555243","1096","0.531323516919741","0.523448494459291","0.539198539380192"
"PI_mort_37","4","1619","24148","1402.56654795428","1461","0.56875031289068","0.561864436811976","0.575636188969385"
"PI_mort_20","4","1619","24148","1402.56654795428","1461","0.568692333148029","0.561812361330722","0.575572304965336"
