"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","313","26277","365.115005518134","365","0.520848791302521","0.504611549584321","0.537086033020722"
"PI_mort_20","1","313","26277","365.115005518134","365","0.519877668919692","0.503607624901495","0.536147712937888"
"PI_hosp_37","1","313","26277","365.115005518134","365","0.527112273761088","0.510877524237918","0.543347023284258"
"PI_hosp_20","1","313","26277","365.115005518134","365","0.527526083468813","0.511286949305148","0.543765217632478"
"num_mm_37","1","313","26277","365.115005518134","365","0.529626083627853","0.514445037220814","0.544807130034892"
"num_mm_20","1","313","26277","365.115005518134","365","0.537893714092909","0.522875998818024","0.552911429367794"
"PI_cons_NB_37","1","313","26277","365.115005518134","365","0.530624365140059","0.514520751944247","0.546727978335871"
"PI_cons_NB_20","1","313","26277","365.115005518134","365","0.533444816258091","0.517316636461274","0.549572996054908"
"PI_gen_37","1","313","26277","365.115005518134","365","0.532009174892192","0.516349801483558","0.547668548300827"
"PI_mort_37","2","627","26277","723.01925638391","730","0.532996172472435","0.52158863628803","0.544403708656841"
"PI_mort_20","2","627","26277","723.01925638391","730","0.531903081279123","0.520457555282473","0.543348607275773"
"PI_hosp_37","2","627","26277","723.01925638391","730","0.538517004831013","0.527084741544366","0.54994926811766"
"PI_hosp_20","2","627","26277","723.01925638391","730","0.53832378770335","0.526892769299301","0.5497548061074"
"num_mm_37","2","627","26277","723.01925638391","730","0.526890332704072","0.516164459185297","0.537616206222847"
"num_mm_20","2","627","26277","723.01925638391","730","0.532105717626327","0.52152985384026","0.542681581412394"
"PI_cons_NB_37","2","627","26277","723.01925638391","730","0.538950350493469","0.527610325612923","0.550290375374015"
"PI_cons_NB_20","2","627","26277","723.01925638391","730","0.540571102671709","0.529229863846138","0.551912341497281"
"PI_gen_37","2","627","26277","723.01925638391","730","0.532692264124274","0.521594882819469","0.543789645429078"
"PI_mort_37","3","961","26277","1076.09182935647","1096","0.530765455732787","0.521518200312996","0.540012711152578"
"PI_mort_20","3","961","26277","1076.09182935647","1096","0.529846008018194","0.520577616473238","0.539114399563149"
"PI_hosp_37","3","961","26277","1076.09182935647","1096","0.536821984357203","0.527575514688124","0.546068454026281"
"PI_hosp_20","3","961","26277","1076.09182935647","1096","0.536770168546485","0.527531053448007","0.546009283644964"
"num_mm_37","3","961","26277","1076.09182935647","1096","0.527498937715253","0.51884801577274","0.536149859657767"
"num_mm_20","3","961","26277","1076.09182935647","1096","0.533802480635457","0.525276898690935","0.54232806257998"
"PI_cons_NB_37","3","961","26277","1076.09182935647","1096","0.536830815679076","0.527697764747303","0.545963866610849"
"PI_cons_NB_20","3","961","26277","1076.09182935647","1096","0.537886229374367","0.528747176970742","0.547025281777992"
"PI_gen_37","3","961","26277","1076.09182935647","1096","0.53378592948531","0.524879674161624","0.542692184808997"
"PI_mort_37","4","1252","26277","1422.86090497393","1461","0.541032604836597","0.532921299290275","0.549143910382918"
"PI_mort_20","4","1252","26277","1422.86090497393","1461","0.540263033499676","0.532134885400994","0.548391181598359"
"PI_hosp_37","4","1252","26277","1422.86090497393","1461","0.547839143625798","0.539712866025069","0.555965421226527"
"PI_hosp_20","4","1252","26277","1422.86090497393","1461","0.547491804197131","0.539371507150512","0.555612101243751"
"num_mm_37","4","1252","26277","1422.86090497393","1461","0.536019584094704","0.528389646639682","0.543649521549726"
"num_mm_20","4","1252","26277","1422.86090497393","1461","0.540403064801892","0.532872585741361","0.547933543862424"
"PI_cons_NB_37","4","1252","26277","1422.86090497393","1461","0.547503961155164","0.539474941840381","0.555532980469946"
"PI_cons_NB_20","4","1252","26277","1422.86090497393","1461","0.547915940019223","0.539880568769508","0.555951311268939"
"PI_gen_37","4","1252","26277","1422.86090497393","1461","0.541871388123292","0.5340521562321","0.549690620014484"
"PI_mort_37","5","1595","26277","1766.76382387639","1826","0.536472306983813","0.5292779438022","0.543666670165427"
"PI_mort_20","5","1595","26277","1766.76382387639","1826","0.53567680707949","0.528471231004753","0.542882383154226"
"PI_hosp_37","5","1595","26277","1766.76382387639","1826","0.543237181154661","0.53599806827383","0.550476294035493"
"PI_hosp_20","5","1595","26277","1766.76382387639","1826","0.543068073813656","0.535835008350646","0.550301139276666"
"num_mm_37","5","1595","26277","1766.76382387639","1826","0.535824755931331","0.529038577941397","0.542610933921265"
"num_mm_20","5","1595","26277","1766.76382387639","1826","0.539262300196792","0.532565961029882","0.545958639363703"
"PI_cons_NB_37","5","1595","26277","1766.76382387639","1826","0.543983027161473","0.536808101098416","0.551157953224529"
"PI_cons_NB_20","5","1595","26277","1766.76382387639","1826","0.544444697242894","0.537273779701344","0.551615614784445"
"PI_gen_37","5","1595","26277","1766.76382387639","1826","0.540519531941117","0.533588539780282","0.547450524101952"
"PI_mort_37","6","1912","26277","2104.03329908285","2191","0.533919298319135","0.527374552601882","0.540464044036388"
"PI_mort_20","6","1912","26277","2104.03329908285","2191","0.533244948287383","0.526693252222687","0.53979664435208"
"PI_hosp_37","6","1912","26277","2104.03329908285","2191","0.539886129135386","0.533298006031899","0.546474252238873"
"PI_hosp_20","6","1912","26277","2104.03329908285","2191","0.539661065719928","0.533079513133064","0.546242618306793"
"num_mm_37","6","1912","26277","2104.03329908285","2191","0.532753588701873","0.526562071304205","0.538945106099541"
"num_mm_20","6","1912","26277","2104.03329908285","2191","0.535465189493292","0.529365134877012","0.541565244109573"
"PI_cons_NB_37","6","1912","26277","2104.03329908285","2191","0.539944612222281","0.533413908386451","0.54647531605811"
"PI_cons_NB_20","6","1912","26277","2104.03329908285","2191","0.540167445438433","0.533637045647586","0.546697845229281"
"PI_gen_37","6","1912","26277","2104.03329908285","2191","0.537557157933586","0.531221771822842","0.543892544044331"
"PI_mort_37","7","2192","26277","2368.84172470221","2556","0.531206435852199","0.52507579543241","0.537337076271988"
"PI_mort_20","7","2192","26277","2368.84172470221","2556","0.530593007493311","0.524456098297063","0.536729916689559"
"PI_hosp_37","7","2192","26277","2368.84172470221","2556","0.53755714124303","0.531377033981228","0.543737248504832"
"PI_hosp_20","7","2192","26277","2368.84172470221","2556","0.537212682004102","0.531039385816671","0.543385978191533"
"num_mm_37","7","2192","26277","2368.84172470221","2556","0.532232881278982","0.526428686110689","0.538037076447275"
"num_mm_20","7","2192","26277","2368.84172470221","2556","0.534388011747386","0.528671693570861","0.54010432992391"
"PI_cons_NB_37","7","2192","26277","2368.84172470221","2556","0.537625922995227","0.53149296429636","0.543758881694094"
"PI_cons_NB_20","7","2192","26277","2368.84172470221","2556","0.537663598078701","0.531532734098983","0.54379446205842"
"PI_gen_37","7","2192","26277","2368.84172470221","2556","0.537001634359676","0.531059838694102","0.54294343002525"
"PI_mort_37","8","2303","26277","2469.61350230239","2562","0.531157181487799","0.525115163867385","0.537199199108213"
"PI_mort_20","8","2303","26277","2469.61350230239","2562","0.530537285933384","0.524489091881053","0.536585479985715"
"PI_hosp_37","8","2303","26277","2469.61350230239","2562","0.537571484408725","0.531480716393266","0.543662252424185"
"PI_hosp_20","8","2303","26277","2469.61350230239","2562","0.537257817111609","0.531173772987045","0.543341861236174"
"num_mm_37","8","2303","26277","2469.61350230239","2562","0.532744014797753","0.52702317457941","0.538464855016096"
"num_mm_20","8","2303","26277","2469.61350230239","2562","0.534924432181389","0.529290663157248","0.540558201205529"
"PI_cons_NB_37","8","2303","26277","2469.61350230239","2562","0.537783716916611","0.531739249560488","0.543828184272734"
"PI_cons_NB_20","8","2303","26277","2469.61350230239","2562","0.537846793011612","0.531804320850263","0.543889265172961"
"PI_gen_37","8","2303","26277","2469.61350230239","2562","0.537350154651408","0.531494709455682","0.543205599847134"
"PI_mort_37","9","2311","26277","2475.01552688663","2562","0.531187865103136","0.525146573284114","0.537229156922157"
"PI_mort_20","9","2311","26277","2475.01552688663","2562","0.530569322673551","0.524521849495241","0.536616795851861"
"PI_hosp_37","9","2311","26277","2475.01552688663","2562","0.537603070633583","0.531513002713897","0.543693138553268"
"PI_hosp_20","9","2311","26277","2475.01552688663","2562","0.537294371948178","0.531211033663506","0.54337771023285"
"num_mm_37","9","2311","26277","2475.01552688663","2562","0.532740051816383","0.527019768032187","0.538460335600579"
"num_mm_20","9","2311","26277","2475.01552688663","2562","0.534956574149765","0.529323365205839","0.540589783093691"
"PI_cons_NB_37","9","2311","26277","2475.01552688663","2562","0.537821492885127","0.531777680945771","0.543865304824483"
"PI_cons_NB_20","9","2311","26277","2475.01552688663","2562","0.537885121511164","0.531843327126611","0.543926915895717"
"PI_gen_37","9","2311","26277","2475.01552688663","2562","0.537338827710078","0.531483986383064","0.543193669037092"
"PI_mort_37","10","2311","26277","2475.01552688663","2562","0.531187865103136","0.525146573284114","0.537229156922157"
"PI_mort_20","10","2311","26277","2475.01552688663","2562","0.530569322673551","0.524521849495241","0.536616795851861"
"PI_hosp_37","10","2311","26277","2475.01552688663","2562","0.537603070633583","0.531513002713897","0.543693138553268"
"PI_hosp_20","10","2311","26277","2475.01552688663","2562","0.537294371948178","0.531211033663506","0.54337771023285"
"num_mm_37","10","2311","26277","2475.01552688663","2562","0.532740051816383","0.527019768032187","0.538460335600579"
"num_mm_20","10","2311","26277","2475.01552688663","2562","0.534956574149765","0.529323365205839","0.540589783093691"
"PI_cons_NB_37","10","2311","26277","2475.01552688663","2562","0.537821492885127","0.531777680945771","0.543865304824483"
"PI_cons_NB_20","10","2311","26277","2475.01552688663","2562","0.537885121511164","0.531843327126611","0.543926915895717"
"PI_gen_37","10","2311","26277","2475.01552688663","2562","0.537338827710078","0.531483986383064","0.543193669037092"
