"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","522","60036","366.472549803451","365","0.60995011921088","0.598491282776014","0.621408955645747"
"PI_mort_20","1","522","60036","366.472549803451","365","0.609564797103011","0.59810406746641","0.621025526739612"
"PI_hosp_37","1","522","60036","366.472549803451","365","0.609494435468572","0.598008411937592","0.620980458999553"
"PI_hosp_20","1","522","60036","366.472549803451","365","0.609714928635993","0.598220807805547","0.621209049466438"
"num_mm_37","1","522","60036","366.472549803451","365","0.534443350357537","0.522798008334474","0.546088692380599"
"num_mm_20","1","522","60036","366.472549803451","365","0.538221625877541","0.526737277948273","0.549705973806809"
"PI_cons_NB_37","1","522","60036","366.472549803451","365","0.607362477945074","0.595826968533102","0.618897987357045"
"PI_cons_NB_20","1","522","60036","366.472549803451","365","0.609550035584715","0.597981219440324","0.621118851729107"
"PI_gen_37","1","522","60036","366.472549803451","365","0.536085693482666","0.52420657356537","0.547964813399962"
"PI_mort_37","2","1062","60036","725.948364314744","730","0.609085203795601","0.600945642496348","0.617224765094853"
"PI_mort_20","2","1062","60036","725.948364314744","730","0.608701893359569","0.600561876868052","0.616841909851086"
"PI_hosp_37","2","1062","60036","725.948364314744","730","0.609244116130922","0.601075455271735","0.617412776990109"
"PI_hosp_20","2","1062","60036","725.948364314744","730","0.609238695963506","0.601070301233973","0.61740709069304"
"num_mm_37","2","1062","60036","725.948364314744","730","0.532987178514735","0.524841170657187","0.541133186372283"
"num_mm_20","2","1062","60036","725.948364314744","730","0.537622095214211","0.529616189992809","0.545628000435613"
"PI_cons_NB_37","2","1062","60036","725.948364314744","730","0.606561228350671","0.598359386314912","0.614763070386429"
"PI_cons_NB_20","2","1062","60036","725.948364314744","730","0.608269611235481","0.60006869255518","0.616470529915782"
"PI_gen_37","2","1062","60036","725.948364314744","730","0.537124921641337","0.528750086254384","0.54549975702829"
"PI_mort_37","3","1644","60036","1081.83246718635","1096","0.601443031018566","0.594806533780939","0.608079528256194"
"PI_mort_20","3","1644","60036","1081.83246718635","1096","0.601122824903055","0.594487327466818","0.607758322339292"
"PI_hosp_37","3","1644","60036","1081.83246718635","1096","0.602018506920629","0.595372192106808","0.60866482173445"
"PI_hosp_20","3","1644","60036","1081.83246718635","1096","0.602035164120437","0.595389136347979","0.608681191892895"
"num_mm_37","3","1644","60036","1081.83246718635","1096","0.535486409988443","0.528943799584182","0.542029020392704"
"num_mm_20","3","1644","60036","1081.83246718635","1096","0.539582635596603","0.5331561191475","0.546009152045705"
"PI_cons_NB_37","3","1644","60036","1081.83246718635","1096","0.600230142004532","0.593586521897241","0.606873762111823"
"PI_cons_NB_20","3","1644","60036","1081.83246718635","1096","0.601368063330859","0.594720108075682","0.608016018586036"
"PI_gen_37","3","1644","60036","1081.83246718635","1096","0.53894963628248","0.532244697282956","0.545654575282004"
"PI_mort_37","4","2179","60036","1432.12897261643","1461","0.599747189675514","0.593941367114763","0.605553012236265"
"PI_mort_20","4","2179","60036","1432.12897261643","1461","0.59946701995961","0.593661308591862","0.605272731327358"
