"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","161","111898","367.764052976818","365","0.666064930411863","0.645584182233828","0.686545678589898"
"PI_mort_20","1","161","111898","367.764052976818","365","0.66520448719195","0.644697274452332","0.685711699931568"
"PI_hosp_37","1","161","111898","367.764052976818","365","0.687895302557722","0.667582956490794","0.70820764862465"
"PI_hosp_20","1","161","111898","367.764052976818","365","0.685419847964294","0.665162911151218","0.705676784777369"
"num_mm_37","1","161","111898","367.764052976818","365","0.684054276247268","0.662781099575003","0.705327452919532"
"num_mm_20","1","161","111898","367.764052976818","365","0.687889053373587","0.667131839714369","0.708646267032806"
"PI_cons_NB_37","1","161","111898","367.764052976818","365","0.685727918855038","0.665864409734011","0.705591427976066"
"PI_cons_NB_20","1","161","111898","367.764052976818","365","0.682869292064647","0.663042709833608","0.702695874295686"
"PI_gen_37","1","161","111898","367.764052976818","365","0.697223917988485","0.67550805463139","0.71893978134558"
"PI_mort_37","2","533","111898","731.370167473949","730","0.685604912620857","0.674760496638241","0.696449328603473"
"PI_mort_20","2","533","111898","731.370167473949","730","0.685408125088868","0.674551502248167","0.696264747929569"
"PI_hosp_37","2","533","111898","731.370167473949","730","0.705292817360128","0.694485969316805","0.71609966540345"
"PI_hosp_20","2","533","111898","731.370167473949","730","0.704213204504743","0.693432089560718","0.714994319448768"
"num_mm_37","2","533","111898","731.370167473949","730","0.680520244484789","0.669154849104381","0.691885639865197"
"num_mm_20","2","533","111898","731.370167473949","730","0.674605265236685","0.663146458567611","0.686064071905758"
"PI_cons_NB_37","2","533","111898","731.370167473949","730","0.701247189409827","0.690591408811456","0.711902970008198"
"PI_cons_NB_20","2","533","111898","731.370167473949","730","0.698924336845261","0.688255766080087","0.709592907610436"
"PI_gen_37","2","533","111898","731.370167473949","730","0.689658313918174","0.67769262930325","0.701623998533098"
"PI_mort_37","3","965","111898","1093.9754240469","1096","0.683506548314761","0.675490656465691","0.691522440163832"
"PI_mort_20","3","965","111898","1093.9754240469","1096","0.683096420896504","0.675074013096227","0.691118828696782"
"PI_hosp_37","3","965","111898","1093.9754240469","1096","0.701993441179525","0.694029338232612","0.709957544126438"
"PI_hosp_20","3","965","111898","1093.9754240469","1096","0.701235895080116","0.693282534466546","0.709189255693686"
"num_mm_37","3","965","111898","1093.9754240469","1096","0.672462397522441","0.664041747751073","0.68088304729381"
"num_mm_20","3","965","111898","1093.9754240469","1096","0.66717190357636","0.658646672444128","0.675697134708592"
"PI_cons_NB_37","3","965","111898","1093.9754240469","1096","0.699403845652833","0.691502629839174","0.707305061466492"
"PI_cons_NB_20","3","965","111898","1093.9754240469","1096","0.697658827618769","0.689749228067414","0.705568427170125"
"PI_gen_37","3","965","111898","1093.9754240469","1096","0.682154831815623","0.673376773292607","0.690932890338638"
"PI_mort_37","4","1464","111898","1453.28291837209","1461","0.684188084583975","0.677723150114315","0.690653019053634"
"PI_mort_20","4","1464","111898","1453.28291837209","1461","0.683862674540837","0.677395854180199","0.690329494901475"
"PI_hosp_37","4","1464","111898","1453.28291837209","1461","0.7004002502362","0.693968015002608","0.706832485469792"
"PI_hosp_20","4","1464","111898","1453.28291837209","1461","0.699678088672446","0.693243430193208","0.706112747151684"
"num_mm_37","4","1464","111898","1453.28291837209","1461","0.658144915251019","0.651221052708905","0.665068777793134"
"num_mm_20","4","1464","111898","1453.28291837209","1461","0.653631022210282","0.6466376260405","0.660624418380063"
"PI_cons_NB_37","4","1464","111898","1453.28291837209","1461","0.696458059856646","0.69009280666422","0.702823313049071"
"PI_cons_NB_20","4","1464","111898","1453.28291837209","1461","0.695106931353738","0.68872066480817","0.701493197899306"
"PI_gen_37","4","1464","111898","1453.28291837209","1461","0.667893385128252","0.660679895690727","0.675106874565776"
"PI_mort_37","5","1987","111898","1814.02654202935","1826","0.684846195866216","0.679303966118001","0.690388425614431"
"PI_mort_20","5","1987","111898","1814.02654202935","1826","0.684426080943514","0.678882068435611","0.689970093451417"
"PI_hosp_37","5","1987","111898","1814.02654202935","1826","0.698890241131031","0.693360729724284","0.704419752537777"
"PI_hosp_20","5","1987","111898","1814.02654202935","1826","0.698321231179122","0.692793123220381","0.703849339137864"
"num_mm_37","5","1987","111898","1814.02654202935","1826","0.64428615160917","0.638249925528571","0.65032237768977"
"num_mm_20","5","1987","111898","1814.02654202935","1826","0.64077077811175","0.634704734760031","0.646836821463468"
"PI_cons_NB_37","5","1987","111898","1814.02654202935","1826","0.693140266845777","0.687640706455482","0.698639827236073"
"PI_cons_NB_20","5","1987","111898","1814.02654202935","1826","0.692570253989266","0.687062997281472","0.698077510697061"
"PI_gen_37","5","1987","111898","1814.02654202935","1826","0.653990844216142","0.647731034426531","0.660250654005753"
"PI_mort_37","6","2620","111898","2171.18444476219","2191","0.688133049260532","0.683311411274639","0.692954687246425"
"PI_mort_20","6","2620","111898","2171.18444476219","2191","0.687786891622908","0.682963994170308","0.692609789075509"
"PI_hosp_37","6","2620","111898","2171.18444476219","2191","0.700731056240809","0.69592224097426","0.705539871507358"
"PI_hosp_20","6","2620","111898","2171.18444476219","2191","0.700372593583386","0.695565236574055","0.705179950592717"
"num_mm_37","6","2620","111898","2171.18444476219","2191","0.639098292636221","0.633831807878348","0.644364777394093"
"num_mm_20","6","2620","111898","2171.18444476219","2191","0.637037745449766","0.63176427347178","0.642311217427752"
"PI_cons_NB_37","6","2620","111898","2171.18444476219","2191","0.693883138415837","0.689106059973286","0.698660216858388"
"PI_cons_NB_20","6","2620","111898","2171.18444476219","2191","0.693851516413343","0.689069134036827","0.698633898789859"
"PI_gen_37","6","2620","111898","2171.18444476219","2191","0.648540793781122","0.64308315420514","0.653998433357105"
"PI_mort_37","7","3275","111898","2456.28403546087","2556","0.690060313623894","0.685735750618393","0.694384876629395"
