"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","41","36605","367.978527523562","365","0.596065778587291","0.552325430387424","0.639806126787159"
"PI_mort_20","1","41","36605","367.978527523562","365","0.595553425101387","0.551807697363003","0.639299152839772"
"PI_hosp_37","1","41","36605","367.978527523562","365","0.665487175828916","0.621287624751101","0.709686726906731"
"PI_hosp_20","1","41","36605","367.978527523562","365","0.666866563418161","0.622868008175779","0.710865118660544"
"num_mm_37","1","41","36605","367.978527523562","365","0.65168296619667","0.606445354239414","0.696920578153926"
"num_mm_20","1","41","36605","367.978527523562","365","0.668094278374949","0.623987034657908","0.712201522091991"
"PI_cons_NB_37","1","41","36605","367.978527523562","365","0.670164693144597","0.624773338277535","0.715556048011659"
"PI_cons_NB_20","1","41","36605","367.978527523562","365","0.674421527246738","0.62968231103505","0.719160743458427"
"PI_gen_37","1","41","36605","367.978527523562","365","0.669885015477275","0.623152256837537","0.716617774117013"
"PI_mort_37","2","118","36605","731.873132085781","730","0.601662316761955","0.576326774393697","0.626997859130213"
"PI_mort_20","2","118","36605","731.873132085781","730","0.6014792381425","0.576131953682954","0.626826522602045"
"PI_hosp_37","2","118","36605","731.873132085781","730","0.649276323493776","0.623807339411107","0.674745307576444"
"PI_hosp_20","2","118","36605","731.873132085781","730","0.64973303450203","0.624328221855453","0.675137847148606"
"num_mm_37","2","118","36605","731.873132085781","730","0.649547636964025","0.624764844970855","0.674330428957195"
"num_mm_20","2","118","36605","731.873132085781","730","0.646531767444934","0.621446680746406","0.671616854143463"
"PI_cons_NB_37","2","118","36605","731.873132085781","730","0.648886281393809","0.622929326414942","0.674843236372677"
"PI_cons_NB_20","2","118","36605","731.873132085781","730","0.645951110240228","0.619929512552039","0.671972707928417"
"PI_gen_37","2","118","36605","731.873132085781","730","0.667816309186048","0.642038618125785","0.693594000246311"
"PI_mort_37","3","219","36605","1095.22537904658","1096","0.617084839767459","0.598888519878351","0.635281159656566"
"PI_mort_20","3","219","36605","1095.22537904658","1096","0.615692576833145","0.597488575406691","0.633896578259599"
"PI_hosp_37","3","219","36605","1095.22537904658","1096","0.657817429693068","0.639506033832088","0.676128825554048"
"PI_hosp_20","3","219","36605","1095.22537904658","1096","0.65615053030485","0.637869210533418","0.674431850076283"
"num_mm_37","3","219","36605","1095.22537904658","1096","0.640646833285288","0.622431068529145","0.65886259804143"
"num_mm_20","3","219","36605","1095.22537904658","1096","0.633911045815617","0.615436648279265","0.652385443351968"
"PI_cons_NB_37","3","219","36605","1095.22537904658","1096","0.650828776495223","0.632236506242282","0.669421046748165"
"PI_cons_NB_20","3","219","36605","1095.22537904658","1096","0.647580621751908","0.628925216103692","0.666236027400123"
"PI_gen_37","3","219","36605","1095.22537904658","1096","0.656859017284455","0.638018298220201","0.675699736348709"
"PI_mort_37","4","334","36605","1455.61543504986","1461","0.615754418786263","0.601013102084594","0.630495735487932"
"PI_mort_20","4","334","36605","1455.61543504986","1461","0.614279654930894","0.599555612787317","0.629003697074471"
"PI_hosp_37","4","334","36605","1455.61543504986","1461","0.650555328952536","0.635559545670314","0.665551112234759"
"PI_hosp_20","4","334","36605","1455.61543504986","1461","0.64807108151431","0.633155176347586","0.662986986681034"
"num_mm_37","4","334","36605","1455.61543504986","1461","0.630550372536459","0.615673942548882","0.645426802524036"
"num_mm_20","4","334","36605","1455.61543504986","1461","0.624990714936725","0.610108880560659","0.639872549312791"
"PI_cons_NB_37","4","334","36605","1455.61543504986","1461","0.640482678673376","0.625416215207756","0.655549142138997"
"PI_cons_NB_20","4","334","36605","1455.61543504986","1461","0.637816838404731","0.622774890655095","0.652858786154367"
"PI_gen_37","4","334","36605","1455.61543504986","1461","0.644966789054209","0.629634443929638","0.66029913417878"
"PI_mort_37","5","451","36605","1818.1554978828","1826","0.609654983636737","0.596811778748205","0.622498188525268"
"PI_mort_20","5","451","36605","1818.1554978828","1826","0.60794774190379","0.595112501764702","0.620782982042877"
"PI_hosp_37","5","451","36605","1818.1554978828","1826","0.636933092800006","0.623904268320329","0.649961917279683"
"PI_hosp_20","5","451","36605","1818.1554978828","1826","0.635081673693599","0.622110910374035","0.648052437013164"
"num_mm_37","5","451","36605","1818.1554978828","1826","0.607202840711765","0.594342725337516","0.620062956086014"
"num_mm_20","5","451","36605","1818.1554978828","1826","0.60421272205784","0.591391608819316","0.617033835296364"
"PI_cons_NB_37","5","451","36605","1818.1554978828","1826","0.62065122825957","0.607571180121513","0.633731276397627"
"PI_cons_NB_20","5","451","36605","1818.1554978828","1826","0.620256972778605","0.607187352201673","0.633326593355537"
"PI_gen_37","5","451","36605","1818.1554978828","1826","0.622246961852697","0.608961158709459","0.635532764995934"
"PI_mort_37","6","590","36605","2177.62882119929","2191","0.606805889999599","0.595557677273935","0.618054102725264"
"PI_mort_20","6","590","36605","2177.62882119929","2191","0.605124862273787","0.593863688048261","0.616386036499314"
"PI_hosp_37","6","590","36605","2177.62882119929","2191","0.631642614238414","0.620279841407025","0.643005387069803"
"PI_hosp_20","6","590","36605","2177.62882119929","2191","0.630659472459006","0.619306653802753","0.642012291115258"
"num_mm_37","6","590","36605","2177.62882119929","2191","0.599118991059385","0.587910778105342","0.610327204013429"
"num_mm_20","6","590","36605","2177.62882119929","2191","0.597568185270594","0.586396498041063","0.608739872500125"
"PI_cons_NB_37","6","590","36605","2177.62882119929","2191","0.616794232346933","0.60526782243288","0.628320642260986"
"PI_cons_NB_20","6","590","36605","2177.62882119929","2191","0.617902904432364","0.606373141645582","0.629432667219145"
"PI_gen_37","6","590","36605","2177.62882119929","2191","0.612713960547911","0.601086058669953","0.62434186242587"
"PI_mort_37","7","719","36605","2467.64644174293","2556","0.605931753780246","0.595684899873197","0.616178607687294"
"PI_mort_20","7","719","36605","2467.64644174293","2556","0.604187558835386","0.593927106848221","0.614448010822551"
"PI_hosp_37","7","719","36605","2467.64644174293","2556","0.629569425527764","0.61915690496627","0.639981946089258"
"PI_hosp_20","7","719","36605","2467.64644174293","2556","0.628452999180442","0.618047331407921","0.638858666952964"
"num_mm_37","7","719","36605","2467.64644174293","2556","0.600587346366553","0.59036651363889","0.610808179094217"
"num_mm_20","7","719","36605","2467.64644174293","2556","0.597670447963823","0.587467697234497","0.607873198693148"
"PI_cons_NB_37","7","719","36605","2467.64644174293","2556","0.614459851857922","0.603914240997462","0.625005462718381"
"PI_cons_NB_20","7","719","36605","2467.64644174293","2556","0.61527656205465","0.604722610040442","0.625830514068858"
"PI_gen_37","7","719","36605","2467.64644174293","2556","0.612667309219705","0.602103785595672","0.623230832843739"
"PI_mort_37","8","878","36605","2584.02526977189","2598","0.605219346410222","0.595786451587038","0.614652241233406"
"PI_mort_20","8","878","36605","2584.02526977189","2598","0.603546838831302","0.594101228476036","0.612992449186567"
"PI_hosp_37","8","878","36605","2584.02526977189","2598","0.629364881058813","0.619783300073308","0.638946462044319"
"PI_hosp_20","8","878","36605","2584.02526977189","2598","0.6281880678134","0.618612453364471","0.63776368226233"
"num_mm_37","8","878","36605","2584.02526977189","2598","0.601462826664023","0.592010483783998","0.610915169544047"
"num_mm_20","8","878","36605","2584.02526977189","2598","0.597553638399568","0.588125270959916","0.60698200583922"
"PI_cons_NB_37","8","878","36605","2584.02526977189","2598","0.615415977914621","0.60569000525603","0.625141950573213"
"PI_cons_NB_20","8","878","36605","2584.02526977189","2598","0.615678096612402","0.605951465629451","0.625404727595353"
"PI_gen_37","8","878","36605","2584.02526977189","2598","0.612939542529496","0.603187307868779","0.622691777190213"
"PI_mort_37","9","1020","36605","2591.50408414151","2598","0.601311953917136","0.592335880353446","0.610288027480827"
"PI_mort_20","9","1020","36605","2591.50408414151","2598","0.599680577336638","0.590693351962421","0.608667802710856"
"PI_hosp_37","9","1020","36605","2591.50408414151","2598","0.625014615120953","0.615916004750254","0.634113225491651"
"PI_hosp_20","9","1020","36605","2591.50408414151","2598","0.624227302104164","0.615135520495234","0.633319083713095"
"num_mm_37","9","1020","36605","2591.50408414151","2598","0.60268861442717","0.5937691300021","0.61160809885224"
"num_mm_20","9","1020","36605","2591.50408414151","2598","0.599407293932602","0.590507439284571","0.608307148580633"
"PI_cons_NB_37","9","1020","36605","2591.50408414151","2598","0.612362469453429","0.603164541134092","0.621560397772766"
"PI_cons_NB_20","9","1020","36605","2591.50408414151","2598","0.61278569496481","0.603585934606271","0.621985455323349"
"PI_gen_37","9","1020","36605","2591.50408414151","2598","0.613925367900987","0.604723966023543","0.623126769778432"
"PI_mort_37","10","1190","36605","2591.50941128261","2598","0.599693572683881","0.591177604217556","0.608209541150205"
"PI_mort_20","10","1190","36605","2591.50941128261","2598","0.598115967743421","0.589586824206346","0.606645111280496"
"PI_hosp_37","10","1190","36605","2591.50941128261","2598","0.622164286277858","0.613551411843454","0.630777160712262"
