"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","24","16227","367.527269365872","365","0.618076202566125","0.564254400941102","0.671898004191149"
"PI_mort_20","1","24","16227","367.527269365872","365","0.619840317412186","0.56613756444277","0.673543070381602"
"PI_hosp_37","1","24","16227","367.527269365872","365","0.70304923332314","0.651188269880867","0.754910196765413"
"PI_hosp_20","1","24","16227","367.527269365872","365","0.702111284424652","0.65029381683272","0.753928752016584"
"num_mm_37","1","24","16227","367.527269365872","365","0.683741619490835","0.625302027304965","0.742181211676706"
"num_mm_20","1","24","16227","367.527269365872","365","0.695783341513618","0.638611597521154","0.752955085506083"
"PI_cons_NB_37","1","24","16227","367.527269365872","365","0.729916972249561","0.674138739223881","0.785695205275241"
"PI_cons_NB_20","1","24","16227","367.527269365872","365","0.731688796264651","0.676400247994892","0.786977344534409"
"PI_gen_37","1","24","16227","367.527269365872","365","0.696709726658563","0.636930595854954","0.756488857462172"
"PI_mort_37","2","69","16227","731.246810870771","730","0.581747211662995","0.55021425454137","0.613280168784621"
"PI_mort_20","2","69","16227","731.246810870771","730","0.583629523747296","0.55207590976348","0.615183137731112"
"PI_hosp_37","2","69","16227","731.246810870771","730","0.645417335351396","0.613199700471702","0.677634970231091"
"PI_hosp_20","2","69","16227","731.246810870771","730","0.642731259000952","0.610483372091505","0.674979145910398"
"num_mm_37","2","69","16227","731.246810870771","730","0.678770419684885","0.647117717445628","0.710423121924142"
"num_mm_20","2","69","16227","731.246810870771","730","0.666507196733387","0.633965939127106","0.699048454339669"
"PI_cons_NB_37","2","69","16227","731.246810870771","730","0.679122178433877","0.646294676443931","0.711949680423823"
"PI_cons_NB_20","2","69","16227","731.246810870771","730","0.670711743103336","0.63748617987992","0.703937306326751"
"PI_gen_37","2","69","16227","731.246810870771","730","0.690849707718017","0.658432275949936","0.723267139486098"
"PI_mort_37","3","117","16227","1094.23510199051","1096","0.598769328364127","0.575328691539394","0.622209965188859"
"PI_mort_20","3","117","16227","1094.23510199051","1096","0.598705891681865","0.575279348785293","0.622132434578437"
"PI_hosp_37","3","117","16227","1094.23510199051","1096","0.651802659054265","0.628088022291067","0.675517295817463"
"PI_hosp_20","3","117","16227","1094.23510199051","1096","0.646850104406206","0.623096022562045","0.670604186250367"
"num_mm_37","3","117","16227","1094.23510199051","1096","0.666389659820791","0.642301854800022","0.690477464841561"
"num_mm_20","3","117","16227","1094.23510199051","1096","0.645425422250416","0.62044071302052","0.670410131480313"
"PI_cons_NB_37","3","117","16227","1094.23510199051","1096","0.674472021779928","0.650288929351761","0.698655114208095"
"PI_cons_NB_20","3","117","16227","1094.23510199051","1096","0.665284804271403","0.640732263592758","0.689837344950048"
"PI_gen_37","3","117","16227","1094.23510199051","1096","0.675300399122459","0.650712283650385","0.699888514594534"
"PI_mort_37","4","186","16227","1454.25217230542","1461","0.618954652395012","0.600700292738761","0.637209012051263"
"PI_mort_20","4","186","16227","1454.25217230542","1461","0.617665171519785","0.599444414171065","0.635885928868505"
"PI_hosp_37","4","186","16227","1454.25217230542","1461","0.664825780953206","0.645935323798462","0.68371623810795"
