"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","17","20378","368.337864363529","365","0.5530665111054","0.481039810448439","0.62509321176236"
"PI_mort_20","1","17","20378","368.337864363529","365","0.55015551313559","0.4781861099314","0.622124916339779"
"PI_hosp_37","1","17","20378","368.337864363529","365","0.609400675189807","0.533958908285162","0.684842442094452"
"PI_hosp_20","1","17","20378","368.337864363529","365","0.613865360568107","0.538718866848865","0.689011854287348"
"num_mm_37","1","17","20378","368.337864363529","365","0.613565019507729","0.542798250890945","0.684331788124514"
"num_mm_20","1","17","20378","368.337864363529","365","0.632308900780598","0.563645583832184","0.700972217729012"
"PI_cons_NB_37","1","17","20378","368.337864363529","365","0.629071570697109","0.552038514821259","0.706104626572959"
"PI_cons_NB_20","1","17","20378","368.337864363529","365","0.629976925720457","0.554698453558861","0.705255397882053"
"PI_gen_37","1","17","20378","368.337864363529","365","0.635830688503002","0.562239518640128","0.709421858365876"
"PI_mort_37","2","49","20378","732.371871626264","730","0.616210232468595","0.57415543657087","0.65826502836632"
"PI_mort_20","2","49","20378","732.371871626264","730","0.614465514751889","0.572432912630393","0.656498116873385"
"PI_hosp_37","2","49","20378","732.371871626264","730","0.651785427796762","0.610485943370885","0.69308491222264"
"PI_hosp_20","2","49","20378","732.371871626264","730","0.656063495692352","0.614987030390989","0.697139960993715"
"num_mm_37","2","49","20378","732.371871626264","730","0.616738661340264","0.577291000254194","0.656186322426334"
"num_mm_20","2","49","20378","732.371871626264","730","0.622040497505254","0.582781342321363","0.661299652689146"
"PI_cons_NB_37","2","49","20378","732.371871626264","730","0.658941277213586","0.617909496396515","0.699973058030656"
"PI_cons_NB_20","2","49","20378","732.371871626264","730","0.657397101763168","0.616294510673337","0.698499692852998"
"PI_gen_37","2","49","20378","732.371871626264","730","0.641160698528822","0.59947189065067","0.682849506406974"
"PI_mort_37","3","102","20378","1096.01393659829","1096","0.629857053902983","0.60142808461633","0.658286023189635"
"PI_mort_20","3","102","20378","1096.01393659829","1096","0.627792952198405","0.599329649879641","0.656256254517168"
"PI_hosp_37","3","102","20378","1096.01393659829","1096","0.662781875648423","0.634387005705817","0.691176745591029"
"PI_hosp_20","3","102","20378","1096.01393659829","1096","0.664524991330242","0.636244653491217","0.692805329169268"
"num_mm_37","3","102","20378","1096.01393659829","1096","0.616491157329454","0.588864876972731","0.644117437686177"
"num_mm_20","3","102","20378","1096.01393659829","1096","0.622911118946182","0.595465818735402","0.650356419156962"
"PI_cons_NB_37","3","102","20378","1096.01393659829","1096","0.662150273549546","0.633930344414608","0.690370202684484"
"PI_cons_NB_20","3","102","20378","1096.01393659829","1096","0.660368330858212","0.632184235344239","0.688552426372185"
"PI_gen_37","3","102","20378","1096.01393659829","1096","0.639714291088743","0.61081939356607","0.668609188611416"
"PI_mort_37","4","148","20378","1456.7010010796","1461","0.601175443249696","0.577181184376772","0.62516970212262"
"PI_mort_20","4","148","20378","1456.7010010796","1461","0.600447800582314","0.576441406123107","0.624454195041521"
"PI_hosp_37","4","148","20378","1456.7010010796","1461","0.630867523775262","0.606826577710704","0.654908469839821"
"PI_hosp_20","4","148","20378","1456.7010010796","1461","0.63303431152158","0.609063178847434","0.657005444195727"
"num_mm_37","4","148","20378","1456.7010010796","1461","0.61130120745753","0.588725951086744","0.633876463828317"
"num_mm_20","4","148","20378","1456.7010010796","1461","0.616602865511069","0.594205512627105","0.639000218395032"
"PI_cons_NB_37","4","148","20378","1456.7010010796","1461","0.638187712173647","0.614473756177374","0.661901668169919"
"PI_cons_NB_20","4","148","20378","1456.7010010796","1461","0.636726935824013","0.613067178017008","0.660386693631018"
"PI_gen_37","4","148","20378","1456.7010010796","1461","0.629919741329937","0.6063853168897","0.653454165770174"
"PI_mort_37","5","193","20378","1820.20747865345","1826","0.598808294166323","0.578339324334856","0.61927726399779"
"PI_mort_20","5","193","20378","1820.20747865345","1826","0.597859829580394","0.577383714225707","0.618335944935081"
"PI_hosp_37","5","193","20378","1820.20747865345","1826","0.619179780600022","0.598593901346037","0.639765659854008"
"PI_hosp_20","5","193","20378","1820.20747865345","1826","0.621711191064582","0.601164521193715","0.64225786093545"
"num_mm_37","5","193","20378","1820.20747865345","1826","0.579700916223177","0.559996582049377","0.599405250396977"
"num_mm_20","5","193","20378","1820.20747865345","1826","0.587399127438129","0.567827572413801","0.606970682462457"
"PI_cons_NB_37","5","193","20378","1820.20747865345","1826","0.621183883076607","0.600728926343453","0.641638839809761"
"PI_cons_NB_20","5","193","20378","1820.20747865345","1826","0.622340179565742","0.601947801916334","0.64273255721515"
"PI_gen_37","5","193","20378","1820.20747865345","1826","0.598567888731883","0.57790116613032","0.619234611333446"
"PI_mort_37","6","252","20378","2180.82147413878","2191","0.610467614923433","0.592711511351575","0.62822371849529"
"PI_mort_20","6","252","20378","2180.82147413878","2191","0.609621799310061","0.591842407640023","0.627401190980098"
"PI_hosp_37","6","252","20378","2180.82147413878","2191","0.627528064675499","0.609892023044971","0.645164106306026"
"PI_hosp_20","6","252","20378","2180.82147413878","2191","0.629448493337046","0.611827708060138","0.647069278613955"
"num_mm_37","6","252","20378","2180.82147413878","2191","0.579317946518036","0.562410041645788","0.596225851390285"
"num_mm_20","6","252","20378","2180.82147413878","2191","0.586184515185585","0.569385500307474","0.602983530063696"
"PI_cons_NB_37","6","252","20378","2180.82147413878","2191","0.629335417431366","0.611886830368525","0.646784004494207"
"PI_cons_NB_20","6","252","20378","2180.82147413878","2191","0.630923967329882","0.613510275601225","0.648337659058539"
"PI_gen_37","6","252","20378","2180.82147413878","2191","0.596966214604743","0.57925530234445","0.614677126865036"
"PI_mort_37","7","306","20378","2471.83830601629","2556","0.60816539066232","0.591994999710502","0.624335781614139"
"PI_mort_20","7","306","20378","2471.83830601629","2556","0.607229123547825","0.591037821949704","0.623420425145946"
"PI_hosp_37","7","306","20378","2471.83830601629","2556","0.623863380541584","0.607643872552877","0.640082888530291"
"PI_hosp_20","7","306","20378","2471.83830601629","2556","0.625926512598841","0.60971554988164","0.642137475316042"
"num_mm_37","7","306","20378","2471.83830601629","2556","0.578577885626994","0.563033392650439","0.594122378603548"
"num_mm_20","7","306","20378","2471.83830601629","2556","0.582699657256686","0.567231876515337","0.598167437998035"
"PI_cons_NB_37","7","306","20378","2471.83830601629","2556","0.625816945885691","0.609737175660543","0.641896716110839"
"PI_cons_NB_20","7","306","20378","2471.83830601629","2556","0.627594389185957","0.611525402474538","0.643663375897375"
"PI_gen_37","7","306","20378","2471.83830601629","2556","0.594462563208845","0.578231330593052","0.610693795824639"
"PI_mort_37","8","376","20378","2588.48488566101","2600","0.606323945251745","0.591518951227598","0.621128939275893"
"PI_mort_20","8","376","20378","2588.48488566101","2600","0.605509200691316","0.590686050589254","0.620332350793379"
"PI_hosp_37","8","376","20378","2588.48488566101","2600","0.624201710113358","0.609381844591518","0.639021575635198"
