"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","13","24269","369.724504511929","365","0.527770732140366","0.434905049647505","0.620636414633227"
"PI_mort_20","1","13","24269","369.724504511929","365","0.527364903425448","0.434782355788364","0.619947451062532"
"PI_hosp_37","1","13","24269","369.724504511929","365","0.5916031502454","0.507752639459555","0.675453661031244"
"PI_hosp_20","1","13","24269","369.724504511929","365","0.596530164487451","0.514073995933981","0.678986333040921"
"num_mm_37","1","13","24269","369.724504511929","365","0.670425866507717","0.597439399947007","0.743412333068427"
"num_mm_20","1","13","24269","369.724504511929","365","0.677363001103347","0.607626389030011","0.747099613176683"
"PI_cons_NB_37","1","13","24269","369.724504511929","365","0.59593093302558","0.510592026125509","0.681269839925651"
"PI_cons_NB_20","1","13","24269","369.724504511929","365","0.586016664341606","0.503898996330624","0.668134332352589"
"PI_gen_37","1","13","24269","369.724504511929","365","0.705316039111742","0.626553101674268","0.784078976549217"
"PI_mort_37","2","39","24269","733.797725493428","730","0.636276207878119","0.592584987950751","0.679967427805486"
"PI_mort_20","2","39","24269","733.797725493428","730","0.636212763347672","0.592643395535756","0.679782131159588"
"PI_hosp_37","2","39","24269","733.797725493428","730","0.677716589052858","0.637958357764754","0.717474820340962"
"PI_hosp_20","2","39","24269","733.797725493428","730","0.679938733731765","0.640651720888097","0.719225746575433"
"num_mm_37","2","39","24269","733.797725493428","730","0.655855189974072","0.61360507659887","0.698105303349275"
"num_mm_20","2","39","24269","733.797725493428","730","0.65655307980899","0.614935763606477","0.698170396011502"
"PI_cons_NB_37","2","39","24269","733.797725493428","730","0.667650056888596","0.627151000882633","0.708149112894558"
"PI_cons_NB_20","2","39","24269","733.797725493428","730","0.664326092197592","0.624317027103948","0.704335157291236"
"PI_gen_37","2","39","24269","733.797725493428","730","0.67700495290301","0.632006434707943","0.722003471098078"
"PI_mort_37","3","68","24269","1097.7643907866","1096","0.620960225155741","0.59023684965886","0.651683600652622"
