"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","9","11170","369.967591763653","365","0.511200676717918","0.41526560462756","0.607135748808276"
"PI_mort_20","1","9","11170","369.967591763653","365","0.511558939145146","0.416255177221169","0.606862701069123"
"PI_hosp_37","1","9","11170","369.967591763653","365","0.596198437577748","0.50777571920637","0.684621155949126"
"PI_hosp_20","1","9","11170","369.967591763653","365","0.600029855202269","0.513343915332779","0.686715795071759"
"num_mm_37","1","9","11170","369.967591763653","365","0.673190028362442","0.581605390081372","0.764774666643512"
"num_mm_20","1","9","11170","369.967591763653","365","0.669935811315122","0.583627247200971","0.756244375429272"
"PI_cons_NB_37","1","9","11170","369.967591763653","365","0.649420311489277","0.554409020795445","0.744431602183109"
"PI_cons_NB_20","1","9","11170","369.967591763653","365","0.641349455142559","0.548023383928747","0.73467552635637"
"PI_gen_37","1","9","11170","369.967591763653","365","0.688963526894561","0.594232561344204","0.783694492444919"
"PI_mort_37","2","25","11170","733.840196956132","730","0.639494487765528","0.590265512860874","0.688723462670183"
"PI_mort_20","2","25","11170","733.840196956132","730","0.64068297929551","0.591596392970554","0.689769565620465"
"PI_hosp_37","2","25","11170","733.840196956132","730","0.70088733530519","0.655326205735731","0.746448464874648"
"PI_hosp_20","2","25","11170","733.840196956132","730","0.704617728780138","0.659643682226572","0.749591775333704"
"num_mm_37","2","25","11170","733.840196956132","730","0.698519315228108","0.644353787188148","0.752684843268068"
"num_mm_20","2","25","11170","733.840196956132","730","0.686523258940575","0.632588207879512","0.740458310001638"
"PI_cons_NB_37","2","25","11170","733.840196956132","730","0.725614412476472","0.679825054885919","0.771403770067026"
"PI_cons_NB_20","2","25","11170","733.840196956132","730","0.717664246661289","0.671475899696508","0.76385259362607"
"PI_gen_37","2","25","11170","733.840196956132","730","0.711585551671596","0.655589158572716","0.767581944770477"
"PI_mort_37","3","45","11170","1097.43410922113","1096","0.628460586149083","0.593061999980914","0.663859172317252"
"PI_mort_20","3","45","11170","1097.43410922113","1096","0.629340746750981","0.593941734680331","0.664739758821632"
"PI_hosp_37","3","45","11170","1097.43410922113","1096","0.688510863952888","0.65330206969747","0.723719658208306"
"PI_hosp_20","3","45","11170","1097.43410922113","1096","0.692792052837546","0.657822630861397","0.727761474813695"
"num_mm_37","3","45","11170","1097.43410922113","1096","0.684749996511255","0.644313363320431","0.725186629702079"
"num_mm_20","3","45","11170","1097.43410922113","1096","0.682991668876205","0.642957095478279","0.723026242274131"
"PI_cons_NB_37","3","45","11170","1097.43410922113","1096","0.710517869353466","0.674486893096393","0.746548845610539"
"PI_cons_NB_20","3","45","11170","1097.43410922113","1096","0.706402146674827","0.67045386211787","0.742350431231784"
"PI_gen_37","3","45","11170","1097.43410922113","1096","0.694168612057502","0.652572363761303","0.735764860353702"
"PI_mort_37","4","58","11170","1457.46929274843","1461","0.621100152132564","0.589003451195016","0.653196853070113"
"PI_mort_20","4","58","11170","1457.46929274843","1461","0.619629898459638","0.587527989577045","0.651731807342232"
"PI_hosp_37","4","58","11170","1457.46929274843","1461","0.674386788145731","0.642538181360003","0.70623539493146"
"PI_hosp_20","4","58","11170","1457.46929274843","1461","0.674276906029123","0.642568576253903","0.705985235804344"
"num_mm_37","4","58","11170","1457.46929274843","1461","0.678283734196708","0.642776920114401","0.713790548279015"
"num_mm_20","4","58","11170","1457.46929274843","1461","0.671950036137288","0.63655656898791","0.707343503286665"
"PI_cons_NB_37","4","58","11170","1457.46929274843","1461","0.692710791816723","0.660229995305997","0.725191588327449"
"PI_cons_NB_20","4","58","11170","1457.46929274843","1461","0.687270853226897","0.654736119300661","0.719805587153133"
"PI_gen_37","4","58","11170","1457.46929274843","1461","0.688503544858987","0.651926562509094","0.72508052720888"
"PI_mort_37","5","74","11170","1822.61629364369","1826","0.578881115994965","0.549701632340402","0.608060599649528"
"PI_mort_20","5","74","11170","1822.61629364369","1826","0.578350042425192","0.549192824234065","0.607507260616318"
"PI_hosp_37","5","74","11170","1822.61629364369","1826","0.640307816310453","0.609863984763677","0.670751647857229"
"PI_hosp_20","5","74","11170","1822.61629364369","1826","0.642223322808973","0.611799414879703","0.672647230738242"
"num_mm_37","5","74","11170","1822.61629364369","1826","0.673390361530609","0.641552940488638","0.70522778257258"
"num_mm_20","5","74","11170","1822.61629364369","1826","0.670364152594734","0.638769330821776","0.701958974367693"
"PI_cons_NB_37","5","74","11170","1822.61629364369","1826","0.660880089050416","0.629668522980392","0.69209165512044"
"PI_cons_NB_20","5","74","11170","1822.61629364369","1826","0.655829731137177","0.624908493934671","0.686750968339683"
"PI_gen_37","5","74","11170","1822.61629364369","1826","0.680207525342831","0.647690035108152","0.712725015577509"
"PI_mort_37","6","94","11170","2184.27144136079","2191","0.577375782873015","0.550980836009297","0.603770729736732"
"PI_mort_20","6","94","11170","2184.27144136079","2191","0.577228007820122","0.550858276611261","0.603597739028983"
"PI_hosp_37","6","94","11170","2184.27144136079","2191","0.639853066643201","0.612898498114561","0.666807635171841"
"PI_hosp_20","6","94","11170","2184.27144136079","2191","0.642965429245879","0.615986002183422","0.669944856308335"
"num_mm_37","6","94","11170","2184.27144136079","2191","0.675265038622373","0.647385425931438","0.703144651313308"
"num_mm_20","6","94","11170","2184.27144136079","2191","0.675872877108544","0.648169107095199","0.70357664712189"
"PI_cons_NB_37","6","94","11170","2184.27144136079","2191","0.663546333457037","0.636092709385066","0.690999957529008"
"PI_cons_NB_20","6","94","11170","2184.27144136079","2191","0.658939482050831","0.631702716965093","0.686176247136568"
"PI_gen_37","6","94","11170","2184.27144136079","2191","0.684512696220402","0.655858917303602","0.713166475137202"
"PI_mort_37","7","118","11170","2474.81145926589","2556","0.584323902245307","0.560885739595348","0.607762064895266"
"PI_mort_20","7","118","11170","2474.81145926589","2556","0.584304203804793","0.560886074853191","0.607722332756396"
"PI_hosp_37","7","118","11170","2474.81145926589","2556","0.639598120296012","0.616002261771053","0.663193978820972"
"PI_hosp_20","7","118","11170","2474.81145926589","2556","0.642800692754756","0.619208172010484","0.666393213499028"
"num_mm_37","7","118","11170","2474.81145926589","2556","0.666005455680085","0.641212923479133","0.690797987881037"
"num_mm_20","7","118","11170","2474.81145926589","2556","0.665524813731546","0.64086647405543","0.690183153407663"
"PI_cons_NB_37","7","118","11170","2474.81145926589","2556","0.661925514680854","0.637926589787089","0.685924439574618"
"PI_cons_NB_20","7","118","11170","2474.81145926589","2556","0.657773871358152","0.633970207708131","0.681577535008174"
"PI_gen_37","7","118","11170","2474.81145926589","2556","0.673238723036775","0.647836104985377","0.698641341088172"
"PI_mort_37","8","141","11170","2595.7969561325","2600","0.594929742739798","0.573063295037632","0.616796190441963"
"PI_mort_20","8","141","11170","2595.7969561325","2600","0.594977565928191","0.573126960094515","0.616828171761867"
"PI_hosp_37","8","141","11170","2595.7969561325","2600","0.646103052546977","0.624035335273329","0.668170769820625"
"PI_hosp_20","8","141","11170","2595.7969561325","2600","0.649052743980345","0.626998139444707","0.671107348515983"
"num_mm_37","8","141","11170","2595.7969561325","2600","0.651639835716641","0.628387056043763","0.67489261538952"
"num_mm_20","8","141","11170","2595.7969561325","2600","0.652222636214002","0.629130453476147","0.675314818951858"
