"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","4","13099","369.517215054584","365","0.552552208605353","0.342142349807192","0.762962067403513"
"PI_mort_20","1","4","13099","369.517215054584","365","0.553373038598099","0.343086446362284","0.763659630833913"
"PI_hosp_37","1","4","13099","369.517215054584","365","0.592849234528309","0.407257873714117","0.778440595342501"
"PI_hosp_20","1","4","13099","369.517215054584","365","0.598919558660711","0.415205253732532","0.78263386358889"
"num_mm_37","1","4","13099","369.517215054584","365","0.685612568243424","0.578473932093933","0.792751204392914"
"num_mm_20","1","4","13099","369.517215054584","365","0.716279158553812","0.607895021429597","0.824663295678028"
"PI_cons_NB_37","1","4","13099","369.517215054584","365","0.624880693315008","0.456718929861612","0.793042456768404"
"PI_cons_NB_20","1","4","13099","369.517215054584","365","0.618924903600198","0.447620212252429","0.790229594947968"
"PI_gen_37","1","4","13099","369.517215054584","365","0.764774939869431","0.636575618835976","0.892974260902886"
"PI_mort_37","2","14","13099","733.7615085121","730","0.620375270759108","0.536272517018473","0.704478024499743"
"PI_mort_20","2","14","13099","733.7615085121","730","0.620124290024607","0.53627547735488","0.703973102694334"
"PI_hosp_37","2","14","13099","733.7615085121","730","0.641954157823233","0.567948189704743","0.715960125941723"
"PI_hosp_20","2","14","13099","733.7615085121","730","0.640442817313306","0.567209987720671","0.713675646905941"
"num_mm_37","2","14","13099","733.7615085121","730","0.591962614782765","0.529482127653994","0.654443101911537"
"num_mm_20","2","14","13099","733.7615085121","730","0.611730075676148","0.550729349863627","0.672730801488668"
"PI_cons_NB_37","2","14","13099","733.7615085121","730","0.657449490127182","0.588594206171449","0.726304774082915"
"PI_cons_NB_20","2","14","13099","733.7615085121","730","0.651780599189223","0.583084521293484","0.720476677084962"
"PI_gen_37","2","14","13099","733.7615085121","730","0.625482183095902","0.55360773644296","0.697356629748844"
"PI_mort_37","3","23","13099","1098.0460340484","1096","0.593095612248627","0.535175807652734","0.651015416844521"
"PI_mort_20","3","23","13099","1098.0460340484","1096","0.592578995803945","0.534832151546152","0.650325840061738"
"PI_hosp_37","3","23","13099","1098.0460340484","1096","0.616331724236454","0.563152710372404","0.669510738100505"
"PI_hosp_20","3","23","13099","1098.0460340484","1096","0.618125762050785","0.565096576366355","0.671154947735214"
"num_mm_37","3","23","13099","1098.0460340484","1096","0.552238062173377","0.502018835328014","0.60245728901874"
"num_mm_20","3","23","13099","1098.0460340484","1096","0.574146918407825","0.524615261974956","0.623678574840693"
"PI_cons_NB_37","3","23","13099","1098.0460340484","1096","0.623725485636069","0.571418529186089","0.67603244208605"
"PI_cons_NB_20","3","23","13099","1098.0460340484","1096","0.622614178878859","0.570843068422412","0.674385289335307"
"PI_gen_37","3","23","13099","1098.0460340484","1096","0.579024043429004","0.522570898270561","0.635477188587447"
"PI_mort_37","4","40","13099","1459.2789525918","1461","0.59708469690482","0.550507606444903","0.643661787364737"
"PI_mort_20","4","40","13099","1459.2789525918","1461","0.603084092855395","0.556769989446558","0.649398196264232"
"PI_hosp_37","4","40","13099","1459.2789525918","1461","0.635546970577441","0.591036711494453","0.680057229660429"
"PI_hosp_20","4","40","13099","1459.2789525918","1461","0.634373279606068","0.590295654196121","0.678450905016015"
"num_mm_37","4","40","13099","1459.2789525918","1461","0.602420785417176","0.5618140094795","0.643027561354853"
