"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","116","51862","367.464559793298","365","0.682677311325998","0.659031076151488","0.706323546500508"
"PI_mort_20","1","116","51862","367.464559793298","365","0.681118770913947","0.65750186804176","0.704735673786133"
"PI_hosp_37","1","116","51862","367.464559793298","365","0.708794491332216","0.685335047666743","0.732253934997688"
"PI_hosp_20","1","116","51862","367.464559793298","365","0.705316294423103","0.681903766569673","0.728728822276533"
"num_mm_37","1","116","51862","367.464559793298","365","0.700718554443991","0.675417920916356","0.726019187971626"
"num_mm_20","1","116","51862","367.464559793298","365","0.702834495006613","0.67811884881474","0.727550141198486"
"PI_cons_NB_37","1","116","51862","367.464559793298","365","0.722019327864782","0.699161614666173","0.744877041063392"
"PI_cons_NB_20","1","116","51862","367.464559793298","365","0.717730699926179","0.694761013387438","0.74070038646492"
"PI_gen_37","1","116","51862","367.464559793298","365","0.713910690833376","0.688273474377387","0.739547907289365"
"PI_mort_37","2","357","51862","730.576568585862","730","0.689432030378027","0.676334245046246","0.702529815709809"
"PI_mort_20","2","357","51862","730.576568585862","730","0.689181955054624","0.67608482439364","0.702279085715609"
"PI_hosp_37","2","357","51862","730.576568585862","730","0.713729633887884","0.700703476490036","0.726755791285732"
"PI_hosp_20","2","357","51862","730.576568585862","730","0.711949080241497","0.698948316202503","0.724949844280491"
"num_mm_37","2","357","51862","730.576568585862","730","0.696913179473596","0.683182239279713","0.710644119667479"
"num_mm_20","2","357","51862","730.576568585862","730","0.689471406130618","0.675588813494626","0.70335399876661"
"PI_cons_NB_37","2","357","51862","730.576568585862","730","0.724164669017938","0.711463908173686","0.736865429862191"
"PI_cons_NB_20","2","357","51862","730.576568585862","730","0.719328578650234","0.706558360011934","0.732098797288534"
"PI_gen_37","2","357","51862","730.576568585862","730","0.706125208606125","0.691664124266823","0.720586292945427"
"PI_mort_37","3","625","51862","1092.20818711195","1096","0.69271520058448","0.68276681789625","0.70266358327271"
"PI_mort_20","3","625","51862","1092.20818711195","1096","0.692346408876975","0.682397638657493","0.702295179096456"
"PI_hosp_37","3","625","51862","1092.20818711195","1096","0.713737305645622","0.703912013786615","0.723562597504628"
"PI_hosp_20","3","625","51862","1092.20818711195","1096","0.712190174537198","0.702377964621306","0.722002384453089"
"num_mm_37","3","625","51862","1092.20818711195","1096","0.691368023705719","0.681181628853814","0.701554418557624"
"num_mm_20","3","625","51862","1092.20818711195","1096","0.682169306603614","0.671771810628002","0.692566802579226"
"PI_cons_NB_37","3","625","51862","1092.20818711195","1096","0.723758141298485","0.714108906150952","0.733407376446018"
"PI_cons_NB_20","3","625","51862","1092.20818711195","1096","0.719859949475086","0.710161064006424","0.729558834943748"
"PI_gen_37","3","625","51862","1092.20818711195","1096","0.698761751928067","0.688111399797157","0.709412104058977"
"PI_mort_37","4","924","51862","1450.17122363195","1461","0.693338350514674","0.685334901771632","0.701341799257716"
"PI_mort_20","4","924","51862","1450.17122363195","1461","0.693035462510719","0.685027573501334","0.701043351520104"
"PI_hosp_37","4","924","51862","1450.17122363195","1461","0.712345841376131","0.704428582248695","0.720263100503567"
"PI_hosp_20","4","924","51862","1450.17122363195","1461","0.710851530722487","0.702927893381279","0.718775168063695"
"num_mm_37","4","924","51862","1450.17122363195","1461","0.672881934824566","0.664299028227856","0.681464841421276"
"num_mm_20","4","924","51862","1450.17122363195","1461","0.663666106708128","0.654950574294206","0.67238163912205"
"PI_cons_NB_37","4","924","51862","1450.17122363195","1461","0.720065800708074","0.712263208786185","0.727868392629962"
"PI_cons_NB_20","4","924","51862","1450.17122363195","1461","0.716321938638196","0.708477741350641","0.724166135925751"
"PI_gen_37","4","924","51862","1450.17122363195","1461","0.681828574780658","0.672896978962996","0.690760170598321"
"PI_mort_37","5","1248","51862","1808.81865334927","1826","0.692335475566767","0.685429392844553","0.699241558288982"
"PI_mort_20","5","1248","51862","1808.81865334927","1826","0.691968397301293","0.685057807151155","0.698878987451431"
"PI_hosp_37","5","1248","51862","1808.81865334927","1826","0.70973613012399","0.70288999291678","0.7165822673312"
"PI_hosp_20","5","1248","51862","1808.81865334927","1826","0.708461419881939","0.701613143707131","0.715309696056748"
"num_mm_37","5","1248","51862","1808.81865334927","1826","0.660640326997423","0.65310238784838","0.668178266146466"
"num_mm_20","5","1248","51862","1808.81865334927","1826","0.652335900634391","0.64471824602402","0.659953555244762"
"PI_cons_NB_37","5","1248","51862","1808.81865334927","1826","0.715603666322416","0.708822848801513","0.72238448384332"
"PI_cons_NB_20","5","1248","51862","1808.81865334927","1826","0.712641001287917","0.705832617322406","0.719449385253428"
"PI_gen_37","5","1248","51862","1808.81865334927","1826","0.668923179380085","0.661120316047183","0.676726042712987"
"PI_mort_37","6","1644","51862","2163.38841541013","2191","0.694878407193849","0.688860841487033","0.700895972900665"
"PI_mort_20","6","1644","51862","2163.38841541013","2191","0.694579113999898","0.688557854232344","0.700600373767452"
"PI_hosp_37","6","1644","51862","2163.38841541013","2191","0.710597300757254","0.704640555300391","0.716554046214116"
"PI_hosp_20","6","1644","51862","2163.38841541013","2191","0.709793552174359","0.703836455437455","0.715750648911262"
"num_mm_37","6","1644","51862","2163.38841541013","2191","0.655463643617893","0.648870775659485","0.6620565115763"
"num_mm_20","6","1644","51862","2163.38841541013","2191","0.648744253977687","0.642101872248534","0.655386635706841"
"PI_cons_NB_37","6","1644","51862","2163.38841541013","2191","0.715631616798114","0.709740654441939","0.721522579154289"
"PI_cons_NB_20","6","1644","51862","2163.38841541013","2191","0.713290593871138","0.707380569559144","0.719200618183131"
"PI_gen_37","6","1644","51862","2163.38841541013","2191","0.663235088403703","0.656407321984567","0.670062854822839"
"PI_mort_37","7","2053","51862","2445.31610813312","2556","0.695808486895585","0.690413148909044","0.701203824882126"
"PI_mort_20","7","2053","51862","2445.31610813312","2556","0.695586393133589","0.690187702087099","0.700985084180079"
"PI_hosp_37","7","2053","51862","2445.31610813312","2556","0.711548367481829","0.70619653295795","0.716900202005708"
"PI_hosp_20","7","2053","51862","2445.31610813312","2556","0.710996884593599","0.705644649875891","0.716349119311306"
"num_mm_37","7","2053","51862","2445.31610813312","2556","0.655182245012036","0.649245608000272","0.661118882023799"
"num_mm_20","7","2053","51862","2445.31610813312","2556","0.649399217417725","0.643424762191849","0.655373672643601"
"PI_cons_NB_37","7","2053","51862","2445.31610813312","2556","0.716537477860841","0.711236765118524","0.721838190603158"
"PI_cons_NB_20","7","2053","51862","2445.31610813312","2556","0.714474957464449","0.709159552212493","0.719790362716406"
"PI_gen_37","7","2053","51862","2445.31610813312","2556","0.661998666603758","0.655875898310327","0.668121434897188"
"PI_mort_37","8","2456","51862","2556.16322162662","2582","0.696294809439319","0.691267307299434","0.701322311579205"
"PI_mort_20","8","2456","51862","2556.16322162662","2582","0.696049892530062","0.691019342525806","0.701080442534318"
"PI_hosp_37","8","2456","51862","2556.16322162662","2582","0.711450863576466","0.706464503176154","0.716437223976778"
"PI_hosp_20","8","2456","51862","2556.16322162662","2582","0.710872566616848","0.705885882974256","0.71585925025944"
"num_mm_37","8","2456","51862","2556.16322162662","2582","0.653732188184174","0.648189633657904","0.659274742710444"
"num_mm_20","8","2456","51862","2556.16322162662","2582","0.647702938637939","0.642131854585997","0.653274022689881"
"PI_cons_NB_37","8","2456","51862","2556.16322162662","2582","0.716154771166031","0.711213489895355","0.721096052436706"
"PI_cons_NB_20","8","2456","51862","2556.16322162662","2582","0.714165511766086","0.709210950720523","0.71912007281165"
"PI_gen_37","8","2456","51862","2556.16322162662","2582","0.660589296698838","0.654880624220999","0.666297969176677"
"PI_mort_37","9","2895","51862","2563.86969264587","2582","0.697703574275774","0.692974816537799","0.702432332013748"
"PI_mort_20","9","2895","51862","2563.86969264587","2582","0.69748785123906","0.692756524686812","0.702219177791308"
"PI_hosp_37","9","2895","51862","2563.86969264587","2582","0.712583531380125","0.707896613204062","0.717270449556188"
"PI_hosp_20","9","2895","51862","2563.86969264587","2582","0.712130367039213","0.707443949327429","0.716816784750996"
"num_mm_37","9","2895","51862","2563.86969264587","2582","0.653895016084433","0.648678844956648","0.659111187212218"
"num_mm_20","9","2895","51862","2563.86969264587","2582","0.648131540588277","0.642890199871683","0.653372881304871"
"PI_cons_NB_37","9","2895","51862","2563.86969264587","2582","0.717303677214703","0.712659954182064","0.721947400247342"
"PI_cons_NB_20","9","2895","51862","2563.86969264587","2582","0.715404212382827","0.710748438757075","0.720059986008579"
"PI_gen_37","9","2895","51862","2563.86969264587","2582","0.660544278725677","0.655174203032319","0.665914354419035"
"PI_mort_37","10","3379","51862","2563.87345262427","2582","0.698725355497514","0.694283101938147","0.70316760905688"
