"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","107","50425","366.697471492315","365","0.631579733485726","0.606608016054211","0.656551450917241"
"PI_mort_20","1","107","50425","366.697471492315","365","0.629682461342071","0.604463812554182","0.65490111012996"
"PI_hosp_37","1","107","50425","366.697471492315","365","0.669452257875382","0.644560347139656","0.694344168611107"
"PI_hosp_20","1","107","50425","366.697471492315","365","0.663086455716401","0.638278588917422","0.68789432251538"
"num_mm_37","1","107","50425","366.697471492315","365","0.663468025337781","0.637599432945667","0.689336617729896"
"num_mm_20","1","107","50425","366.697471492315","365","0.663075230351901","0.637717201057728","0.688433259646074"
"PI_cons_NB_37","1","107","50425","366.697471492315","365","0.643981813054078","0.618798403489582","0.669165222618575"
"PI_cons_NB_20","1","107","50425","366.697471492315","365","0.640417527896422","0.615727574025567","0.665107481767278"
"PI_gen_37","1","107","50425","366.697471492315","365","0.672416217961325","0.646021971278338","0.698810464644313"
"PI_mort_37","2","369","50425","729.880475954388","730","0.619691067101123","0.605675871478023","0.633706262724222"
"PI_mort_20","2","369","50425","729.880475954388","730","0.619242443498726","0.60515340140927","0.633331485588182"
"PI_hosp_37","2","369","50425","729.880475954388","730","0.65832332316241","0.644360337820655","0.672286308504164"
"PI_hosp_20","2","369","50425","729.880475954388","730","0.655058671433285","0.641123670508614","0.668993672357955"
"num_mm_37","2","369","50425","729.880475954388","730","0.653397930672724","0.639508734726946","0.667287126618503"
"num_mm_20","2","369","50425","729.880475954388","730","0.649860916703654","0.635985021263358","0.66373681214395"
"PI_cons_NB_37","2","369","50425","729.880475954388","730","0.637564697495044","0.623454151657451","0.651675243332638"
"PI_cons_NB_20","2","369","50425","729.880475954388","730","0.63431307319332","0.620266186209203","0.648359960177436"
"PI_gen_37","2","369","50425","729.880475954388","730","0.664540345969632","0.650004359126333","0.679076332812932"
"PI_mort_37","3","658","50425","1091.35329697571","1096","0.606709466854272","0.595826138018829","0.617592795689715"
"PI_mort_20","3","658","50425","1091.35329697571","1096","0.605824613179144","0.594900975637306","0.616748250720982"
"PI_hosp_37","3","658","50425","1091.35329697571","1096","0.644301458597822","0.63365289960635","0.654950017589294"
"PI_hosp_20","3","658","50425","1091.35329697571","1096","0.642470073008468","0.631847771385327","0.653092374631609"
"num_mm_37","3","658","50425","1091.35329697571","1096","0.645537131907879","0.635175993965176","0.655898269850583"
"num_mm_20","3","658","50425","1091.35329697571","1096","0.643820471483872","0.633399477034601","0.654241465933143"
"PI_cons_NB_37","3","658","50425","1091.35329697571","1096","0.629505401199501","0.618842494906897","0.640168307492105"
"PI_cons_NB_20","3","658","50425","1091.35329697571","1096","0.627436662091414","0.616794004907877","0.63807931927495"
"PI_gen_37","3","658","50425","1091.35329697571","1096","0.658957609847791","0.648189957885815","0.669725261809767"
"PI_mort_37","4","1007","50425","1449.30149727318","1461","0.604289133590435","0.595384268720421","0.61319399846045"
"PI_mort_20","4","1007","50425","1449.30149727318","1461","0.603607673963074","0.594688783412721","0.612526564513428"
"PI_hosp_37","4","1007","50425","1449.30149727318","1461","0.636198997351026","0.627408120610358","0.644989874091695"
"PI_hosp_20","4","1007","50425","1449.30149727318","1461","0.635139827630121","0.626357352611414","0.643922302648829"
"num_mm_37","4","1007","50425","1449.30149727318","1461","0.625739177907094","0.617207867059861","0.634270488754326"
"num_mm_20","4","1007","50425","1449.30149727318","1461","0.626202734368442","0.617619467632433","0.63478600110445"
"PI_cons_NB_37","4","1007","50425","1449.30149727318","1461","0.619811342486407","0.611045597558755","0.628577087414058"
"PI_cons_NB_20","4","1007","50425","1449.30149727318","1461","0.619270931097006","0.610487809074054","0.628054053119958"
"PI_gen_37","4","1007","50425","1449.30149727318","1461","0.639887417228028","0.630993571417177","0.648781263038879"
"PI_mort_37","5","1374","50425","1806.6117798711","1826","0.603487717088116","0.59588517731133","0.611090256864902"
"PI_mort_20","5","1374","50425","1806.6117798711","1826","0.602613786311055","0.59499293225464","0.61023464036747"
"PI_hosp_37","5","1374","50425","1806.6117798711","1826","0.632005962707019","0.624447879428928","0.639564045985109"
"PI_hosp_20","5","1374","50425","1806.6117798711","1826","0.630912777315455","0.623355784073027","0.638469770557882"
"num_mm_37","5","1374","50425","1806.6117798711","1826","0.616247522026287","0.608854362627714","0.62364068142486"
"num_mm_20","5","1374","50425","1806.6117798711","1826","0.615989964071101","0.608564842168179","0.623415085974022"
"PI_cons_NB_37","5","1374","50425","1806.6117798711","1826","0.615265259011946","0.607686408443367","0.622844109580524"
"PI_cons_NB_20","5","1374","50425","1806.6117798711","1826","0.614968534336095","0.60738490288415","0.62255216578804"
"PI_gen_37","5","1374","50425","1806.6117798711","1826","0.630321793718445","0.622644238409691","0.637999349027199"
"PI_mort_37","6","1822","50425","2159.84345066931","2191","0.608710591177894","0.602147148300829","0.615274034054959"
"PI_mort_20","6","1822","50425","2159.84345066931","2191","0.608015215715718","0.601440653795808","0.614589777635629"
"PI_hosp_37","6","1822","50425","2159.84345066931","2191","0.634003237081583","0.627491341004092","0.640515133159074"
"PI_hosp_20","6","1822","50425","2159.84345066931","2191","0.633379586382911","0.626866933671449","0.639892239094372"
"num_mm_37","6","1822","50425","2159.84345066931","2191","0.610863642200784","0.604419061814603","0.617308222586966"
"num_mm_20","6","1822","50425","2159.84345066931","2191","0.611963447774572","0.605528796418681","0.618398099130464"
"PI_cons_NB_37","6","1822","50425","2159.84345066931","2191","0.614410387413051","0.607868758780346","0.620952016045756"
"PI_cons_NB_20","6","1822","50425","2159.84345066931","2191","0.615001074652021","0.608457825772637","0.621544323531404"
"PI_gen_37","6","1822","50425","2159.84345066931","2191","0.624642806243455","0.617964332210864","0.631321280276047"
"PI_mort_37","7","2295","50425","2438.54754586019","2556","0.608043638532384","0.602161572904164","0.613925704160603"
"PI_mort_20","7","2295","50425","2438.54754586019","2556","0.607352271502139","0.601460079064908","0.61324446393937"
"PI_hosp_37","7","2295","50425","2438.54754586019","2556","0.632937205381413","0.627077702339167","0.638796708423658"
"PI_hosp_20","7","2295","50425","2438.54754586019","2556","0.632470173989838","0.626615121914379","0.638325226065298"
"num_mm_37","7","2295","50425","2438.54754586019","2556","0.608660973287915","0.602862277681818","0.614459668894012"
"num_mm_20","7","2295","50425","2438.54754586019","2556","0.609818403697714","0.6040360528062","0.615600754589228"
"PI_cons_NB_37","7","2295","50425","2438.54754586019","2556","0.613389845049261","0.607484527809146","0.619295162289375"
"PI_cons_NB_20","7","2295","50425","2438.54754586019","2556","0.614126956382112","0.60823079239129","0.620023120372935"
"PI_gen_37","7","2295","50425","2438.54754586019","2556","0.62151707210772","0.615518787585388","0.627515356630052"
"PI_mort_37","8","2759","50425","2544.57883986118","2576","0.608668199938816","0.6032038113012","0.614132588576431"
"PI_mort_20","8","2759","50425","2544.57883986118","2576","0.60801855026995","0.602545291912955","0.613491808626944"
"PI_hosp_37","8","2759","50425","2544.57883986118","2576","0.633045351939968","0.627602749625625","0.638487954254311"
"PI_hosp_20","8","2759","50425","2544.57883986118","2576","0.632532048396008","0.627093368177968","0.637970728614047"
"num_mm_37","8","2759","50425","2544.57883986118","2576","0.608178080188127","0.602779968531529","0.613576191844726"
"num_mm_20","8","2759","50425","2544.57883986118","2576","0.609473153786395","0.604096474852702","0.614849832720089"
"PI_cons_NB_37","8","2759","50425","2544.57883986118","2576","0.613833580442802","0.608339949291597","0.619327211594007"
"PI_cons_NB_20","8","2759","50425","2544.57883986118","2576","0.614724138528125","0.609240265393951","0.620208011662299"
"PI_gen_37","8","2759","50425","2544.57883986118","2576","0.621476383241754","0.615900874411218","0.62705189207229"
"PI_mort_37","9","3317","50425","2550.85747149232","2576","0.610710985344129","0.605614658494119","0.615807312194138"
"PI_mort_20","9","3317","50425","2550.85747149232","2576","0.610143009217286","0.60503890814973","0.615247110284841"
"PI_hosp_37","9","3317","50425","2550.85747149232","2576","0.634960658614352","0.629885019145538","0.640036298083166"
"PI_hosp_20","9","3317","50425","2550.85747149232","2576","0.634570034319057","0.629498970360584","0.639641098277531"
"num_mm_37","9","3317","50425","2550.85747149232","2576","0.608563004595053","0.60351846789909","0.613607541291015"
"num_mm_20","9","3317","50425","2550.85747149232","2576","0.609961113725817","0.604938337556724","0.614983889894911"
"PI_cons_NB_37","9","3317","50425","2550.85747149232","2576","0.616356234924945","0.611222769901521","0.62148969994837"
"PI_cons_NB_20","9","3317","50425","2550.85747149232","2576","0.617355034996171","0.612232856751783","0.622477213240559"
"PI_gen_37","9","3317","50425","2550.85747149232","2576","0.621973242248818","0.616765211091204","0.627181273406432"
"PI_mort_37","10","3895","50425","2550.86133862172","2576","0.60954150942841","0.604761969191087","0.614321049665733"
"PI_mort_20","10","3895","50425","2550.86133862172","2576","0.609016873425643","0.604230915403317","0.61380283144797"
"PI_hosp_37","10","3895","50425","2550.86133862172","2576","0.633532282201103","0.628770197875979","0.638294366526228"
"PI_hosp_20","10","3895","50425","2550.86133862172","2576","0.63340847871502","0.628649812878983","0.638167144551058"
"num_mm_37","10","3895","50425","2550.86133862172","2576","0.606573354260726","0.601828205960313","0.611318502561139"
"num_mm_20","10","3895","50425","2550.86133862172","2576","0.608681256767782","0.603960566559154","0.61340194697641"
"PI_cons_NB_37","10","3895","50425","2550.86133862172","2576","0.61523456974016","0.610414823401273","0.620054316079047"
