"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","83","24148","366.296670531721","365","0.632317285590119","0.603798342485783","0.660836228694454"
"PI_mort_20","1","83","24148","366.296670531721","365","0.628090889507432","0.599418479263893","0.656763299750971"
"PI_hosp_37","1","83","24148","366.296670531721","365","0.680048171718833","0.65186659900182","0.708229744435846"
"PI_hosp_20","1","83","24148","366.296670531721","365","0.671836288128655","0.643794585767168","0.699877990490142"
"num_mm_37","1","83","24148","366.296670531721","365","0.668732715934303","0.638456224538391","0.699009207330215"
"num_mm_20","1","83","24148","366.296670531721","365","0.670817924597615","0.641217754536879","0.700418094658351"
"PI_cons_NB_37","1","83","24148","366.296670531721","365","0.689855199951618","0.662071068092966","0.717639331810271"
"PI_cons_NB_20","1","83","24148","366.296670531721","365","0.685533090192272","0.658181018015939","0.712885162368605"
"PI_gen_37","1","83","24148","366.296670531721","365","0.68574675910492","0.655078055193374","0.716415463016465"
"PI_mort_37","2","260","24148","728.64792115289","730","0.616550838141995","0.599694618947656","0.633407057336334"
"PI_mort_20","2","260","24148","728.64792115289","730","0.615501238892248","0.598577754185298","0.632424723599199"
"PI_hosp_37","2","260","24148","728.64792115289","730","0.66433378793547","0.647738946644913","0.680928629226027"
"PI_hosp_20","2","260","24148","728.64792115289","730","0.659960190817592","0.643397234924028","0.676523146711156"
"num_mm_37","2","260","24148","728.64792115289","730","0.656080725296463","0.639386276132107","0.672775174460819"
"num_mm_20","2","260","24148","728.64792115289","730","0.654548204695235","0.638099684202687","0.670996725187784"
"PI_cons_NB_37","2","260","24148","728.64792115289","730","0.672222677749649","0.655791251129826","0.688654104369471"
"PI_cons_NB_20","2","260","24148","728.64792115289","730","0.666123583665584","0.649715534539941","0.682531632791227"
"PI_gen_37","2","260","24148","728.64792115289","730","0.673478145146412","0.656157120017518","0.690799170275307"
"PI_mort_37","3","451","24148","1088.52422560875","1096","0.614188741632845","0.601114738369643","0.627262744896046"
"PI_mort_20","3","451","24148","1088.52422560875","1096","0.613087272024155","0.599972110503123","0.626202433545187"
"PI_hosp_37","3","451","24148","1088.52422560875","1096","0.656729077407276","0.644133839124771","0.669324315689781"
"PI_hosp_20","3","451","24148","1088.52422560875","1096","0.653424066077424","0.640850400208197","0.665997731946651"
"num_mm_37","3","451","24148","1088.52422560875","1096","0.651568771542986","0.639160158092958","0.663977384993014"
"num_mm_20","3","451","24148","1088.52422560875","1096","0.649531150094445","0.63714523741771","0.66191706277118"
"PI_cons_NB_37","3","451","24148","1088.52422560875","1096","0.667565386027882","0.655172791383535","0.679957980672229"
"PI_cons_NB_20","3","451","24148","1088.52422560875","1096","0.662568034263741","0.650162230798259","0.674973837729224"
"PI_gen_37","3","451","24148","1088.52422560875","1096","0.666903929566752","0.654035524534738","0.679772334598765"
"PI_mort_37","4","665","24148","1444.25633592844","1461","0.611008943980841","0.600215411502123","0.621802476459558"
"PI_mort_20","4","665","24148","1444.25633592844","1461","0.61038659587457","0.599576106228187","0.621197085520952"
"PI_hosp_37","4","665","24148","1444.25633592844","1461","0.647825671303716","0.637324909742819","0.658326432864612"
"PI_hosp_20","4","665","24148","1444.25633592844","1461","0.645355095816098","0.634844449054223","0.655865742577974"
"num_mm_37","4","665","24148","1444.25633592844","1461","0.629357447049264","0.618901087473875","0.639813806624654"
"num_mm_20","4","665","24148","1444.25633592844","1461","0.627129944718616","0.616657274164745","0.637602615272487"
"PI_cons_NB_37","4","665","24148","1444.25633592844","1461","0.654776193366385","0.644436602590034","0.665115784142737"
"PI_cons_NB_20","4","665","24148","1444.25633592844","1461","0.650447287443748","0.640054025793408","0.660840549094088"
"PI_gen_37","4","665","24148","1444.25633592844","1461","0.646045576390578","0.635181917101802","0.656909235679354"
"PI_mort_37","5","896","24148","1798.26428689747","1826","0.610019246797844","0.600701480528685","0.619337013067003"
"PI_mort_20","5","896","24148","1798.26428689747","1826","0.609324194762072","0.599985543973162","0.618662845550982"
"PI_hosp_37","5","896","24148","1798.26428689747","1826","0.643628098629431","0.634448388583627","0.652807808675235"
"PI_hosp_20","5","896","24148","1798.26428689747","1826","0.641346085286655","0.632155199860095","0.650536970713214"
"num_mm_37","5","896","24148","1798.26428689747","1826","0.619835382139925","0.610659447034206","0.629011317245643"
