"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","24","26277","367.065798987708","365","0.561451547909521","0.509600738183991","0.613302357635051"
"PI_mort_20","1","24","26277","367.065798987708","365","0.569172057988305","0.515522345836583","0.622821770140026"
"PI_hosp_37","1","24","26277","367.065798987708","365","0.600202432361256","0.548236486288103","0.652168378434409"
"PI_hosp_20","1","24","26277","367.065798987708","365","0.597235751204917","0.544796488223474","0.64967501418636"
"num_mm_37","1","24","26277","367.065798987708","365","0.647100584769345","0.597910780906074","0.696290388632615"
"num_mm_20","1","24","26277","367.065798987708","365","0.627223821021871","0.578817445954514","0.675630196089228"
"PI_cons_NB_37","1","24","26277","367.065798987708","365","0.610810300570809","0.558617447550554","0.663003153591063"
"PI_cons_NB_20","1","24","26277","367.065798987708","365","0.593268013465877","0.541685164316275","0.644850862615479"
"PI_gen_37","1","24","26277","367.065798987708","365","0.62370505160756","0.573639927282059","0.673770175933062"
"PI_mort_37","2","109","26277","731.013167408761","730","0.587580105888824","0.561743430497611","0.613416781280036"
"PI_mort_20","2","109","26277","731.013167408761","730","0.589995703427321","0.563963450175788","0.616027956678854"
"PI_hosp_37","2","109","26277","731.013167408761","730","0.62496221255299","0.598997478877965","0.650926946228015"
"PI_hosp_20","2","109","26277","731.013167408761","730","0.622816200458208","0.596852312090724","0.648780088825692"
"num_mm_37","2","109","26277","731.013167408761","730","0.647875400791857","0.622651110393515","0.673099691190199"
"num_mm_20","2","109","26277","731.013167408761","730","0.632559238820864","0.606552279078044","0.658566198563683"
"PI_cons_NB_37","2","109","26277","731.013167408761","730","0.633744819970806","0.608187681198325","0.659301958743286"
"PI_cons_NB_20","2","109","26277","731.013167408761","730","0.626185931033711","0.60059488370513","0.651776978362291"
"PI_gen_37","2","109","26277","731.013167408761","730","0.642559616695334","0.615879006246853","0.669240227143814"
"PI_mort_37","3","207","26277","1093.95315294744","1096","0.557279915800308","0.537681162058774","0.576878669541841"
"PI_mort_20","3","207","26277","1093.95315294744","1096","0.558093652960898","0.538392636664484","0.577794669257311"
"PI_hosp_37","3","207","26277","1093.95315294744","1096","0.600483387745526","0.580771310980052","0.620195464511"
"PI_hosp_20","3","207","26277","1093.95315294744","1096","0.600543100566543","0.580862729648166","0.620223471484919"
"num_mm_37","3","207","26277","1093.95315294744","1096","0.633414593222789","0.614488811530908","0.65234037491467"
"num_mm_20","3","207","26277","1093.95315294744","1096","0.625982146697143","0.606683639150583","0.645280654243703"
"PI_cons_NB_37","3","207","26277","1093.95315294744","1096","0.616294179873475","0.596578683841867","0.636009675905084"
"PI_cons_NB_20","3","207","26277","1093.95315294744","1096","0.610072786883188","0.590341205218817","0.62980436854756"
"PI_gen_37","3","207","26277","1093.95315294744","1096","0.64132077376741","0.621698204849026","0.660943342685794"
"PI_mort_37","4","342","26277","1453.93789245348","1461","0.563935652610837","0.548214495503537","0.579656809718136"
"PI_mort_20","4","342","26277","1453.93789245348","1461","0.56425027937266","0.548511371557665","0.579989187187654"
"PI_hosp_37","4","342","26277","1453.93789245348","1461","0.599708681828115","0.58385111720769","0.615566246448539"
"PI_hosp_20","4","342","26277","1453.93789245348","1461","0.600380441886511","0.58456343536286","0.616197448410161"
"num_mm_37","4","342","26277","1453.93789245348","1461","0.619495669765779","0.604663768406836","0.634327571124722"
"num_mm_20","4","342","26277","1453.93789245348","1461","0.619884164932523","0.604834826501615","0.634933503363431"
"PI_cons_NB_37","4","342","26277","1453.93789245348","1461","0.611964060640864","0.596202009785061","0.627726111496667"
"PI_cons_NB_20","4","342","26277","1453.93789245348","1461","0.609660755290159","0.593837524813952","0.625483985766366"
"PI_gen_37","4","342","26277","1453.93789245348","1461","0.627865872897733","0.612387971838216","0.643343773957249"
"PI_mort_37","5","478","26277","1814.28294706397","1826","0.566173354030694","0.553038760293527","0.579307947767862"
"PI_mort_20","5","478","26277","1814.28294706397","1826","0.566037882148623","0.55287412914238","0.579201635154865"
"PI_hosp_37","5","478","26277","1814.28294706397","1826","0.59786497599472","0.584660254296911","0.611069697692529"
"PI_hosp_20","5","478","26277","1814.28294706397","1826","0.598074330673687","0.58488620517211","0.611262456175263"
"num_mm_37","5","478","26277","1814.28294706397","1826","0.610253501960204","0.597722544832102","0.622784459088306"
"num_mm_20","5","478","26277","1814.28294706397","1826","0.609508969066209","0.596865946142399","0.622151991990019"
"PI_cons_NB_37","5","478","26277","1814.28294706397","1826","0.608136653364014","0.595019538799626","0.621253767928401"
