"model","years","cases","cohort","mean_fu","median_fu","c_index","L_CI","U_CI"
"PI_mort_37","1","45","60036","368.02276967153","365","0.593848232049907","0.555820097982524","0.631876366117289"
"PI_mort_20","1","45","60036","368.02276967153","365","0.595302561656725","0.556889982172604","0.633715141140846"
"PI_hosp_37","1","45","60036","368.02276967153","365","0.616203249922146","0.578098579444781","0.65430792039951"
"PI_hosp_20","1","45","60036","368.02276967153","365","0.615334540244846","0.577408515164855","0.653260565324837"
"num_mm_37","1","45","60036","368.02276967153","365","0.651291011446898","0.612569833585089","0.690012189308706"
"num_mm_20","1","45","60036","368.02276967153","365","0.651509484895153","0.613846534108002","0.689172435682304"
"PI_cons_NB_37","1","45","60036","368.02276967153","365","0.630825788902067","0.592659849636993","0.668991728167141"
"PI_cons_NB_20","1","45","60036","368.02276967153","365","0.624270844866448","0.586760375979157","0.661781313753739"
"PI_gen_37","1","45","60036","368.02276967153","365","0.658631719308276","0.618815132779654","0.698448305836898"
"PI_mort_37","2","176","60036","732.055716570058","730","0.658015134336716","0.638982050146233","0.677048218527199"
"PI_mort_20","2","176","60036","732.055716570058","730","0.658475298699275","0.63937870227113","0.67757189512742"
"PI_hosp_37","2","176","60036","732.055716570058","730","0.676119024000391","0.65700472049908","0.695233327501702"
"PI_hosp_20","2","176","60036","732.055716570058","730","0.67586557817022","0.656808349659568","0.694922806680871"
"num_mm_37","2","176","60036","732.055716570058","730","0.655185621110047","0.635128945461483","0.675242296758611"
"num_mm_20","2","176","60036","732.055716570058","730","0.646206160458697","0.626079199808148","0.666333121109247"
"PI_cons_NB_37","2","176","60036","732.055716570058","730","0.683208777756062","0.664086231883977","0.702331323628147"
"PI_cons_NB_20","2","176","60036","732.055716570058","730","0.680008005248622","0.660922795987387","0.699093214509858"
"PI_gen_37","2","176","60036","732.055716570058","730","0.660414528948082","0.639421393351698","0.681407664544467"
"PI_mort_37","3","340","60036","1095.50204877074","1096","0.650865725829511","0.637612339928598","0.664119111730425"
"PI_mort_20","3","340","60036","1095.50204877074","1096","0.650842757131989","0.637559537529943","0.664125976734035"
"PI_hosp_37","3","340","60036","1095.50204877074","1096","0.670648972073405","0.657267897250169","0.68403004689664"
"PI_hosp_20","3","340","60036","1095.50204877074","1096","0.670832647957226","0.657463525963861","0.68420176995059"
"num_mm_37","3","340","60036","1095.50204877074","1096","0.644969304976548","0.630229720098923","0.659708889854173"
"num_mm_20","3","340","60036","1095.50204877074","1096","0.641280949767188","0.626532226145095","0.656029673389282"
"PI_cons_NB_37","3","340","60036","1095.50204877074","1096","0.678636698977114","0.665085041491065","0.692188356463163"
"PI_cons_NB_20","3","340","60036","1095.50204877074","1096","0.675726773807411","0.662221536357561","0.689232011257261"
