"model","years","cohort","mean_rate","median_rate","c_index","L_CI","U_CI"
"PI_mort_37","1","111166","8.39537268589317","6","0.599044928341523","0.598066965284876","0.60002289139817"
"PI_mort_20","1","111166","8.39537268589317","6","0.599427207648813","0.598449418240089","0.600404997057536"
"PI_hosp_37","1","111166","8.39537268589317","6","0.616849716190274","0.615885056230607","0.617814376149941"
"PI_hosp_20","1","111166","8.39537268589317","6","0.616759336693655","0.615794542701303","0.617724130686008"
"num_mm_37","1","111166","8.39537268589317","6","0.655078136265752","0.654259942089899","0.655896330441606"
"num_mm_20","1","111166","8.39537268589317","6","0.645609311016095","0.644798781844436","0.646419840187753"
"PI_cons_NB_37","1","111166","8.39537268589317","6","0.634178712613833","0.633229168752494","0.635128256475172"
"PI_cons_NB_20","1","111166","8.39537268589317","6","0.629289680511736","0.628334610550914","0.630244750472557"
"PI_gen_37","1","111166","8.39537268589317","6","0.654494786750871","0.653656271013479","0.655333302488262"
"PI_mort_37","2","110083","8.38107155509933","6.5","0.610710282598807","0.609764937670773","0.611655627526842"
"PI_mort_20","2","110083","8.38107155509933","6.5","0.611110933664613","0.610165818546423","0.612056048782804"
"PI_hosp_37","2","110083","8.38107155509933","6.5","0.6293272493794","0.628397238720554","0.630257260038246"
"PI_hosp_20","2","110083","8.38107155509933","6.5","0.629191463900533","0.628261317636375","0.630121610164691"
"num_mm_37","2","110083","8.38107155509933","6.5","0.663686357346488","0.662905705651625","0.664467009041351"
"num_mm_20","2","110083","8.38107155509933","6.5","0.653372748974972","0.65259580231368","0.654149695636263"
"PI_cons_NB_37","2","110083","8.38107155509933","6.5","0.647475836185283","0.6465631045897","0.648388567780866"
"PI_cons_NB_20","2","110083","8.38107155509933","6.5","0.642338906762394","0.641419788913477","0.643258024611312"
"PI_gen_37","2","110083","8.38107155509933","6.5","0.662814622019083","0.662010459481088","0.663618784557078"
"PI_mort_37","3","108737","8.43771669257015","7","0.617232496986908","0.616296944838539","0.618168049135276"
"PI_mort_20","3","108737","8.43771669257015","7","0.617646532095359","0.616711261292157","0.618581802898562"
"PI_hosp_37","3","108737","8.43771669257015","7","0.635953544644351","0.635034352668676","0.636872736620026"
"PI_hosp_20","3","108737","8.43771669257015","7","0.63582882758511","0.634909629993889","0.636748025176332"
"num_mm_37","3","108737","8.43771669257015","7","0.666157624324704","0.665385254399405","0.666929994250003"
"num_mm_20","3","108737","8.43771669257015","7","0.655307578470673","0.654538142655314","0.656077014286031"
"PI_cons_NB_37","3","108737","8.43771669257015","7","0.654135008663457","0.653234108049332","0.655035909277582"
"PI_cons_NB_20","3","108737","8.43771669257015","7","0.648952871624557","0.648045246447913","0.649860496801202"
"PI_gen_37","3","108737","8.43771669257015","7","0.665126791919732","0.664330919301936","0.665922664537529"
"PI_mort_37","4","107365","8.59449075583291","7","0.62113506123078","0.62019924012423","0.622070882337329"
"PI_mort_20","4","107365","8.59449075583291","7","0.621551319292855","0.620615755558811","0.622486883026898"
"PI_hosp_37","4","107365","8.59449075583291","7","0.639919051608954","0.638999874733156","0.640838228484752"
"PI_hosp_20","4","107365","8.59449075583291","7","0.639796456887395","0.638877241286434","0.640715672488356"
"num_mm_37","4","107365","8.59449075583291","7","0.66723346751506","0.666462157743715","0.668004777286405"
