"model","years","cohort","mean_rate","median_rate","c_index","L_CI","U_CI"
"PI_mort_37","1","36381","7.61570600038482","6","0.539650792355459","0.53787426205838","0.541427322652538"
"PI_mort_20","1","36381","7.61570600038482","6","0.540814763035023","0.539037861465633","0.542591664604413"
"PI_hosp_37","1","36381","7.61570600038482","6","0.580242594831522","0.578491953110202","0.581993236552842"
"PI_hosp_20","1","36381","7.61570600038482","6","0.579747133344861","0.57799564927349","0.581498617416232"
"num_mm_37","1","36381","7.61570600038482","6","0.642737278706508","0.641286235040488","0.644188322372527"
"num_mm_20","1","36381","7.61570600038482","6","0.632580701149899","0.631145618019733","0.634015784280066"
"PI_cons_NB_37","1","36381","7.61570600038482","6","0.615182482002851","0.61347079727635","0.616894166729351"
"PI_cons_NB_20","1","36381","7.61570600038482","6","0.606147981917303","0.604421725221963","0.607874238612643"
"PI_gen_37","1","36381","7.61570600038482","6","0.643013001941704","0.641533145764137","0.644492858119272"
"PI_mort_37","2","36054","7.56389027569757","6","0.547184344967464","0.545449462830903","0.548919227104026"
"PI_mort_20","2","36054","7.56389027569757","6","0.548420428000596","0.54668599796927","0.550154858031922"
"PI_hosp_37","2","36054","7.56389027569757","6","0.589813254685283","0.588108201377694","0.591518307992872"
"PI_hosp_20","2","36054","7.56389027569757","6","0.589090773816424","0.587384845988183","0.590796701644664"
"num_mm_37","2","36054","7.56389027569757","6","0.650869301774908","0.649483819226815","0.652254784323001"
"num_mm_20","2","36054","7.56389027569757","6","0.640026925230372","0.638650712037537","0.641403138423206"
"PI_cons_NB_37","2","36054","7.56389027569757","6","0.626285195981875","0.624627828900184","0.627942563063566"
"PI_cons_NB_20","2","36054","7.56389027569757","6","0.616803600601283","0.615128171590608","0.618479029611958"
"PI_gen_37","2","36054","7.56389027569757","6","0.651008987516677","0.649587274815844","0.65243070021751"
"PI_mort_37","3","35642","7.62170098946935","6","0.552604866344574","0.550877020330896","0.554332712358252"
"PI_mort_20","3","35642","7.62170098946935","6","0.553872835221429","0.552145783178329","0.555599887264529"
"PI_hosp_37","3","35642","7.62170098946935","6","0.595638940997499","0.593943874390635","0.597334007604363"
"PI_hosp_20","3","35642","7.62170098946935","6","0.594932111485021","0.593236270265791","0.596627952704251"
"num_mm_37","3","35642","7.62170098946935","6","0.653781327249387","0.652409611485025","0.65515304301375"
"num_mm_20","3","35642","7.62170098946935","6","0.642411885543365","0.641048800125385","0.643774970961345"
"PI_cons_NB_37","3","35642","7.62170098946935","6","0.632067377941052","0.630423250455835","0.63371150542627"
"PI_cons_NB_20","3","35642","7.62170098946935","6","0.622567080210094","0.620903697935379","0.624230462484809"
"PI_gen_37","3","35642","7.62170098946935","6","0.653809933400983","0.652400679776472","0.655219187025495"
"PI_mort_37","4","35205","7.76932964067604","6.25","0.554776223002906","0.553043308860198","0.556509137145614"
"PI_mort_20","4","35205","7.76932964067604","6.25","0.556054321549881","0.554322234177204","0.557786408922558"
"PI_hosp_37","4","35205","7.76932964067604","6.25","0.59793566058935","0.596238308715284","0.599633012463416"
"PI_hosp_20","4","35205","7.76932964067604","6.25","0.597281874798522","0.595584049336476","0.598979700260569"
"num_mm_37","4","35205","7.76932964067604","6.25","0.654473110597589","0.653104996707358","0.65584122448782"
"num_mm_20","4","35205","7.76932964067604","6.25","0.64318423905772","0.641824422522122","0.644544055593319"
"PI_cons_NB_37","4","35205","7.76932964067604","6.25","0.634163820271266","0.632518517314502","0.63580912322803"
"PI_cons_NB_20","4","35205","7.76932964067604","6.25","0.624760196224704","0.623094462538263","0.626425929911145"
"PI_gen_37","4","35205","7.76932964067604","6.25","0.654563011929935","0.653157344851081","0.655968679008789"
"PI_mort_37","5","34694","7.87527526373436","6.4","0.557175625784184","0.555435621895715","0.558915629672653"
"PI_mort_20","5","34694","7.87527526373436","6.4","0.55848301344849","0.556744311302281","0.560221715594699"
"PI_hosp_37","5","34694","7.87527526373436","6.4","0.600277321516153","0.598574301630345","0.601980341401961"
"PI_hosp_20","5","34694","7.87527526373436","6.4","0.599689042515534","0.597985931061457","0.60139215396961"
"num_mm_37","5","34694","7.87527526373436","6.4","0.654975245618892","0.653602540180262","0.656347951057521"
"num_mm_20","5","34694","7.87527526373436","6.4","0.643919933118944","0.642555364515674","0.645284501722214"
"PI_cons_NB_37","5","34694","7.87527526373436","6.4","0.636278416993341","0.634627386450252","0.637929447536431"
"PI_cons_NB_20","5","34694","7.87527526373436","6.4","0.626990114927385","0.625318915943623","0.628661313911147"
"PI_gen_37","5","34694","7.87527526373436","6.4","0.654998906544608","0.653587539907066","0.656410273182151"
"PI_mort_37","6","33795","7.97684568723184","6.5","0.55929591853176","0.557537902333636","0.561053934729884"
"PI_mort_20","6","33795","7.97684568723184","6.5","0.560617711967906","0.558861264069399","0.562374159866413"
"PI_hosp_37","6","33795","7.97684568723184","6.5","0.602368244437717","0.600648540605528","0.604087948269906"
"PI_hosp_20","6","33795","7.97684568723184","6.5","0.60176165696674","0.60004213049614","0.603481183437339"
"num_mm_37","6","33795","7.97684568723184","6.5","0.655691186705126","0.654305157587665","0.657077215822587"
"num_mm_20","6","33795","7.97684568723184","6.5","0.644532204002431","0.643153066073659","0.645911341931204"
"PI_cons_NB_37","6","33795","7.97684568723184","6.5","0.637952687219066","0.636284197597778","0.639621176840354"
"PI_cons_NB_20","6","33795","7.97684568723184","6.5","0.628652867599295","0.62696436651967","0.63034136867892"
"PI_gen_37","6","33795","7.97684568723184","6.5","0.655774693872049","0.654348337506284","0.657201050237814"
"PI_mort_37","7","19464","8.10367858610769","6.71428571428571","0.564055863752159","0.561746836075181","0.566364891429138"
"PI_mort_20","7","19464","8.10367858610769","6.71428571428571","0.565381667357049","0.563075185339365","0.567688149374734"
"PI_hosp_37","7","19464","8.10367858610769","6.71428571428571","0.606509434399989","0.604258211488779","0.608760657311198"
"PI_hosp_20","7","19464","8.10367858610769","6.71428571428571","0.605994364836692","0.603742408406806","0.608246321266578"
"num_mm_37","7","19464","8.10367858610769","6.71428571428571","0.653831841184627","0.652001227044845","0.655662455324408"
"num_mm_20","7","19464","8.10367858610769","6.71428571428571","0.643048976834029","0.641225494487333","0.644872459180726"
"PI_cons_NB_37","7","19464","8.10367858610769","6.71428571428571","0.639457881524827","0.637265312647768","0.641650450401887"
"PI_cons_NB_20","7","19464","8.10367858610769","6.71428571428571","0.630806101626108","0.628587311768066","0.633024891484149"
"PI_gen_37","7","19464","8.10367858610769","6.71428571428571","0.653633536896155","0.651753540312746","0.655513533479563"
"PI_mort_37","8","3443","8.28242085390648","6.875","0.570277630013275","0.56480408536774","0.575751174658811"
"PI_mort_20","8","3443","8.28242085390648","6.875","0.571331913658912","0.565861921220263","0.576801906097561"
"PI_hosp_37","8","3443","8.28242085390648","6.875","0.610656957573916","0.605323942582483","0.61598997256535"
"PI_hosp_20","8","3443","8.28242085390648","6.875","0.610718598643079","0.6053886883046","0.616048508981558"
"num_mm_37","8","3443","8.28242085390648","6.875","0.649984215118477","0.645591164271915","0.654377265965039"
"num_mm_20","8","3443","8.28242085390648","6.875","0.641748832054991","0.637398409104309","0.646099255005672"
"PI_cons_NB_37","8","3443","8.28242085390648","6.875","0.639037476407817","0.633823739746007","0.644251213069627"
"PI_cons_NB_20","8","3443","8.28242085390648","6.875","0.631588357534548","0.626317801095785","0.636858913973311"
"PI_gen_37","8","3443","8.28242085390648","6.875","0.650038789600981","0.645496712067133","0.65458086713483"
