"model","years","cohort","mean_rate","median_rate","c_index","L_CI","U_CI"
"PI_mort_37","1","16113","6.93713150871967","5","0.558433493126776","0.555769597759657","0.561097388493894"
"PI_mort_20","1","16113","6.93713150871967","5","0.559088686983061","0.556425592369312","0.561751781596811"
"PI_hosp_37","1","16113","6.93713150871967","5","0.596520440728844","0.5939052925546","0.599135588903087"
"PI_hosp_20","1","16113","6.93713150871967","5","0.59556675123096","0.592948414416031","0.598185088045888"
"num_mm_37","1","16113","6.93713150871967","5","0.644705870395616","0.642549399139583","0.646862341651648"
"num_mm_20","1","16113","6.93713150871967","5","0.63848579727905","0.636359466479668","0.640612128078432"
"PI_cons_NB_37","1","16113","6.93713150871967","5","0.620857706853378","0.618290455637797","0.623424958068959"
"PI_cons_NB_20","1","16113","6.93713150871967","5","0.613051878214701","0.610463227905458","0.615640528523944"
"PI_gen_37","1","16113","6.93713150871967","5","0.645397049115954","0.64320137138278","0.647592726849129"
"PI_mort_37","2","15954","6.90337846308136","5","0.568074394474264","0.565488319207691","0.570660469740838"
"PI_mort_20","2","15954","6.90337846308136","5","0.568645826759355","0.56606081561295","0.571230837905761"
"PI_hosp_37","2","15954","6.90337846308136","5","0.607359526292445","0.604825861014723","0.609893191570167"
"PI_hosp_20","2","15954","6.90337846308136","5","0.606159761694501","0.603623243142662","0.60869628024634"
"num_mm_37","2","15954","6.90337846308136","5","0.651227597256081","0.64916675574723","0.653288438764931"
"num_mm_20","2","15954","6.90337846308136","5","0.644667736983125","0.642629686246856","0.646705787719395"
"PI_cons_NB_37","2","15954","6.90337846308136","5","0.632248471192518","0.629770165930509","0.634726776454526"
"PI_cons_NB_20","2","15954","6.90337846308136","5","0.62415686103349","0.621654292737155","0.626659429329825"
"PI_gen_37","2","15954","6.90337846308136","5","0.65192533938766","0.649807226078357","0.654043452696964"
"PI_mort_37","3","15750","7.0047619047619","5.33333333333333","0.573600426277652","0.571024581612704","0.576176270942599"
"PI_mort_20","3","15750","7.0047619047619","5.33333333333333","0.574244555878307","0.571670442689813","0.576818669066801"
"PI_hosp_37","3","15750","7.0047619047619","5.33333333333333","0.612970057181081","0.610448114980397","0.615491999381765"
"PI_hosp_20","3","15750","7.0047619047619","5.33333333333333","0.611811190135028","0.609286775206542","0.614335605063515"
"num_mm_37","3","15750","7.0047619047619","5.33333333333333","0.652424173502037","0.650373064211116","0.654475282792957"
"num_mm_20","3","15750","7.0047619047619","5.33333333333333","0.64541953957738","0.643391866973527","0.647447212181233"
"PI_cons_NB_37","3","15750","7.0047619047619","5.33333333333333","0.637815604375314","0.635351886427792","0.640279322322835"
"PI_cons_NB_20","3","15750","7.0047619047619","5.33333333333333","0.629744062960724","0.627254986823706","0.632233139097742"
"PI_gen_37","3","15750","7.0047619047619","5.33333333333333","0.653144332137017","0.651031937656084","0.655256726617951"
"PI_mort_37","4","15547","7.18821959220428","5.75","0.575358119784883","0.572777359664486","0.57793887990528"
"PI_mort_20","4","15547","7.18821959220428","5.75","0.576059269024562","0.573480430104784","0.578638107944341"
"PI_hosp_37","4","15547","7.18821959220428","5.75","0.61483214304243","0.612309371653102","0.617354914431759"
"PI_hosp_20","4","15547","7.18821959220428","5.75","0.613830648683208","0.611305105789083","0.616356191577334"
"num_mm_37","4","15547","7.18821959220428","5.75","0.652853899449705","0.650806517261052","0.654901281638358"
"num_mm_20","4","15547","7.18821959220428","5.75","0.645903094363811","0.643881919325748","0.647924269401874"
"PI_cons_NB_37","4","15547","7.18821959220428","5.75","0.64002890466408","0.637566111632289","0.642491697695871"
"PI_cons_NB_20","4","15547","7.18821959220428","5.75","0.631991093769649","0.629500927475652","0.634481260063646"
