"model","years","cohort","mean_rate","median_rate","c_index","L_CI","U_CI"
"PI_mort_37","1","20268","8.15517071245313","6","0.530162923513133","0.52778473502532","0.532541112000947"
"PI_mort_20","1","20268","8.15517071245313","6","0.53119850160387","0.528817981546276","0.533579021661464"
"PI_hosp_37","1","20268","8.15517071245313","6","0.569127391443963","0.566773225282118","0.571481557605807"
"PI_hosp_20","1","20268","8.15517071245313","6","0.569365715565149","0.567011879006286","0.571719552124012"
"num_mm_37","1","20268","8.15517071245313","6","0.640620889837596","0.63864827364282","0.642593506032372"
"num_mm_20","1","20268","8.15517071245313","6","0.628762842757669","0.626812944649661","0.630712740865676"
"PI_cons_NB_37","1","20268","8.15517071245313","6","0.598227833340248","0.595918683623171","0.600536983057325"
"PI_cons_NB_20","1","20268","8.15517071245313","6","0.589030333200726","0.58670075464892","0.591359911752531"
"PI_gen_37","1","20268","8.15517071245313","6","0.640510567064779","0.638493579326624","0.642527554802934"
"PI_mort_37","2","20100","8.0881592039801","6.5","0.536317331392925","0.533991172092179","0.53864349069367"
"PI_mort_20","2","20100","8.0881592039801","6.5","0.537514968677648","0.535188394116362","0.539841543238935"
"PI_hosp_37","2","20100","8.0881592039801","6.5","0.577760462272468","0.575464695212591","0.580056229332345"
"PI_hosp_20","2","20100","8.0881592039801","6.5","0.577819903932201","0.575523823537256","0.580115984327147"
"num_mm_37","2","20100","8.0881592039801","6.5","0.65010221405492","0.648221980053633","0.651982448056207"
"num_mm_20","2","20100","8.0881592039801","6.5","0.637302142702445","0.635435191218644","0.639169094186247"
"PI_cons_NB_37","2","20100","8.0881592039801","6.5","0.608408473193219","0.606162781863586","0.610654164522852"
"PI_cons_NB_20","2","20100","8.0881592039801","6.5","0.598543526044202","0.596273390566051","0.600813661522354"
"PI_gen_37","2","20100","8.0881592039801","6.5","0.649752584885697","0.647824738450522","0.651680431320873"
"PI_mort_37","3","19892","8.11017829613245","6.66666666666667","0.541633685343435","0.539318526832812","0.543948843854057"
"PI_mort_20","3","19892","8.11017829613245","6.66666666666667","0.542849583847065","0.540534310670954","0.545164857023177"
"PI_hosp_37","3","19892","8.11017829613245","6.66666666666667","0.583845396611949","0.5815658365866","0.586124956637298"
"PI_hosp_20","3","19892","8.11017829613245","6.66666666666667","0.583888556473503","0.581608821747426","0.586168291199581"
