"model","years","cohort","mean_rate","median_rate","c_index","L_CI","U_CI"
"PI_mort_37","1","24071","6.23135723484691","4","0.52745797105054","0.525204516754419","0.529711425346662"
"PI_mort_20","1","24071","6.23135723484691","4","0.528758824709403","0.526507567734045","0.531010081684761"
"PI_hosp_37","1","24071","6.23135723484691","4","0.563913411216873","0.561673523542307","0.566153298891438"
"PI_hosp_20","1","24071","6.23135723484691","4","0.563442126069258","0.561199911958682","0.565684340179834"
"num_mm_37","1","24071","6.23135723484691","4","0.619371424362359","0.61763056930458","0.621112279420138"
"num_mm_20","1","24071","6.23135723484691","4","0.608100269968077","0.606394742950972","0.609805796985183"
"PI_cons_NB_37","1","24071","6.23135723484691","4","0.605019728917329","0.602845340974594","0.607194116860065"
"PI_cons_NB_20","1","24071","6.23135723484691","4","0.595707323589559","0.593515769143097","0.597898878036021"
"PI_gen_37","1","24071","6.23135723484691","4","0.620252415169622","0.618484372294497","0.622020458044748"
"PI_mort_37","2","23877","6.14892993257109","4.5","0.529640264775287","0.527442215208431","0.531838314342143"
"PI_mort_20","2","23877","6.14892993257109","4.5","0.531032112647922","0.52883620282448","0.533228022471364"
"PI_hosp_37","2","23877","6.14892993257109","4.5","0.567847800821112","0.565660974439437","0.570034627202788"
"PI_hosp_20","2","23877","6.14892993257109","4.5","0.567220013227119","0.565029927630605","0.569410098823633"
"num_mm_37","2","23877","6.14892993257109","4.5","0.625587336657202","0.623909465326346","0.627265207988058"
"num_mm_20","2","23877","6.14892993257109","4.5","0.61339337029449","0.61174113951263","0.615045601076349"
"PI_cons_NB_37","2","23877","6.14892993257109","4.5","0.612645256896995","0.610540333448741","0.61475018034525"
"PI_cons_NB_20","2","23877","6.14892993257109","4.5","0.602520951998231","0.600393371269511","0.604648532726952"
"PI_gen_37","2","23877","6.14892993257109","4.5","0.626415388767304","0.624708176946564","0.628122600588045"
"PI_mort_37","3","23622","6.15489797646262","4.66666666666667","0.533235912795003","0.531047868536909","0.535423957053098"
"PI_mort_20","3","23622","6.15489797646262","4.66666666666667","0.534707505120677","0.532521906379888","0.536893103861466"
"PI_hosp_37","3","23622","6.15489797646262","4.66666666666667","0.572032637417639","0.569859591165401","0.574205683669877"
"PI_hosp_20","3","23622","6.15489797646262","4.66666666666667","0.571274156436452","0.569097572593117","0.573450740279786"
"num_mm_37","3","23622","6.15489797646262","4.66666666666667","0.628223739784375","0.626564201490311","0.629883278078439"
"num_mm_20","3","23622","6.15489797646262","4.66666666666667","0.615188023019784","0.613550650236621","0.616825395802946"
"PI_cons_NB_37","3","23622","6.15489797646262","4.66666666666667","0.617758621749861","0.615676485159788","0.619840758339935"
"PI_cons_NB_20","3","23622","6.15489797646262","4.66666666666667","0.607323299689878","0.605216917526477","0.60942968185328"
