"model","years","cohort","mean_rate","median_rate","c_index","L_CI","U_CI"
"PI_mort_37","1","11056","5.14824529667149","3","0.536272604529625","0.532884930934708","0.539660278124543"
"PI_mort_20","1","11056","5.14824529667149","3","0.536755239234433","0.533368760157953","0.540141718310913"
"PI_hosp_37","1","11056","5.14824529667149","3","0.566833988195427","0.563445981371986","0.570221995018868"
"PI_hosp_20","1","11056","5.14824529667149","3","0.566332983529655","0.562939961153551","0.569726005905759"
"num_mm_37","1","11056","5.14824529667149","3","0.612674866044714","0.610095470450401","0.615254261639027"
"num_mm_20","1","11056","5.14824529667149","3","0.604145711178721","0.601624351412368","0.606667070945073"
"PI_cons_NB_37","1","11056","5.14824529667149","3","0.587478591566448","0.584095366586136","0.590861816546761"
"PI_cons_NB_20","1","11056","5.14824529667149","3","0.580572287678415","0.577178317471103","0.583966257885728"
"PI_gen_37","1","11056","5.14824529667149","3","0.613966571461642","0.611344859262522","0.616588283660763"
"PI_mort_37","2","10958","5.04745391494798","3.5","0.53958401850918","0.53631518950621","0.54285284751215"
"PI_mort_20","2","10958","5.04745391494798","3.5","0.540134794506191","0.536866596078115","0.543402992934267"
"PI_hosp_37","2","10958","5.04745391494798","3.5","0.570916620587926","0.567646881215591","0.57418635996026"
"PI_hosp_20","2","10958","5.04745391494798","3.5","0.570300926520703","0.56702484536398","0.573577007677426"
"num_mm_37","2","10958","5.04745391494798","3.5","0.616072932334102","0.613597427998272","0.618548436669931"
"num_mm_20","2","10958","5.04745391494798","3.5","0.607098925221572","0.604670959080048","0.609526891363096"
"PI_cons_NB_37","2","10958","5.04745391494798","3.5","0.591999286434705","0.588740251975064","0.595258320894346"
"PI_cons_NB_20","2","10958","5.04745391494798","3.5","0.584803175634925","0.581527216827446","0.588079134442404"
"PI_gen_37","2","10958","5.04745391494798","3.5","0.617399305671373","0.614879604953243","0.619919006389503"
"PI_mort_37","3","10825","5.04101616628176","3.66666666666667","0.543817116375893","0.540577653444357","0.547056579307429"
"PI_mort_20","3","10825","5.04101616628176","3.66666666666667","0.544346778411311","0.541107642736932","0.547585914085689"
"PI_hosp_37","3","10825","5.04101616628176","3.66666666666667","0.575264041142186","0.572030906944289","0.578497175340083"
"PI_hosp_20","3","10825","5.04101616628176","3.66666666666667","0.574448947817886","0.571209306187215","0.577688589448556"
"num_mm_37","3","10825","5.04101616628176","3.66666666666667","0.61793366375739","0.615495614000846","0.620371713513935"
"num_mm_20","3","10825","5.04101616628176","3.66666666666667","0.608044695646716","0.60564988447892","0.610439506814512"
"PI_cons_NB_37","3","10825","5.04101616628176","3.66666666666667","0.596413696983145","0.593191982554316","0.599635411411973"
"PI_cons_NB_20","3","10825","5.04101616628176","3.66666666666667","0.588990481219336","0.585750920113305","0.592230042325366"
"PI_gen_37","3","10825","5.04101616628176","3.66666666666667","0.619250131782638","0.616762472732676","0.6217377908326"
"PI_mort_37","4","10709","5.18605845550472","3.75","0.546586895887642","0.5433664614512","0.549807330324085"
"PI_mort_20","4","10709","5.18605845550472","3.75","0.547124325868118","0.543904381779733","0.550344269956503"
"PI_hosp_37","4","10709","5.18605845550472","3.75","0.577911765472057","0.574697192684496","0.581126338259618"
"PI_hosp_20","4","10709","5.18605845550472","3.75","0.57720156012925","0.573980235459391","0.580422884799109"
"num_mm_37","4","10709","5.18605845550472","3.75","0.617712872575314","0.615285120130403","0.620140625020225"
"num_mm_20","4","10709","5.18605845550472","3.75","0.608361315575813","0.605978176464784","0.610744454686841"
"PI_cons_NB_37","4","10709","5.18605845550472","3.75","0.598977915773982","0.595770932360295","0.602184899187669"
"PI_cons_NB_20","4","10709","5.18605845550472","3.75","0.591757770425982","0.588532372026533","0.594983168825431"
"PI_gen_37","4","10709","5.18605845550472","3.75","0.618978154639697","0.616501459473309","0.621454849806086"
"PI_mort_37","5","10558","5.26673612426596","3.8","0.548106873417697","0.544885147510074","0.55132859932532"
"PI_mort_20","5","10558","5.26673612426596","3.8","0.548619729917729","0.545398809997374","0.551840649838085"
"PI_hosp_37","5","10558","5.26673612426596","3.8","0.579482770419964","0.576267645390947","0.582697895448981"
"PI_hosp_20","5","10558","5.26673612426596","3.8","0.578685597810435","0.575464874427534","0.581906321193337"
"num_mm_37","5","10558","5.26673612426596","3.8","0.618002133702738","0.615564457736698","0.620439809668778"
"num_mm_20","5","10558","5.26673612426596","3.8","0.608317169390227","0.605920771024012","0.610713567756442"
"PI_cons_NB_37","5","10558","5.26673612426596","3.8","0.600411380026218","0.597205792897982","0.603616967154454"
"PI_cons_NB_20","5","10558","5.26673612426596","3.8","0.593167612653862","0.589944470378882","0.596390754928842"
"PI_gen_37","5","10558","5.26673612426596","3.8","0.619216557755871","0.616730445463399","0.621702670048344"
"PI_mort_37","6","10291","5.34773102711107","4","0.547797884876216","0.544555610832357","0.551040158920075"
"PI_mort_20","6","10291","5.34773102711107","4","0.548349550393948","0.545108729533148","0.551590371254748"
"PI_hosp_37","6","10291","5.34773102711107","4","0.579076991244927","0.575838186722373","0.582315795767481"
"PI_hosp_20","6","10291","5.34773102711107","4","0.578240646879782","0.574996799189041","0.581484494570523"
"num_mm_37","6","10291","5.34773102711107","4","0.618241862088385","0.615785450249983","0.620698273926786"
"num_mm_20","6","10291","5.34773102711107","4","0.608370482102797","0.605955099236335","0.610785864969259"
"PI_cons_NB_37","6","10291","5.34773102711107","4","0.600140085159882","0.596908952955576","0.603371217364189"
"PI_cons_NB_20","6","10291","5.34773102711107","4","0.592853655190341","0.589606792341943","0.59610051803874"
"PI_gen_37","6","10291","5.34773102711107","4","0.619345558109043","0.616842412403247","0.621848703814839"
"PI_mort_37","7","5884","5.45457414781004","4.14285714285714","0.551849787236612","0.547588836254325","0.556110738218899"
"PI_mort_20","7","5884","5.45457414781004","4.14285714285714","0.552445484859408","0.548187766529004","0.556703203189812"
"PI_hosp_37","7","5884","5.45457414781004","4.14285714285714","0.582874193105689","0.578618050835181","0.587130335376197"
"PI_hosp_20","7","5884","5.45457414781004","4.14285714285714","0.582191235146177","0.577928852019285","0.58645361827307"
"num_mm_37","7","5884","5.45457414781004","4.14285714285714","0.614883670568985","0.611676036888212","0.618091304249758"
"num_mm_20","7","5884","5.45457414781004","4.14285714285714","0.605305756761093","0.602138121415484","0.608473392106703"
