"model","years","cohort","mean_rate","median_rate","c_index","L_CI","U_CI"
"PI_mort_37","1","13015","7.15144064540914","5","0.52542710042765","0.522406229082941","0.528447971772358"
"PI_mort_20","1","13015","7.15144064540914","5","0.52651367449891","0.523496423393948","0.529530925603872"
"PI_hosp_37","1","13015","7.15144064540914","5","0.559101623041768","0.556095940711387","0.562107305372149"
"PI_hosp_20","1","13015","7.15144064540914","5","0.559363616283933","0.556356900969747","0.56237033159812"
"num_mm_37","1","13015","7.15144064540914","5","0.618514948568554","0.616104751886075","0.620925145251034"
"num_mm_20","1","13015","7.15144064540914","5","0.606926277227458","0.604568921199806","0.609283633255109"
"PI_cons_NB_37","1","13015","7.15144064540914","5","0.58423469187948","0.581255582965937","0.587213800793024"
"PI_cons_NB_20","1","13015","7.15144064540914","5","0.575999865643198","0.573005199483267","0.578994531803129"
"PI_gen_37","1","13015","7.15144064540914","5","0.619167309093749","0.616724284991415","0.621610333196083"
"PI_mort_37","2","12919","7.08321077482777","5.5","0.52745094795634","0.524497338576813","0.530404557335866"
"PI_mort_20","2","12919","7.08321077482777","5.5","0.528555299506434","0.525605106351325","0.531505492661544"
"PI_hosp_37","2","12919","7.08321077482777","5.5","0.562977123932676","0.560025934766173","0.565928313099179"
"PI_hosp_20","2","12919","7.08321077482777","5.5","0.56317863035197","0.560226301682133","0.566130959021807"
"num_mm_37","2","12919","7.08321077482777","5.5","0.627106450281894","0.624776902025554","0.629435998538234"
"num_mm_20","2","12919","7.08321077482777","5.5","0.614241664734252","0.611951273451167","0.616532056017337"
"PI_cons_NB_37","2","12919","7.08321077482777","5.5","0.589863126154605","0.586934060672456","0.592792191636755"
"PI_cons_NB_20","2","12919","7.08321077482777","5.5","0.580900725932293","0.577953127185579","0.583848324679008"
"PI_gen_37","2","12919","7.08321077482777","5.5","0.627548185934284","0.625179367950004","0.629917003918565"
"PI_mort_37","3","12797","7.09713214034539","5.66666666666667","0.530696232417247","0.527747044467612","0.533645420366883"
"PI_mort_20","3","12797","7.09713214034539","5.66666666666667","0.531942442432119","0.528998174560868","0.534886710303371"
"PI_hosp_37","3","12797","7.09713214034539","5.66666666666667","0.566902139258105","0.563960257038179","0.569844021478031"
"PI_hosp_20","3","12797","7.09713214034539","5.66666666666667","0.567054210166955","0.564111893084556","0.569996527249354"
"num_mm_37","3","12797","7.09713214034539","5.66666666666667","0.630492243500753","0.628182520816126","0.63280196618538"
"num_mm_20","3","12797","7.09713214034539","5.66666666666667","0.616807508523353","0.614532357870224","0.619082659176483"
"PI_cons_NB_37","3","12797","7.09713214034539","5.66666666666667","0.594117346719681","0.591205649768393","0.597029043670969"
"PI_cons_NB_20","3","12797","7.09713214034539","5.66666666666667","0.584949648724716","0.582019713835848","0.587879583613585"
"PI_gen_37","3","12797","7.09713214034539","5.66666666666667","0.630620664083377","0.628274908248088","0.632966419918667"
"PI_mort_37","4","12649","7.23207368171397","5.75","0.532169960279486","0.529202589010189","0.535137331548783"
"PI_mort_20","4","12649","7.23207368171397","5.75","0.533400598657048","0.530437946519612","0.536363250794485"
"PI_hosp_37","4","12649","7.23207368171397","5.75","0.568745018114972","0.565787058214507","0.571702978015438"
"PI_hosp_20","4","12649","7.23207368171397","5.75","0.568856596028519","0.56589613382323","0.571817058233809"
"num_mm_37","4","12649","7.23207368171397","5.75","0.632349436845015","0.630051535353142","0.634647338336888"
"num_mm_20","4","12649","7.23207368171397","5.75","0.618133714890039","0.615871230986","0.620396198794078"
"PI_cons_NB_37","4","12649","7.23207368171397","5.75","0.596132152136613","0.593209198213504","0.599055106059721"
"PI_cons_NB_20","4","12649","7.23207368171397","5.75","0.586889872956134","0.58394506824847","0.589834677663798"
"PI_gen_37","4","12649","7.23207368171397","5.75","0.632473158859934","0.630139583901063","0.634806733818804"
"PI_mort_37","5","12470","7.28518043303929","5.8","0.531974703332418","0.528983878469692","0.534965528195145"
"PI_mort_20","5","12470","7.28518043303929","5.8","0.533177255061181","0.530190350954413","0.536164159167949"
"PI_hosp_37","5","12470","7.28518043303929","5.8","0.568866421697054","0.565886561058027","0.571846282336081"
"PI_hosp_20","5","12470","7.28518043303929","5.8","0.568942535874016","0.565959421629606","0.571925650118426"
"num_mm_37","5","12470","7.28518043303929","5.8","0.633996316779443","0.631697619803647","0.636295013755238"
"num_mm_20","5","12470","7.28518043303929","5.8","0.619733330158969","0.617468642477293","0.621998017840645"
"PI_cons_NB_37","5","12470","7.28518043303929","5.8","0.596650004042871","0.593706577982757","0.599593430102986"
"PI_cons_NB_20","5","12470","7.28518043303929","5.8","0.587289632828346","0.58432264520513","0.590256620451563"
"PI_gen_37","5","12470","7.28518043303929","5.8","0.634289594830059","0.631954743386758","0.63662444627336"
"PI_mort_37","6","12177","7.33364813446114","6","0.529932267884884","0.52690166185209","0.532962873917679"
"PI_mort_20","6","12177","7.33364813446114","6","0.5311531392325","0.528126224297048","0.534180054167952"
"PI_hosp_37","6","12177","7.33364813446114","6","0.566796206483154","0.563775443498163","0.569816969468144"
"PI_hosp_20","6","12177","7.33364813446114","6","0.566773478640599","0.563749569604608","0.56979738767659"
"num_mm_37","6","12177","7.33364813446114","6","0.633451855785421","0.631129048955332","0.635774662615509"
"num_mm_20","6","12177","7.33364813446114","6","0.619373327828889","0.61708408586541","0.621662569792369"
"PI_cons_NB_37","6","12177","7.33364813446114","6","0.594500879215482","0.591519526046255","0.597482232384708"
"PI_cons_NB_20","6","12177","7.33364813446114","6","0.585079515185658","0.582073863627523","0.588085166743793"
"PI_gen_37","6","12177","7.33364813446114","6","0.633863903026632","0.631506281033242","0.636221525020023"
"PI_mort_37","7","6943","7.30567272278348","6","0.534334728270973","0.530334150374078","0.538335306167869"
"PI_mort_20","7","6943","7.30567272278348","6","0.535768949087827","0.531774195253587","0.539763702922067"
"PI_hosp_37","7","6943","7.30567272278348","6","0.572473095292115","0.568501252970043","0.576444937614186"
"PI_hosp_20","7","6943","7.30567272278348","6","0.572790663462212","0.568819278104892","0.576762048819532"
"num_mm_37","7","6943","7.30567272278348","6","0.634669287429758","0.63162714827766","0.637711426581857"
"num_mm_20","7","6943","7.30567272278348","6","0.620092471787066","0.61708356458479","0.623101378989341"
"PI_cons_NB_37","7","6943","7.30567272278348","6","0.599902689118899","0.595990176110922","0.603815202126875"
"PI_cons_NB_20","7","6943","7.30567272278348","6","0.590719578237226","0.586774989103683","0.59466416737077"
"PI_gen_37","7","6943","7.30567272278348","6","0.635782098526071","0.632689172851719","0.638875024200422"
"PI_mort_37","8","1315","7.71520912547529","6.375","0.548241544290365","0.539230176381165","0.557252912199566"
"PI_mort_20","8","1315","7.71520912547529","6.375","0.549812199220749","0.540824854071643","0.558799544369856"
"PI_hosp_37","8","1315","7.71520912547529","6.375","0.588147164757495","0.579206028499645","0.597088301015345"
"PI_hosp_20","8","1315","7.71520912547529","6.375","0.587940899433676","0.579007857005698","0.596873941861654"
"num_mm_37","8","1315","7.71520912547529","6.375","0.642785271370373","0.635950650313258","0.649619892427488"
"num_mm_20","8","1315","7.71520912547529","6.375","0.627613375809577","0.620825891062818","0.634400860556335"
"PI_cons_NB_37","8","1315","7.71520912547529","6.375","0.616011681746045","0.60722504309728","0.624798320394809"
"PI_cons_NB_20","8","1315","7.71520912547529","6.375","0.606135487686019","0.59727775526992","0.614993220102117"
"PI_gen_37","8","1315","7.71520912547529","6.375","0.644275874319558","0.637315133343513","0.651236615295604"
