"model","years","cohort","mean_rate","median_rate","c_index","L_CI","U_CI"
"PI_mort_37","1","51448","7.95146555745607","6","0.626003069244853","0.624614046890911","0.627392091598795"
"PI_mort_20","1","51448","7.95146555745607","6","0.626284583003079","0.624895663136601","0.627673502869558"
"PI_hosp_37","1","51448","7.95146555745607","6","0.643227458609936","0.641863242783018","0.644591674436854"
"PI_hosp_20","1","51448","7.95146555745607","6","0.643061010875245","0.641696162354029","0.64442585939646"
"num_mm_37","1","51448","7.95146555745607","6","0.662839754135544","0.661664246347067","0.664015261924022"
"num_mm_20","1","51448","7.95146555745607","6","0.655875784222387","0.654712859684003","0.657038708760771"
"PI_cons_NB_37","1","51448","7.95146555745607","6","0.656686769709959","0.655346622044285","0.658026917375632"
"PI_cons_NB_20","1","51448","7.95146555745607","6","0.652586351705048","0.651237884999983","0.653934818410112"
"PI_gen_37","1","51448","7.95146555745607","6","0.662715987677841","0.661509794303144","0.663922181052539"
"PI_mort_37","2","50879","7.95448023742605","6","0.640159227946443","0.638832778123492","0.641485677769394"
"PI_mort_20","2","50879","7.95448023742605","6","0.640445219974853","0.639119019403756","0.641771420545951"
"PI_hosp_37","2","50879","7.95448023742605","6","0.657950930722578","0.656653628217336","0.659248233227819"
"PI_hosp_20","2","50879","7.95448023742605","6","0.657736895919736","0.656438709572347","0.659035082267125"
"num_mm_37","2","50879","7.95448023742605","6","0.669726413173479","0.668606539279901","0.670846287067057"
"num_mm_20","2","50879","7.95448023742605","6","0.662020248599166","0.66090678979218","0.663133707406152"
"PI_cons_NB_37","2","50879","7.95448023742605","6","0.671951038932594","0.670681475868579","0.673220601996609"
"PI_cons_NB_20","2","50879","7.95448023742605","6","0.667691271936414","0.666411883373924","0.668970660498905"
"PI_gen_37","2","50879","7.95448023742605","6","0.669322908174292","0.66816739139784","0.670478424950744"
"PI_mort_37","3","50158","8.02422345388572","6.33333333333333","0.647341141028609","0.646029910419821","0.648652371637397"
"PI_mort_20","3","50158","8.02422345388572","6.33333333333333","0.647642785163883","0.646331957961368","0.648953612366398"
"PI_hosp_37","3","50158","8.02422345388572","6.33333333333333","0.665149952561537","0.663869512723994","0.666430392399079"
"PI_hosp_20","3","50158","8.02422345388572","6.33333333333333","0.664945082981023","0.663663989440771","0.666226176521276"
