"model","years","cohort","mean_rate","median_rate","c_index","L_CI","U_CI"
"PI_mort_37","1","23963","9.88402954554939","8","0.567265218878125","0.565101658842035","0.569428778914214"
"PI_mort_20","1","23963","9.88402954554939","8","0.568097061724954","0.565933623155831","0.570260500294077"
"PI_hosp_37","1","23963","9.88402954554939","8","0.610047742169342","0.607946186723005","0.612149297615679"
"PI_hosp_20","1","23963","9.88402954554939","8","0.609617506685207","0.607514566276332","0.611720447094081"
"num_mm_37","1","23963","9.88402954554939","8","0.652147112582153","0.650286306533021","0.654007918631285"
"num_mm_20","1","23963","9.88402954554939","8","0.648108740945312","0.646276645970086","0.649940835920538"
"PI_cons_NB_37","1","23963","9.88402954554939","8","0.635617520135322","0.633572504837582","0.637662535433063"
"PI_cons_NB_20","1","23963","9.88402954554939","8","0.628576049965563","0.626515166542296","0.630636933388831"
"PI_gen_37","1","23963","9.88402954554939","8","0.654279866489281","0.652372854840629","0.656186878137933"
"PI_mort_37","2","23658","9.96673429706653","8","0.57175033340782","0.569618505574347","0.573882161241294"
"PI_mort_20","2","23658","9.96673429706653","8","0.572629111613199","0.570497647406855","0.574760575819544"
"PI_hosp_37","2","23658","9.96673429706653","8","0.616051228524142","0.613996114281342","0.618106342766941"
"PI_hosp_20","2","23658","9.96673429706653","8","0.615526110175075","0.613468603317769","0.61758361703238"
"num_mm_37","2","23658","9.96673429706653","8","0.658218375963017","0.656418238893999","0.660018513032036"
"num_mm_20","2","23658","9.96673429706653","8","0.653439464189046","0.651662070683037","0.655216857695054"
"PI_cons_NB_37","2","23658","9.96673429706653","8","0.642985374084061","0.640998422169475","0.644972325998647"
"PI_cons_NB_20","2","23658","9.96673429706653","8","0.635614025602998","0.633606408639819","0.637621642566178"
"PI_gen_37","2","23658","9.96673429706653","8","0.660248870269543","0.658398111990694","0.662099628548393"
"PI_mort_37","3","23286","10.0627701909588","8.33333333333333","0.572641442623503","0.570503514307879","0.574779370939126"
"PI_mort_20","3","23286","10.0627701909588","8.33333333333333","0.573564483953522","0.571427449100061","0.575701518806982"
"PI_hosp_37","3","23286","10.0627701909588","8.33333333333333","0.616918845233357","0.614858663120023","0.618979027346691"
"PI_hosp_20","3","23286","10.0627701909588","8.33333333333333","0.616476986727113","0.614415761247755","0.618538212206471"
"num_mm_37","3","23286","10.0627701909588","8.33333333333333","0.658151742799502","0.656351657210494","0.65995182838851"
"num_mm_20","3","23286","10.0627701909588","8.33333333333333","0.65308772535028","0.651311816070992","0.654863634629569"
"PI_cons_NB_37","3","23286","10.0627701909588","8.33333333333333","0.64388714999122","0.641896879706357","0.645877420276083"
"PI_cons_NB_20","3","23286","10.0627701909588","8.33333333333333","0.636420492631847","0.634409888781872","0.638431096481821"
"PI_gen_37","3","23286","10.0627701909588","8.33333333333333","0.660226807800905","0.658376690350263","0.662076925251546"
"PI_mort_37","4","22931","10.2573590336226","8.75","0.571233271486951","0.569080960277818","0.573385582696084"
"PI_mort_20","4","22931","10.2573590336226","8.75","0.572150305759622","0.569998259419292","0.574302352099952"
"PI_hosp_37","4","22931","10.2573590336226","8.75","0.615745128487265","0.61366835410742","0.617821902867111"
"PI_hosp_20","4","22931","10.2573590336226","8.75","0.615233499831666","0.613156033319709","0.617310966343623"
"num_mm_37","4","22931","10.2573590336226","8.75","0.658230221672225","0.656424689673749","0.660035753670701"
"num_mm_20","4","22931","10.2573590336226","8.75","0.653045647361549","0.651263042732093","0.654828251991005"
"PI_cons_NB_37","4","22931","10.2573590336226","8.75","0.642801392358017","0.640794749700398","0.644808035015635"
"PI_cons_NB_20","4","22931","10.2573590336226","8.75","0.635257428959651","0.633231261619356","0.637283596299947"
"PI_gen_37","4","22931","10.2573590336226","8.75","0.660321847377106","0.65846936209675","0.662174332657461"
"PI_mort_37","5","22506","10.3837998755887","8.8","0.569118678104836","0.566948972831137","0.571288383378535"
"PI_mort_20","5","22506","10.3837998755887","8.8","0.570042915105058","0.567873662443723","0.572212167766392"
"PI_hosp_37","5","22506","10.3837998755887","8.8","0.613981518016187","0.611887158370387","0.616075877661988"
"PI_hosp_20","5","22506","10.3837998755887","8.8","0.613478285322735","0.611382715138866","0.615573855506604"
