"model","years","cohort","mean_rate","median_rate","c_index","L_CI","U_CI"
"PI_mort_37","1","26154","10.0477173663684","8","0.550944845728645","0.548848703415225","0.553040988042064"
"PI_mort_20","1","26154","10.0477173663684","8","0.551753253893794","0.549657161996924","0.553849345790664"
"PI_hosp_37","1","26154","10.0477173663684","8","0.593717421332539","0.591681234627697","0.59575360803738"
"PI_hosp_20","1","26154","10.0477173663684","8","0.593375252760252","0.591339944212","0.595410561308505"
"num_mm_37","1","26154","10.0477173663684","8","0.646768168226624","0.644967658572428","0.64856867788082"
"num_mm_20","1","26154","10.0477173663684","8","0.638147610536989","0.636368248350776","0.639926972723202"
"PI_cons_NB_37","1","26154","10.0477173663684","8","0.621416232890773","0.619425542202039","0.623406923579506"
"PI_cons_NB_20","1","26154","10.0477173663684","8","0.612924495020899","0.610920202958975","0.614928787082822"
"PI_gen_37","1","26154","10.0477173663684","8","0.645292642114983","0.64343876902719","0.647146515202775"
"PI_mort_37","2","25909","10.0647265429002","8.5","0.554195770190849","0.552142355679019","0.556249184702679"
"PI_mort_20","2","25909","10.0647265429002","8.5","0.555019114861378","0.552966118498231","0.557072111224526"
"PI_hosp_37","2","25909","10.0647265429002","8.5","0.599609474821437","0.597623027647224","0.60159592199565"
"PI_hosp_20","2","25909","10.0647265429002","8.5","0.59922827153109","0.597242415869948","0.601214127192233"
"num_mm_37","2","25909","10.0647265429002","8.5","0.656428186831631","0.654702148803593","0.658154224859669"
"num_mm_20","2","25909","10.0647265429002","8.5","0.647117724793544","0.64540879315338","0.648826656433708"
"PI_cons_NB_37","2","25909","10.0647265429002","8.5","0.629170902407613","0.627237476528723","0.631104328286503"
"PI_cons_NB_20","2","25909","10.0647265429002","8.5","0.620115680141292","0.618165941322176","0.622065418960408"
"PI_gen_37","2","25909","10.0647265429002","8.5","0.654926074474983","0.653140970208542","0.656711178741423"
"PI_mort_37","3","25618","10.1402009004086","8.66666666666667","0.555189166543981","0.55313630108231","0.557242032005651"
"PI_mort_20","3","25618","10.1402009004086","8.66666666666667","0.556042690525761","0.553990154331597","0.558095226719925"
"PI_hosp_37","3","25618","10.1402009004086","8.66666666666667","0.600906101594484","0.598918128371947","0.60289407481702"
"PI_hosp_20","3","25618","10.1402009004086","8.66666666666667","0.600573600440058","0.598586553495497","0.602560647384619"
"num_mm_37","3","25618","10.1402009004086","8.66666666666667","0.658246831147006","0.656534772024608","0.659958890269404"
"num_mm_20","3","25618","10.1402009004086","8.66666666666667","0.648514300205028","0.646816625839917","0.65021197457014"
"PI_cons_NB_37","3","25618","10.1402009004086","8.66666666666667","0.630768769713616","0.628836332643795","0.632701206783436"
"PI_cons_NB_20","3","25618","10.1402009004086","8.66666666666667","0.621569245007557","0.619618664623123","0.623519825391991"
"PI_gen_37","3","25618","10.1402009004086","8.66666666666667","0.656712844597766","0.654945016405712","0.65848067278982"
"PI_mort_37","4","25310","10.2938364282892","8.75","0.555253678480112","0.553198291641922","0.557309065318302"
"PI_mort_20","4","25310","10.2938364282892","8.75","0.556135927363795","0.554080599084859","0.558191255642731"
"PI_hosp_37","4","25310","10.2938364282892","8.75","0.601682067564609","0.599691379567277","0.60367275556194"
"PI_hosp_20","4","25310","10.2938364282892","8.75","0.601368675848791","0.599378551877079","0.603358799820503"
"num_mm_37","4","25310","10.2938364282892","8.75","0.660224606335525","0.658512877885204","0.661936334785847"
"num_mm_20","4","25310","10.2938364282892","8.75","0.650448752162877","0.648753808836298","0.652143695489457"
"PI_cons_NB_37","4","25310","10.2938364282892","8.75","0.631936882742111","0.63000381321222","0.633869952272003"
"PI_cons_NB_20","4","25310","10.2938364282892","8.75","0.622642727849186","0.6206909762869","0.624594479411473"
"PI_gen_37","4","25310","10.2938364282892","8.75","0.658933376075014","0.65716909569218","0.660697656457848"
"PI_mort_37","5","24947","10.3981160059326","9","0.556057802042604","0.553996139828896","0.558119464256311"
"PI_mort_20","5","24947","10.3981160059326","9","0.55697717802967","0.554915799288712","0.559038556770627"
"PI_hosp_37","5","24947","10.3981160059326","9","0.602717449726054","0.600722857497687","0.604712041954421"
"PI_hosp_20","5","24947","10.3981160059326","9","0.602449662781698","0.600455659219171","0.604443666344224"
"num_mm_37","5","24947","10.3981160059326","9","0.661845445777769","0.660136432567227","0.663554458988312"
"num_mm_20","5","24947","10.3981160059326","9","0.652104660918609","0.65041062428689","0.653798697550328"
"PI_cons_NB_37","5","24947","10.3981160059326","9","0.633090373149518","0.631155164707889","0.635025581591148"
"PI_cons_NB_20","5","24947","10.3981160059326","9","0.623752656595798","0.621797893640764","0.625707419550832"
"PI_gen_37","5","24947","10.3981160059326","9","0.660387905501258","0.65862281283645","0.662152998166065"
"PI_mort_37","6","24246","10.5100153977288","9.16666666666667","0.556550466723345","0.554462550516978","0.558638382929713"
"PI_mort_20","6","24246","10.5100153977288","9.16666666666667","0.55746502707285","0.555377405973601","0.559552648172099"
"PI_hosp_37","6","24246","10.5100153977288","9.16666666666667","0.603414467117141","0.601397165560083","0.605431768674199"
"PI_hosp_20","6","24246","10.5100153977288","9.16666666666667","0.603157112458218","0.601140202024031","0.605174022892404"
"num_mm_37","6","24246","10.5100153977288","9.16666666666667","0.662837451156791","0.661117709186776","0.664557193126806"
"num_mm_20","6","24246","10.5100153977288","9.16666666666667","0.653033614456346","0.651325981404465","0.654741247508226"
"PI_cons_NB_37","6","24246","10.5100153977288","9.16666666666667","0.63388789831268","0.631934928913076","0.635840867712285"
"PI_cons_NB_20","6","24246","10.5100153977288","9.16666666666667","0.624526183366128","0.622551954841198","0.626500411891059"
"PI_gen_37","6","24246","10.5100153977288","9.16666666666667","0.661576200780271","0.659798513576579","0.663353887983963"
"PI_mort_37","7","13652","10.5196308233226","9.28571428571429","0.558656732758753","0.555879367967446","0.561434097550061"
"PI_mort_20","7","13652","10.5196308233226","9.28571428571429","0.559581145857172","0.556805795848273","0.562356495866071"
"PI_hosp_37","7","13652","10.5196308233226","9.28571428571429","0.604932097025181","0.602244489686951","0.607619704363411"
