"model","years","cohort","mean_rate","median_rate","c_index","L_CI","U_CI"
"PI_mort_37","1","59718","8.77780568672762","7","0.578198558487525","0.57683991743128","0.579557199543769"
"PI_mort_20","1","59718","8.77780568672762","7","0.578541297754817","0.577182898194942","0.579899697314693"
"PI_hosp_37","1","59718","8.77780568672762","7","0.595552336681168","0.594206886182593","0.596897787179742"
"PI_hosp_20","1","59718","8.77780568672762","7","0.595636697036126","0.594291210647721","0.596982183424532"
"num_mm_37","1","59718","8.77780568672762","7","0.648298519643195","0.647156934090884","0.649440105195505"
"num_mm_20","1","59718","8.77780568672762","7","0.637474466160043","0.636344548273183","0.638604384046904"
"PI_cons_NB_37","1","59718","8.77780568672762","7","0.611243069677632","0.609914123773465","0.612572015581799"
"PI_cons_NB_20","1","59718","8.77780568672762","7","0.606194298301883","0.604858298733775","0.607530297869991"
"PI_gen_37","1","59718","8.77780568672762","7","0.647235736339107","0.646065865487289","0.648405607190926"
"PI_mort_37","2","59204","8.74767752178907","7","0.587710613701882","0.586389413203585","0.589031814200179"
"PI_mort_20","2","59204","8.74767752178907","7","0.588073918968445","0.586753012402397","0.589394825534493"
"PI_hosp_37","2","59204","8.74767752178907","7","0.606010358521554","0.604704601314054","0.607316115729054"
"PI_hosp_20","2","59204","8.74767752178907","7","0.606057347662395","0.60475171987776","0.607362975447031"
"num_mm_37","2","59204","8.74767752178907","7","0.658399368167554","0.657309281806764","0.659489454528343"
"num_mm_20","2","59204","8.74767752178907","7","0.646628531538973","0.645545358682971","0.647711704394975"
"PI_cons_NB_37","2","59204","8.74767752178907","7","0.622553723978297","0.621267786132844","0.62383966182375"
"PI_cons_NB_20","2","59204","8.74767752178907","7","0.617187627434611","0.615893616945547","0.618481637923675"
"PI_gen_37","2","59204","8.74767752178907","7","0.657004879487785","0.655882944935051","0.65812681404052"
"PI_mort_37","3","58579","8.79176838116048","7.33333333333333","0.5937074315659","0.592400725159946","0.595014137971854"
"PI_mort_20","3","58579","8.79176838116048","7.33333333333333","0.594085192467308","0.592778807156877","0.595391577777739"
"PI_hosp_37","3","58579","8.79176838116048","7.33333333333333","0.612200252112693","0.610910723203294","0.613489781022092"
"PI_hosp_20","3","58579","8.79176838116048","7.33333333333333","0.612257938004966","0.610968644881054","0.613547231128878"
"num_mm_37","3","58579","8.79176838116048","7.33333333333333","0.661973764756915","0.660899023852177","0.663048505661652"
"num_mm_20","3","58579","8.79176838116048","7.33333333333333","0.649582429813754","0.648513112953115","0.650651746674392"
"PI_cons_NB_37","3","58579","8.79176838116048","7.33333333333333","0.629023737376205","0.627756390705612","0.630291084046797"
"PI_cons_NB_20","3","58579","8.79176838116048","7.33333333333333","0.623573067676612","0.622296965896437","0.624849169456787"
"PI_gen_37","3","58579","8.79176838116048","7.33333333333333","0.660304982321303","0.65919924410286","0.661410720539745"
"PI_mort_37","4","57885","8.9295370130431","7.5","0.597219222605548","0.595911022903539","0.598527422307557"
"PI_mort_20","4","57885","8.9295370130431","7.5","0.597599694770615","0.596291767869396","0.598907621671833"
"PI_hosp_37","4","57885","8.9295370130431","7.5","0.615868521175513","0.614577842923648","0.617159199427379"
"PI_hosp_20","4","57885","8.9295370130431","7.5","0.615925365749593","0.614634866939622","0.617215864559564"
"num_mm_37","4","57885","8.9295370130431","7.5","0.663654796431187","0.662583243347173","0.6647263495152"
"num_mm_20","4","57885","8.9295370130431","7.5","0.651118698792907","0.650052508306228","0.652184889279586"
"PI_cons_NB_37","4","57885","8.9295370130431","7.5","0.632790107531165","0.631522547273954","0.634057667788376"
"PI_cons_NB_20","4","57885","8.9295370130431","7.5","0.627323430043588","0.626046979763808","0.628599880323369"
"PI_gen_37","4","57885","8.9295370130431","7.5","0.662005234063355","0.660903284294273","0.663107183832438"
"PI_mort_37","5","57070","9.0156334326266","7.6","0.600607807105332","0.599295183890387","0.601920430320277"
"PI_mort_20","5","57070","9.0156334326266","7.6","0.600999524991697","0.599687249889987","0.602311800093406"
"PI_hosp_37","5","57070","9.0156334326266","7.6","0.619389188534097","0.61809540669422","0.620682970373974"
"PI_hosp_20","5","57070","9.0156334326266","7.6","0.619461506462115","0.618167949718908","0.620755063205323"
"num_mm_37","5","57070","9.0156334326266","7.6","0.66535521185252","0.664284436858634","0.666425986846407"
