"three_groups","smoking_labels","n","tot","percent"
0,"current",5475,57319,9.55180655629023
0,"former",17669,57319,30.825729688236
0,"never",33956,57319,59.2403914932221
0,NA,219,57319,0.382072262251609
1,"current",2678,28841,9.28539232342845
1,"former",10615,28841,36.8052425366665
1,"never",15402,28841,53.4031413612565
1,NA,146,28841,0.506223778648452
2,"current",2711,25738,10.533063952133
2,"former",10561,25738,41.0327142746134
2,"never",12280,25738,47.7115548993706
2,NA,186,25738,0.722666873882975
