"variable","groups","sum","num","min","max","percent"
"three",0,NA,NA,NA,NA,NA
"sex",NA,27154,57319,0,1,47.3734712747954
"num_mm_37",NA,0,57319,0,0,0
"num_mm_20",NA,0,57319,0,0,0
"case_death_1yr",NA,42,57319,0,1,0.07327413248661
"case_death_5yr",NA,587,57319,0,1,1.02409323261048
"case_death_any",NA,1044,57319,0,1,1.82138557895288
"any_cancer_except_1yr",NA,432,57319,0,1,0.753676791290846
"any_cancer_except_5yr",NA,2377,57319,0,1,4.14696697430171
"any_cancer_except_after",NA,3633,57319,0,1,6.33821246009177
"cons_in_1_yrs_fu",NA,NA,57319,NA,NA,NA
"cons_in_2_yrs_fu",NA,NA,57319,NA,NA,NA
"cons_in_3_yrs_fu",NA,NA,57319,NA,NA,NA
"cons_in_4_yrs_fu",NA,NA,57319,NA,NA,NA
"cons_in_5_yrs_fu",NA,NA,57319,NA,NA,NA
"cons_in_6_yrs_fu",NA,NA,57319,NA,NA,NA
"cons_in_7_yrs_fu",NA,NA,57319,NA,NA,NA
"cons_in_8_yrs_fu",NA,NA,57319,NA,NA,NA
"cons_in_9_yrs_fu",NA,NA,57319,NA,NA,NA
"cons_in_10_yrs_fu",NA,NA,57319,NA,NA,NA
"zero_cons",NA,28,57319,0,1,0.04884942165774
"three",1,NA,NA,NA,NA,NA
"sex",NA,13284,28841,0,1,46.0594292846989
"num_mm_37",NA,28841,28841,1,1,100
"num_mm_20",NA,23824,28841,0,1,82.6046253597309
"case_death_1yr",NA,29,28841,0,1,0.100551298498665
"case_death_5yr",NA,522,28841,0,1,1.80992337297597
"case_death_any",NA,890,28841,0,1,3.08588467806248
"any_cancer_except_1yr",NA,307,28841,0,1,1.0644568496238
"any_cancer_except_5yr",NA,1565,28841,0,1,5.42630283277279
"any_cancer_except_after",NA,2265,28841,0,1,7.85340314136126
"cons_in_1_yrs_fu",NA,NA,28841,NA,NA,NA
"cons_in_2_yrs_fu",NA,NA,28841,NA,NA,NA
"cons_in_3_yrs_fu",NA,NA,28841,NA,NA,NA
"cons_in_4_yrs_fu",NA,NA,28841,NA,NA,NA
"cons_in_5_yrs_fu",NA,NA,28841,NA,NA,NA
"cons_in_6_yrs_fu",NA,NA,28841,NA,NA,NA
"cons_in_7_yrs_fu",NA,NA,28841,NA,NA,NA
"cons_in_8_yrs_fu",NA,NA,28841,NA,NA,NA
"cons_in_9_yrs_fu",NA,NA,28841,NA,NA,NA
"cons_in_10_yrs_fu",NA,NA,28841,NA,NA,NA
"zero_cons",NA,7,28841,0,1,0.0242710030858847
"three",2,NA,NA,NA,NA,NA
"sex",NA,11424,25738,0,1,44.3857331571995
"num_mm_37",NA,70076,25738,2,11,272.266687388297
"num_mm_20",NA,59533,25738,0,9,231.303908617608
"case_death_1yr",NA,90,25738,0,1,0.349677519620794
"case_death_5yr",NA,878,25738,0,1,3.41129846918953
"case_death_any",NA,1453,25738,0,1,5.64534928898904
"any_cancer_except_1yr",NA,332,25738,0,1,1.28992151682337
"any_cancer_except_5yr",NA,1647,25738,0,1,6.39909860906053
"any_cancer_except_after",NA,2427,25738,0,1,9.42963711244075
"cons_in_1_yrs_fu",NA,NA,25738,NA,NA,NA
"cons_in_2_yrs_fu",NA,NA,25738,NA,NA,NA
"cons_in_3_yrs_fu",NA,NA,25738,NA,NA,NA
"cons_in_4_yrs_fu",NA,NA,25738,NA,NA,NA
"cons_in_5_yrs_fu",NA,NA,25738,NA,NA,NA
"cons_in_6_yrs_fu",NA,NA,25738,NA,NA,NA
"cons_in_7_yrs_fu",NA,NA,25738,NA,NA,NA
"cons_in_8_yrs_fu",NA,NA,25738,NA,NA,NA
"cons_in_9_yrs_fu",NA,NA,25738,NA,NA,NA
"cons_in_10_yrs_fu",NA,NA,25738,NA,NA,NA
"zero_cons",NA,8,25738,0,1,0.031082446188515
