"three_groups","IMD_quints","n","tot","percent"
0,"(0,8.25]",16323,57319,28.4774682042604
0,"(8.25,13.6]",13893,57319,24.2380362532494
0,"(13.6,21.2]",11224,57319,19.5816395959455
0,"(21.2,34]",8735,57319,15.2392749350128
0,"(34,100]",5447,57319,9.5029571346325
0,NA,1697,57319,2.96062387689946
1,"(0,8.25]",7644,28841,26.5039353697861
1,"(8.25,13.6]",6724,28841,23.3140321070698
1,"(13.6,21.2]",5718,28841,19.8259422350127
1,"(21.2,34]",4780,28841,16.5736278215041
1,"(34,100]",3141,28841,10.890745813252
1,NA,834,28841,2.8917166533754
2,"(0,8.25]",5822,25738,22.6202502136918
2,"(8.25,13.6]",5630,25738,21.8742715051675
2,"(13.6,21.2]",5066,25738,19.6829590488771
2,"(21.2,34]",4567,25738,17.7441914678685
2,"(34,100]",3872,25738,15.0439039552413
2,NA,781,25738,3.03442380915378
