"variable","one","mean","sd","median","Q1","Q3","missing","num","min","max","percent_missing"
"at_least",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"age_at_assessment",NA,55.0441389417122,8.02077400681083,56,48,62,0,57319,40,70,0
"age_cont",NA,55.5828155262396,8.01686401663776,56.0930869267625,48.8377823408624,62.1902806297057,0,57319,40.1889117043121,71.0061601642711,0
"bmi",NA,26.561073111,4.18630926949147,26.0373,23.6927,28.8066,1337,57319,14.6788,59.4499,2.33255988415709
"bmi_cats",NA,1.76269430051813,0.766908663719562,2,1,2,1349,57319,0,3,2.35349535058183
"num_mm_37",NA,0,0,0,0,0,0,57319,0,0,0
"num_mm_20",NA,0,0,0,0,0,0,57319,0,0,0
"gp_follow_up_length",NA,6.91840694585775,1.13762542134222,7.05479452054795,6.56284153005464,7.62021857923497,0,57319,-16.8333333333333,9.5327868852459,0
"cancer_follow_up_length",NA,7.15388647505517,0.632535774886736,7.13150684931507,6.68032786885246,7.66393442622951,0,57319,5.94535519125683,9.5327868852459,0
"cons_rate",NA,6.51673365779145,4.39093673200984,5.54341147502696,3.5262946607788,8.33580278894119,149,57319,0,73.0151515151515,0.259948708107259
"at_least",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"age_at_assessment",NA,58.9674966562231,7.42545537829136,61,54,65,0,54579,40,70,0
"age_cont",NA,59.5056305988974,7.42170497525179,61.2457221081451,54.6201232032854,65.3798767967146,0,54579,40.2162902121834,70.8446269678303,0
"bmi",NA,28.2973446980549,5.05713980098397,27.5779,24.8432,30.962,1523,54579,12.6463,67.3334,2.79045053958482
"bmi_cats",NA,2.02786260981035,0.792066647565767,2,1,3,1533,54579,0,3,2.80877260484802
"num_mm_37",NA,1.8123637296396,1.11316364234865,1,1,2,0,54579,1,11,0
"num_mm_20",NA,1.52727239414427,1.06338522598098,1,1,2,0,54579,0,9,0
"gp_follow_up_length",NA,6.82999994304099,1.23242636233541,7.01095890410959,6.44535519125683,7.58196721311475,0,54579,-16.1885245901639,9.5327868852459,0
"cancer_follow_up_length",NA,7.12857670739447,0.634913912570456,7.09315068493151,6.65846994535519,7.63661202185792,0,54579,5.94535519125683,9.5327868852459,0
"cons_rate",NA,12.0218572847742,7.34115179218755,10.3627760252366,7.22885358522971,14.8040218132243,10,54579,0,120.88424437299,0.0183220652631965
