"at_least_one","ethnicity_labels","n","tot","percent"
0,"black",597,57319,1.0415394546311
0,"chinese",167,57319,0.291351907744378
0,"mixed",285,57319,0.497217327587711
0,"other",414,57319,0.722273591653727
0,"se_asian",1117,57319,1.94874299970341
0,"white",54494,57319,95.0714422791744
0,NA,245,57319,0.427432439505225
1,"black",580,54579,1.0626797852654
1,"chinese",91,54579,0.166730793895088
1,"mixed",231,54579,0.423239707579838
1,"other",367,54579,0.67241979515931
1,"se_asian",1349,54579,2.4716466040052
1,"white",51704,54579,94.732406236831
1,NA,257,54579,0.470877077264149
